Experiment:, Cathode characterisation
Start date:, p?tek 2. z??? 2022
Start time:, 11:50:29 +02:00
"Time (s)", "Voltage (V)", "Current Density (A/cm2)"
"1024,55", "0,05044932", "-0,5240479"
"1024,65", "0,05262766", "-0,3868319"
"1024,7", "0,05368527", "-0,3349842"
"1024,75", "0,05467973", "-0,2936315"
"1024,8", "0,05561106", "-0,2594841"
"1024,85", "0,05654238", "-0,2295661"
"1024,9", "0,05766312", "-0,1972983"
"1025", "0,05946263", "-0,1586085"
"1025,05", "0,06044131", "-0,1374622"
"1025,1", "0,06153049", "-0,1119299"
"1025,15", "0,06255652", "-0,09156685"
"1025,2", "0,06339313", "-0,08357824"
"1025,25", "0,06445073", "-0,06446825"
"1025,35", "0,06651859", "-0,03376696"
"1025,4", "0,06752884", "-0,02374204"
"1025,45", "0,0685233", "-0,01058434"
"1025,5", "0,06956512", "0,001320244"
"1025,55", "0,0706543", "0,01385139"
"1025,6", "0,07152248", "0,01416466"
"1025,65", "0,07248537", "0,0223099"
"1025,7", "0,07351141", "0,03280474"
"1025,8", "0,07561083", "0,05160145"
"1025,85", "0,07655793", "0,05348112"
"1025,9", "0,0775524", "0,05943341"
"1025,95", "0,07857844", "0,06836185"
"1026", "0,07963604", "0,07259111"
"1026,05", "0,08059894", "0,07713365"
"1026,1", "0,0815934", "0,08042307"
"1026,2", "0,08362968", "0,08637536"
"1026,25", "0,08463993", "0,08935151"
"1026,3", "0,08571332", "0,09389405"
"1026,35", "0,08680249", "0,09984634"
"1026,4", "0,08770225", "0,09843659"
"1026,5", "0,08964382", "0,1021959"
"1026,55", "0,0906225", "0,1036057"
"1026,6", "0,09160118", "0,1064252"
"1026,65", "0,09256408", "0,1053287"
"1026,7", "0,09365325", "0,1126908"
"1026,75", "0,09467928", "0,1147271"
"1026,8", "0,0957211", "0,1181731"
"1026,85", "0,09666821", "0,1145704"
"1026,95", "0,09870449", "0,1200528"
"1027", "0,09954111", "0,1128474"
"1027,05", "0,1004409", "0,1133173"
"1027,1", "0,1014827", "0,1183298"
"1027,15", "0,1024456", "0,1189563"
"1027,2", "0,1033138", "0,1159802"
"1027,3", "0,1054132", "0,1244387"
"1027,35", "0,1064708", "0,1255352"
"1027,4", "0,107481", "0,1271016"
"1027,45", "0,1085228", "0,1285113"
"1027,5", "0,1094857", "0,1266317"
"1027,55", "0,1103855", "0,1239688"
"1027,6", "0,1113642", "0,1263184"
"1027,7", "0,113211", "0,1228723"
"1027,75", "0,1142844", "0,1253785"
"1027,8", "0,1152631", "0,1238122"
"1027,85", "0,1162418", "0,1249086"
"1027,9", "0,1172836", "0,126475"
"1027,95", "0,1182781", "0,1275715"
"1028", "0,1192252", "0,1261617"
"1028,1", "0,1212772", "0,1292945"
"1028,15", "0,1222717", "0,1297645"
"1028,2", "0,1232977", "0,1311742"
"1028,25", "0,1242449", "0,1297645"
"1028,3", "0,1251446", "0,1269449"
"1028,4", "0,1272598", "0,1285113"
"1028,45", "0,1282858", "0,132114"
"1028,5", "0,1293119", "0,1299211"
"1028,55", "0,1302906", "0,1294512"
"1028,6", "0,1313324", "0,132114"
"1028,65", "0,1322163", "0,126475"
"1028,7", "0,1331477", "0,1266317"
"1028,8", "0,1352155", "0,1311742"
"1028,85", "0,1362889", "0,1319574"
"1028,9", "0,1373781", "0,1324273"
"1028,95", "0,1383252", "0,1294512"
"1029", "0,1393986", "0,1325839"
"1029,05", "0,1403141", "0,1289812"
"1029,1", "0,1412928", "0,1296078"
"1029,2", "0,1431713", "0,1261617"
"1029,25", "0,1441499", "0,1272582"
"1029,3", "0,1451917", "0,1277281"
"1029,35", "0,146202", "0,1289812"
"1029,4", "0,1470859", "0,1239688"
"1029,45", "0,1482067", "0,1288246"
"1029,5", "0,1494379", "0,1336804"
"1029,6", "0,1515216", "0,1307043"
"1029,65", "0,1524529", "0,126475"
"1029,7", "0,1534947", "0,1288246"
"1029,75", "0,1543313", "0,1239688"
"1029,8", "0,1554679", "0,1285113"
"1029,85", "0,1564939", "0,1296078"
"1029,95", "0,1583723", "0,1245953"
"1030", "0,1594299", "0,1289812"
"1030,05", "0,160456", "0,1274149"
"1030,1", "0,1615136", "0,1263184"
