Experiment:, Cathode characterisation
Start date:, st?eda 12. ??jna 2022
Start time:, 16:37:49 +02:00
"Time (s)", "Voltage (V)", "Current Density (A/cm2)"
"1051,55", "0,05002312", "-0,6520221"
"1051,65", "0,05210675", "-0,4538735"
"1051,7", "0,05316436", "-0,3894947"
"1051,75", "0,05407989", "-0,3446959"
"1051,8", "0,05521643", "-0,2961377"
"1051,85", "0,05606882", "-0,285173"
"1051,9", "0,05717378", "-0,2433503"
"1052", "0,05927321", "-0,1969851"
"1052,05", "0,06020453", "-0,1872734"
"1052,1", "0,06126213", "-0,1623678"
"1052,15", "0,06213032", "-0,1568854"
"1052,2", "0,06315635", "-0,136209"
"1052,25", "0,06419817", "-0,1196053"
"1052,35", "0,06621867", "-0,09078365"
"1052,4", "0,06729206", "-0,07402325"
"1052,45", "0,0683181", "-0,06885415"
"1052,5", "0,06921785", "-0,06540807"
"1052,55", "0,07005446", "-0,06666119"
"1052,6", "0,07119099", "-0,04065908"
"1052,65", "0,07221702", "-0,03548998"
"1052,7", "0,07324306", "-0,02609162"
"1052,8", "0,0752162", "-0,01544016"
"1052,85", "0,07608438", "-0,02045261"
"1052,9", "0,07704728", "-0,008704669"
"1052,95", "0,07810488", "-0,001342623"
"1053", "0,07908356", "0,002573358"
"1053,05", "0,08009381", "0,007429176"
"1053,1", "0,08105671", "0,01087524"
"1053,2", "0,08299828", "0,01682753"
"1053,25", "0,0841348", "0,02418958"
"1053,3", "0,08517662", "0,02638253"
"1053,35", "0,08631316", "0,03531097"
"1053,4", "0,08721291", "0,02873212"
"1053,5", "0,08915448", "0,03609416"
"1053,55", "0,09010158", "0,03672072"
"1053,6", "0,09115919", "0,0378172"
"1053,65", "0,09210631", "0,04314293"
"1053,7", "0,09292713", "0,03609416"
"1053,75", "0,09392159", "0,04314293"
"1053,8", "0,09505813", "0,05285456"
"1053,85", "0,09616309", "0,05363776"
"1053,95", "0,09812044", "0,04925186"
"1054", "0,09919383", "0,05536079"
"1054,05", "0,1002514", "0,05551743"
"1054,1", "0,1011196", "0,0486253"
"1054,15", "0,1021141", "0,0545776"
"1054,25", "0,1040714", "0,05348112"
"1054,3", "0,1050975", "0,05583071"
"1054,35", "0,1060446", "0,0545776"
"1054,4", "0,1070706", "0,05708382"
"1054,45", "0,1080177", "0,05708382"
"1054,5", "0,1090438", "0,06084317"
"1054,55", "0,1099909", "0,05598735"
"1054,65", "0,1119482", "0,06397595"
"1054,7", "0,1131005", "0,06804857"
"1054,75", "0,1140319", "0,06052989"
"1054,8", "0,115121", "0,0661689"
"1054,85", "0,1161471", "0,06742202"
"1054,9", "0,1170942", "0,06319275"
"1054,95", "0,1179466", "0,06381931"
"1055", "0,1191305", "0,07024152"
"1055,05", "0,1201723", "0,06679546"
"1055,15", "0,1220349", "0,06507242"
"1055,2", "0,123061", "0,06663882"
"1055,25", "0,1240554", "0,06726538"
"1055,3", "0,1250972", "0,06757865"
"1055,35", "0,1261233", "0,06648218"
"1055,4", "0,1272124", "0,06883177"
"1055,5", "0,1290593", "0,06209628"
"1055,55", "0,1300853", "0,06648218"
"1055,6", "0,1309851", "0,06381931"
"1055,65", "0,1320743", "0,06679546"
"1055,75", "0,1339527", "0,06225292"
"1055,8", "0,1350261", "0,06648218"
"1055,85", "0,1359416", "0,06428923"
"1055,9", "0,1369835", "0,06914505"
