Experiment:, Cathode characterisation
Start date:, ?tvrtek 13. ??jna 2022
Start time:, 15:24:30 +02:00
"Time (s)", "Voltage (V)", "Current Density (A/cm2)"
"1052,55", "0,05011782", "-0,7394269"
"1052,65", "0,05234353", "-0,4764295"
"1052,7", "0,05327486", "-0,4042189"
"1052,75", "0,05420618", "-0,3398401"
"1052,8", "0,05518486", "-0,2920651"
"1052,85", "0,05617932", "-0,2474229"
"1052,9", "0,05717378", "-0,2077932"
"1053", "0,05913114", "-0,160958"
"1053,05", "0,06020453", "-0,1313532"
"1053,1", "0,06115164", "-0,1178822"
"1053,15", "0,06201982", "-0,1141229"
"1053,2", "0,0629985", "-0,08968718"
"1053,25", "0,06400875", "-0,06196202"
"1053,35", "0,06596611", "-0,03408023"
"1053,4", "0,06708685", "-0,003378934"
"1053,45", "0,06819182", "0,01103188"
"1053,5", "0,0691705", "0,02183999"
"1053,55", "0,07002289", "0,01573106"
"1053,6", "0,07098578", "0,02732236"
"1053,65", "0,07198025", "0,0414199"
"1053,7", "0,07295892", "0,05066161"
"1053,8", "0,07505835", "0,0813629"
"1053,85", "0,0760686", "0,08872496"
"1053,9", "0,07718935", "0,09984634"
"1053,95", "0,07815224", "0,09874986"
"1054", "0,07911513", "0,1028225"
"1054,05", "0,08015695", "0,1104978"
"1054,1", "0,08113563", "0,1117509"
"1054,2", "0,08310878", "0,1173899"
"1054,25", "0,0841348", "0,1205227"
"1054,3", "0,0852082", "0,1278848"
"1054,35", "0,08613952", "0,1300777"
"1054,45", "0,0881758", "0,1361867"
"1054,5", "0,08923341", "0,1502842"
"1054,55", "0,09021209", "0,1448018"
"1054,6", "0,0913644", "0,1612489"
"1054,65", "0,09223258", "0,1457417"
"1054,7", "0,09321126", "0,1502842"
"1054,75", "0,09401631", "0,1407292"
"1054,8", "0,09501077", "0,1501276"
"1054,85", "0,09609994", "0,1639118"
"1054,95", "0,09800994", "0,1581161"
"1055", "0,0991149", "0,1717438"
"1055,05", "0,1001252", "0,1697075"
"1055,1", "0,1012617", "0,1784793"
"1055,15", "0,1022088", "0,1698641"
"1055,2", "0,1033769", "0,1823952"
"1055,3", "0,105208", "0,1682977"
"1055,35", "0,1061077", "0,1635985"
"1055,4", "0,10726", "0,1791058"
"1055,45", "0,1081124", "0,1689243"
"1055,5", "0,1091385", "0,1728403"
"1055,55", "0,1101803", "0,1789492"
"1055,65", "0,1120272", "0,1678278"
"1055,7", "0,1129269", "0,166418"
"1055,75", "0,1140634", "0,1794191"
"1055,8", "0,1151368", "0,1772261"
"1055,85", "0,1160997", "0,1753465"
"1055,9", "0,1171415", "0,178166"
"1055,95", "0,1181202", "0,1792625"
"1056", "0,119162", "0,1817687"
"1056,05", "0,1201407", "0,1797324"
"1056,15", "0,1220665", "0,1751898"
"1056,2", "0,1231872", "0,1853714"
"1056,25", "0,1241975", "0,1836483"
"1056,3", "0,1252077", "0,1827085"
"1056,4", "0,1270546", "0,1744066"
"1056,45", "0,1281596", "0,1850581"
"1056,5", "0,1291225", "0,1787925"
"1056,55", "0,1301169", "0,1819253"
"1056,6", "0,131143", "0,1817687"
"1056,65", "0,1320901", "0,1800456"
"1056,7", "0,1330056", "0,1717438"
"1056,75", "0,1339843", "0,1809855"
"1056,85", "0,1358785", "0,1751898"
"1056,9", "0,1369045", "0,1773828"
"1056,95", "0,137899", "0,1808289"
"1057", "0,1388777", "0,177696"
"1057,05", "0,1399195", "0,1806722"
"1057,1", "0,140914", "0,1822386"
"1057,15", "0,1418611", "0,1747199"
"1057,2", "0,1430134", "0,1883475"
"1057,3", "0,1448918", "0,1717438"
"1057,35", "0,1458547", "0,175973"
"1057,4", "0,1470386", "0,1845882"
"1057,45", "0,1481278", "0,1778527"
"1057,5", "0,1492169", "0,1831784"
"1057,55", "0,1501798", "0,1751898"
"1057,65", "0,152153", "0,1692375"
"1057,7", "0,1531159", "0,1728403"
"1057,75", "0,1541261", "0,1719004"
"1057,8", "0,1550417", "0,1672012"
"1057,9", "0,1570464", "0,1670446"
"1057,95", "0,1581671", "0,1802023"
"1058", "0,1590511", "0,1643817"
"1058,05", "0,1600771", "0,1687676"
"1058,1", "0,1611189", "0,1772261"
"1058,15", "0,1621608", "0,1731535"
"1058,2", "0,1631079", "0,1643817"
"1058,35", "0,1661544", "0,1722137"
"1058,4", "0,1671804", "0,1651649"
"1058,45", "0,1680802", "0,1609357"
"1058,5", "0,169122", "0,1626587"
"1058,55", "0,1700691", "0,1635985"
"1058,6", "0,171032", "0,1562365"
"1058,65", "0,1721212", "0,1662614"
"1058,75", "0,1740785", "0,1576462"
"1058,8", "0,1750256", "0,1557666"
"1058,85", "0,1759885", "0,1582728"
"1058,9", "0,1770619", "0,162502"
"1058,95", "0,1781985", "0,1651649"
"1059", "0,179114", "0,1543568"
"1059,05", "0,1800927", "0,1498143"
"1059,15", "0,1820185", "0,1510674"
"1059,2", "0,1829498", "0,1520072"
"1059,25", "0,1840232", "0,160779"
"1059,3", "0,1849861", "0,1521639"
"1059,35", "0,185949", "0,1515373"
"1059,4", "0,1868487", "0,149501"
"1059,45", "0,1879379", "0,1570197"
"1059,55", "0,1899268", "0,1520072"
"1059,6", "0,1909213", "0,1521639"
"1059,65", "0,1919", "0,1499709"
"1059,7", "0,1929418", "0,1520072"
"1059,75", "0,1938415", "0,1484045"
"1059,8", "0,1948202", "0,1474647"
"1059,9", "0,1970617", "0,1546701"
"1059,95", "0,1980088", "0,1504408"
"1060", "0,1989401", "0,1435487"
"1060,05", "0,2000293", "0,1505975"
"1060,1", "0,2010238", "0,1490311"
"1060,15", "0,2020498", "0,1484045"
"1060,2", "0,2029969", "0,1433921"
"1060,3", "0,2050016", "0,1469948"
"1060,35", "0,2060592", "0,1480912"
"1060,4", "0,2070221", "0,143862"
"1060,45", "0,208064", "0,1463682"
"1060,5", "0,2091058", "0,1437053"
"1060,55", "0,2100529", "0,1383796"
"1060,6", "0,2112368", "0,1466815"
"1060,7", "0,2132415", "0,1366566"
"1060,75", "0,2142833", "0,1379097"
"1060,8", "0,2152146", "0,1344636"
"1060,85", "0,216288", "0,138223"
"1060,9", "0,2172351", "0,1302344"
"1060,95", "0,2181822", "0,1269449"
"1061", "0,2190978", "0,1291379"
"1061,1", "0,2211025", "0,128668"
"1061,15", "0,2220812", "0,1288246"
"1061,2", "0,2232019", "0,1338371"
"1061,25", "0,2241017", "0,1241254"
"1061,3", "0,2252066", "0,132114"
"1061,35", "0,2261379", "0,1236555"
"1061,45", "0,2281111", "0,1202094"
"1061,5", "0,2291845", "0,1216192"
"1061,55", "0,2301316", "0,1183298"
"1061,6", "0,2311734", "0,1180165"
"1061,65", "0,2321205", "0,115197"
"1061,7", "0,2330992", "0,113004"
"1061,75", "0,2339989", "0,1092447"
"1061,8", "0,235025", "0,11692"
"1061,9", "0,2370139", "0,109558"
"1061,95", "0,2379926", "0,1097146"
"1062", "0,2390344", "0,1101845"
"1062,05", "0,2400604", "0,1083049"
"1062,1", "0,2411496", "0,1079916"
"1062,15", "0,242223", "0,1037623"
"1062,25", "0,2442119", "0,1040756"
"1062,3", "0,2451748", "0,1031358"
"1062,35", "0,2462166", "0,1031358"
"1062,4", "0,247069", "0,09546044"
"1062,45", "0,2480477", "0,1025092"
"1062,5", "0,2491053", "0,1015694"
"1062,6", "0,25111", "0,09937642"
"1062,65", "0,2521045", "0,09624365"
"1062,7", "0,2531305", "0,09906314"
"1062,75", "0,2541408", "0,09546044"
"1062,8", "0,2552142", "0,09906314"
"1062,85", "0,2562244", "0,09420733"
"1062,9", "0,2571242", "0,08825504"
"1063", "0,2590184", "0,09029134"
"1063,05", "0,2598392", "0,08324257"
"1063,1", "0,2608337", "0,09029134"
"1063,15", "0,2618913", "0,09185775"
"1063,2", "0,26287", "0,0924843"
"1063,25", "0,2638171", "0,08637536"
"1063,3", "0,2649852", "0,09311084"
"1063,4", "0,2670214", "0,08809839"
"1063,45", "0,268079", "0,08825504"
"1063,5", "0,2690893", "0,086532"
"1063,55", "0,2699101", "0,07807348"
"1063,6", "0,270952", "0,0837125"
"1063,7", "0,2728778", "0,08026644"
"1063,75", "0,2740774", "0,08950816"
"1063,8", "0,2750877", "0,07948323"
"1063,85", "0,27624", "0,08261602"
"1063,9", "0,2773134", "0,08402578"
"1063,95", "0,278371", "0,08198947"
"1064", "0,2793339", "0,07901332"
"1064,1", "0,2811807", "0,07353094"
"1064,15", "0,2821752", "0,07963987"
"1064,2", "0,2833275", "0,08183283"
"1064,25", "0,2841799", "0,07243447"
"1064,3", "0,2851744", "0,07556726"
"1064,35", "0,2862478", "0,07791685"
"1064,4", "0,2873054", "0,07666373"
"1064,45", "0,2881262", "0,07165127"
"1064,55", "0,2901309", "0,07462742"
"1064,6", "0,2910306", "0,07024152"
"1064,65", "0,2920093", "0,07180792"
"1064,7", "0,2929722", "0,07149464"
"1064,75", "0,2939667", "0,07102472"
"1064,8", "0,2949927", "0,07337431"
"1064,85", "0,2959714", "0,07008488"
"1064,95", "0,2978498", "0,06898841"
"1065", "0,298939", "0,071338"
"1065,05", "0,2999177", "0,0697716"
"1065,1", "0,3009121", "0,06883177"
"1065,15", "0,3019066", "0,06836185"
"1065,25", "0,3037377", "0,06491579"
"1065,3", "0,3047006", "0,06663882"
"1065,35", "0,3056793", "0,06898841"
"1065,4", "0,3067369", "0,06695209"
"1065,45", "0,3077313", "0,06460251"
"1065,5", "0,3088521", "0,06945832"
"1065,6", "0,3109515", "0,06945832"
"1065,65", "0,3119933", "0,06475915"
"1065,7", "0,312972", "0,06507242"
"1065,75", "0,3139665", "0,06350603"
"1065,8", "0,3150886", "0,06272284"
"1065,85", "0,3157206", "0,06115644"
"1065,9", "0,3166686", "0,0633494"
"1066", "0,3185645", "0,05959005"
"1066,05", "0,3195125", "0,06115644"
"1066,15", "0,3217244", "0,06836185"
"1066,2", "0,3226724", "0,06209628"
"1066,25", "0,3236203", "0,06413259"
"1066,3", "0,3245684", "0,0625662"
"1066,35", "0,3255163", "0,05880686"
"1066,45", "0,3277283", "0,06507242"
"1066,5", "0,3286762", "0,06272284"
"1066,55", "0,3296242", "0,06084317"
"1066,6", "0,3304142", "0,05677054"
"1066,65", "0,3315201", "0,06037325"
"1066,75", "0,3335741", "0,0609998"
"1066,8", "0,3345221", "0,05943341"
"1066,85", "0,335628", "0,05959005"
"1066,9", "0,336576", "0,06084317"
"1066,95", "0,337682", "0,06287947"
"1067", "0,33863", "0,0609998"
"1067,05", "0,3395779", "0,05880686"
"1067,1", "0,3406839", "0,05818029"
"1067,2", "0,3427379", "0,05912013"
"1067,25", "0,3436858", "0,05724046"
"1067,3", "0,3446338", "0,06005996"
"1067,35", "0,3455818", "0,0573971"
"1067,4", "0,3466877", "0,05974669"
"1067,45", "0,3474777", "0,05410768"
"1067,55", "0,3495317", "0,05583071"
"1067,6", "0,3506376", "0,0609998"
"1067,65", "0,3515856", "0,05567407"
"1067,7", "0,3526916", "0,05927677"
"1067,75", "0,3536395", "0,05536079"
"1067,8", "0,3545875", "0,0589635"
"1067,9", "0,3566415", "0,05880686"
"1067,95", "0,3575894", "0,05551743"
"1068", "0,3585374", "0,05630063"
"1068,05", "0,3596434", "0,05786702"
"1068,1", "0,3607493", "0,05677054"
"1068,15", "0,3616973", "0,05771038"
"1068,2", "0,3626453", "0,05614398"
"1068,25", "0,3637513", "0,05708382"
"1068,35", "0,3656472", "0,05551743"
"1068,4", "0,3665952", "0,05473424"
"1068,45", "0,3675432", "0,05614398"
"1068,5", "0,3686491", "0,05551743"
"1068,55", "0,3695971", "0,05410768"
"1068,6", "0,3703871", "0,05677054"
"1068,65", "0,3716511", "0,05927677"
"1068,7", "0,372599", "0,05222801"
"1068,8", "0,374653", "0,05520415"
"1068,85", "0,3757589", "0,05614398"
"1068,9", "0,3767069", "0,05583071"
"1068,95", "0,3776549", "0,05708382"
"1069", "0,3786029", "0,05645727"
"1069,05", "0,3795508", "0,05677054"
"1069,15", "0,3817628", "0,05645727"
"1069,2", "0,3827108", "0,05818029"
"1069,25", "0,3836587", "0,05708382"
"1069,3", "0,3846067", "0,0545776"
"1069,35", "0,3855547", "0,05520415"
"1069,4", "0,3866607", "0,05567407"
"1069,45", "0,3874506", "0,05238464"
"1069,55", "0,3895046", "0,05442095"
"1069,6", "0,3904525", "0,05285456"
"1069,65", "0,3914005", "0,0545776"
"1069,7", "0,3923485", "0,05395104"
"1069,75", "0,3934545", "0,05677054"
"1069,85", "0,3953504", "0,05583071"
"1069,9", "0,3966144", "0,05692719"
"1069,95", "0,3975624", "0,05426432"
"1070", "0,3983523", "0,05504751"
"1070,05", "0,3994583", "0,05645727"
"1070,1", "0,4004063", "0,05551743"
"1070,2", "0,4024602", "0,05849357"
"1070,25", "0,4034082", "0,05395104"
"1070,3", "0,4043562", "0,05630063"
"1070,35", "0,4053041", "0,05708382"
"1070,4", "0,4062521", "0,05692719"
"1070,45", "0,4073581", "0,05645727"
"1070,5", "0,408464", "0,05708382"
"1070,55", "0,409254", "0,05504751"
"1070,6", "0,41036", "0,05583071"
"1070,65", "0,411308", "0,05692719"
"1070,75", "0,4133619", "0,05489087"
"1070,8", "0,4143099", "0,05551743"
"1070,85", "0,4154159", "0,05724046"
"1070,9", "0,4163638", "0,0573971"
"1070,95", "0,4173118", "0,05489087"
"1071,05", "0,4195237", "0,05990333"
"1071,1", "0,4204717", "0,05692719"
"1071,15", "0,4215777", "0,05755374"
"1071,2", "0,4223677", "0,05551743"
"1071,25", "0,4231577", "0,05614398"
"1071,3", "0,4242636", "0,05865022"
"1071,35", "0,4250536", "0,05551743"
"1071,45", "0,4271075", "0,05551743"
"1071,5", "0,4280555", "0,05959005"
"1071,55", "0,4293195", "0,05927677"
"1071,6", "0,4302675", "0,05551743"
"1071,65", "0,4312155", "0,05551743"
"1071,7", "0,4323214", "0,05583071"
"1071,75", "0,4332694", "0,05442095"
"1071,8", "0,4342174", "0,05677054"
"1071,9", "0,4361133", "0,05614398"
"1071,95", "0,4369033", "0,05551743"
"1072", "0,4380093", "0,05583071"
"1072,05", "0,4391152", "0,05943341"
"1072,15", "0,4410112", "0,05912013"
"1072,2", "0,4421171", "0,06272284"
"1072,25", "0,4432231", "0,05974669"
"1072,3", "0,4440131", "0,05614398"
"1072,35", "0,444961", "0,05833694"
"1072,4", "0,4459091", "0,05818029"
"1072,45", "0,447015", "0,06115644"
"1072,5", "0,447963", "0,05724046"
"1072,6", "0,4500169", "0,05990333"
"1072,65", "0,4509649", "0,061783"
"1072,7", "0,4520709", "0,06052989"
"1072,75", "0,4530188", "0,06005996"
"1072,8", "0,4541248", "0,05990333"
"1072,85", "0,4550728", "0,05974669"
"1072,95", "0,4572847", "0,06303611"
"1073", "0,4582327", "0,06037325"
"1073,05", "0,4591807", "0,06240956"
"1073,1", "0,4601287", "0,05818029"
"1073,15", "0,4612346", "0,06413259"
"1073,2", "0,4621826", "0,05849357"
"1073,3", "0,4642365", "0,06115644"
"1073,35", "0,4650265", "0,05645727"
"1073,4", "0,4659745", "0,06084317"
"1073,45", "0,4670804", "0,06350603"
"1073,5", "0,4680285", "0,05755374"
"1073,55", "0,4689764", "0,05974669"
"1073,65", "0,4710304", "0,06162636"
"1073,7", "0,4721363", "0,05974669"
"1073,75", "0,4730843", "0,06068652"
"1073,8", "0,4740323", "0,06115644"
"1073,85", "0,4749802", "0,05974669"
"1073,9", "0,4760862", "0,06021661"
"1073,95", "0,4770342", "0,06146972"
"1074", "0,4781401", "0,06052989"
"1074,1", "0,4800361", "0,05943341"
"1074,15", "0,4809841", "0,0609998"
"1074,2", "0,4819321", "0,06115644"
"1074,25", "0,483038", "0,06287947"
"1074,3", "0,483986", "0,06146972"
"1074,35", "0,484934", "0,06005996"
"1074,4", "0,485882", "0,05912013"
"1074,45", "0,4868299", "0,06052989"
"1074,55", "0,4888839", "0,06084317"
"1074,6", "0,4898318", "0,06115644"
"1074,65", "0,4909378", "0,06068652"
"1074,7", "0,4918858", "0,06240956"
"1074,8", "0,4939397", "0,05959005"
"1074,85", "0,4948877", "0,06005996"
"1074,9", "0,4958357", "0,06005996"
"1074,95", "0,4969417", "0,06162636"
"1075", "0,4978896", "0,06350603"
"1075,05", "0,4988376", "0,06052989"
"1075,1", "0,4997856", "0,0625662"
"1075,15", "0,5008915", "0,06444587"
"1075,2", "0,5019975", "0,0625662"
"1075,3", "0,5038934", "0,06381931"
"1075,35", "0,5046834", "0,0625662"
"1075,4", "0,5056314", "0,06146972"
"1075,45", "0,5067374", "0,06303611"
"1075,5", "0,5076854", "0,0625662"
"1075,55", "0,5086333", "0,06115644"
"1075,65", "0,5106873", "0,06303611"
"1075,7", "0,5117933", "0,06679546"
"1075,75", "0,5128992", "0,06225292"
"1075,8", "0,5141632", "0,06507242"
"1075,85", "0,5155851", "0,06413259"
"1075,9", "0,5168491", "0,06115644"
"1075,95", "0,5182711", "0,06663882"
"1076", "0,519219", "0,06319275"
"1076,05", "0,520325", "0,06413259"
"1076,15", "0,5223789", "0,06507242"
"1076,2", "0,5233269", "0,06381931"
"1076,25", "0,5242749", "0,06319275"
"1076,3", "0,5252228", "0,06475915"
"1076,4", "0,5272768", "0,0633494"
"1076,45", "0,5282248", "0,06742202"
"1076,5", "0,5293308", "0,06397595"
"1076,55", "0,5302787", "0,06601226"
"1076,6", "0,5312268", "0,06444587"
"1076,65", "0,5323327", "0,07008488"
"1076,7", "0,5332807", "0,06710874"
"1076,8", "0,5351766", "0,06319275"
"1076,85", "0,5362825", "0,07008488"
"1076,9", "0,5372306", "0,06507242"
"1076,95", "0,5381785", "0,0661689"
"1077", "0,5392845", "0,06914505"
"1077,05", "0,5402325", "0,06820521"
"1077,1", "0,5411804", "0,06679546"
"1077,15", "0,5422865", "0,06898841"
"1077,25", "0,5440243", "0,06413259"
"1077,3", "0,5452883", "0,06945832"
"1077,4", "0,5473422", "0,0697716"
"1077,45", "0,5482903", "0,06773529"
"1077,5", "0,5492382", "0,06601226"
"1077,55", "0,5501862", "0,06961497"
"1077,65", "0,5520822", "0,06804857"
"1077,7", "0,5531881", "0,06757865"
"1077,75", "0,5541361", "0,06679546"
"1077,8", "0,555084", "0,0697716"
"1077,9", "0,557138", "0,06867513"
"1077,95", "0,558086", "0,06773529"
"1078", "0,5591919", "0,07008488"
"1078,05", "0,5601399", "0,0705548"
"1078,1", "0,5610879", "0,06867513"
"1078,15", "0,5621939", "0,06773529"
"1078,2", "0,5629839", "0,07024152"
"1078,25", "0,5640898", "0,07368759"
"1078,3", "0,5651958", "0,06945832"
"1078,35", "0,5661438", "0,07118136"
"1078,45", "0,5680397", "0,07102472"
"1078,5", "0,5689877", "0,07071144"
"1078,55", "0,5699357", "0,07243447"
"1078,6", "0,5708836", "0,07008488"
"1078,7", "0,5730956", "0,07337431"
"1078,75", "0,5742016", "0,07274775"
"1078,8", "0,5749915", "0,06820521"
"1078,85", "0,5759395", "0,07337431"
"1078,9", "0,5768875", "0,07274775"
"1078,95", "0,5779935", "0,07572389"
"1079", "0,5789415", "0,07086808"
"1079,1", "0,5809954", "0,07603717"
"1079,15", "0,5819433", "0,07196455"
"1079,2", "0,5830493", "0,07180792"
"1079,25", "0,5839972", "0,0721212"
"1079,3", "0,5849453", "0,07400087"
"1079,35", "0,5858933", "0,07227783"
"1079,4", "0,5869992", "0,07196455"
"1079,45", "0,5879472", "0,07274775"
"1079,55", "0,5896851", "0,06867513"
"1079,6", "0,5906332", "0,07243447"
"1079,7", "0,592845", "0,07102472"
"1079,75", "0,593793", "0,07008488"
"1079,8", "0,5948989", "0,07071144"
"1079,85", "0,596005", "0,07243447"
"1079,95", "0,5979009", "0,07008488"
"1080,05", "0,5999548", "0,07243447"
"1080,1", "0,6009029", "0,07337431"
"1080,15", "0,6020088", "0,07274775"
"1080,2", "0,6029568", "0,0705548"
"1080,3", "0,6050107", "0,07274775"
"1080,35", "0,6059586", "0,07321767"
"1080,4", "0,6069067", "0,07102472"
"1080,45", "0,6078547", "0,06773529"
"1080,5", "0,6088026", "0,0705548"
"1080,55", "0,6097506", "0,06898841"
"1080,65", "0,6116465", "0,06867513"
"1080,7", "0,6127526", "0,0705548"
"1080,75", "0,6137005", "0,06773529"
"1080,8", "0,6148065", "0,07274775"
"1080,85", "0,6159124", "0,07086808"
"1080,9", "0,6168604", "0,071338"
"1080,95", "0,6178084", "0,07071144"
"1081", "0,6189144", "0,07306103"
"1081,1", "0,6206523", "0,07353094"
"1081,15", "0,6216003", "0,0721212"
"1081,2", "0,6227062", "0,07086808"
"1081,25", "0,6238123", "0,07556726"
"1081,35", "0,6258662", "0,07274775"
"1081,4", "0,6266561", "0,07071144"
"1081,45", "0,6277621", "0,07431415"
"1081,5", "0,628868", "0,07243447"
"1081,55", "0,6298161", "0,06992824"
"1081,6", "0,630764", "0,071338"
"1081,65", "0,63187", "0,07008488"
"1081,7", "0,63266", "0,06742202"
"1081,75", "0,6336079", "0,06742202"
"1081,85", "0,6356619", "0,07400087"
"1081,9", "0,6366099", "0,06930169"
"1081,95", "0,6378738", "0,07321767"
"1082", "0,6386638", "0,06757865"
"1082,05", "0,6396118", "0,07118136"
"1082,1", "0,6405598", "0,07039816"
"1082,15", "0,6416658", "0,07400087"
"1082,25", "0,6437197", "0,07071144"
"1082,3", "0,6448256", "0,0705548"
"1082,35", "0,6457736", "0,07165127"
"1082,4", "0,6467216", "0,07039816"
"1082,5", "0,6483015", "0,07008488"
"1082,55", "0,6495655", "0,07274775"
"1082,6", "0,6505135", "0,07447078"
"1082,65", "0,6514615", "0,07196455"
"1082,7", "0,6525674", "0,07353094"
"1082,75", "0,6535154", "0,07306103"
"1082,8", "0,6546214", "0,06898841"
"1082,85", "0,6554114", "0,07008488"
"1082,9", "0,6565173", "0,07180792"
"1083", "0,6585713", "0,07306103"
"1083,05", "0,6595193", "0,07509734"
"1083,1", "0,6604672", "0,0705548"
"1083,15", "0,6615732", "0,07478406"
"1083,2", "0,6626792", "0,07400087"
"1083,25", "0,6636271", "0,07478406"
"1083,35", "0,6656811", "0,07290439"
"1083,4", "0,666629", "0,07274775"
"1083,45", "0,667577", "0,07227783"
"1083,5", "0,668525", "0,07227783"
"1083,55", "0,669315", "0,07337431"
"1083,6", "0,6704209", "0,07259111"
"1083,65", "0,6715269", "0,07478406"
"1083,75", "0,6735808", "0,07368759"
"1083,8", "0,6745288", "0,07572389"
"1083,85", "0,6754768", "0,07384422"
"1083,9", "0,6764248", "0,07541062"
"1083,95", "0,6775308", "0,07697701"
"1084", "0,6784787", "0,07666373"
"1084,05", "0,6794267", "0,07729029"
"1084,1", "0,6803747", "0,07870004"
"1084,2", "0,6822706", "0,07791685"
"1084,25", "0,6833766", "0,08104963"
"1084,3", "0,6843246", "0,07650709"
"1084,35", "0,6851146", "0,07838677"
"1084,45", "0,6874845", "0,08245938"
"1084,5", "0,6882744", "0,08057971"
"1084,55", "0,6892224", "0,08057971"
"1084,6", "0,6903284", "0,08026644"
"1084,65", "0,6912764", "0,08198947"
"1084,7", "0,6923823", "0,0813629"
"1084,8", "0,6942783", "0,08120627"
"1084,85", "0,6952263", "0,08261602"
"1084,9", "0,6963323", "0,08324257"
"1084,95", "0,6972802", "0,08433905"
"1085", "0,6983862", "0,08496562"
"1085,05", "0,6994922", "0,08574881"
"1085,1", "0,7004401", "0,08684529"
"1085,15", "0,7013881", "0,08825504"
"1085,2", "0,7024941", "0,08809839"
"1085,25", "0,703442", "0,08465233"
"1085,35", "0,705338", "0,08621872"
"1085,4", "0,706444", "0,0888816"
"1085,45", "0,7073919", "0,08512225"
"1085,5", "0,7084979", "0,09029134"
"1085,55", "0,7092879", "0,08559217"
"1085,6", "0,7103938", "0,0888816"
"1085,7", "0,7122898", "0,08841167"
"1085,75", "0,7133958", "0,09076127"
"1085,8", "0,7143438", "0,08919487"
"1085,85", "0,7152917", "0,09013471"
"1085,95", "0,7175037", "0,09452061"
"1086", "0,7184516", "0,08982144"
"1086,05", "0,7193996", "0,09279758"
"1086,1", "0,7205056", "0,09170111"
"1086,15", "0,7214535", "0,09436397"
"1086,2", "0,7224015", "0,09029134"
"1086,25", "0,7233495", "0,0924843"
"1086,3", "0,7242975", "0,09483389"
"1086,35", "0,7255614", "0,09749676"
"1086,4", "0,7263514", "0,09060463"
"1086,5", "0,7282473", "0,09546044"
"1086,55", "0,7291953", "0,09796667"
"1086,6", "0,7301434", "0,09452061"
"1086,65", "0,7312493", "0,09874986"
"1086,7", "0,7321973", "0,09624365"
"1086,8", "0,7340932", "0,09984634"
"1086,85", "0,7351992", "0,09890651"
"1086,95", "0,7370951", "0,09906314"
"1087", "0,7382011", "0,1040756"
"1087,05", "0,739149", "0,1020393"
"1087,1", "0,740255", "0,1057986"
"1087,2", "0,742151", "0,1037623"
"1087,25", "0,743257", "0,1054853"
"1087,3", "0,7442049", "0,1025092"
"1087,35", "0,7451529", "0,1064252"
"1087,4", "0,7461008", "0,103449"
"1087,45", "0,7470489", "0,1047022"
"1087,55", "0,7489448", "0,1054853"
"1087,6", "0,7502087", "0,1108111"
"1087,65", "0,7511567", "0,105642"
"1087,7", "0,7521047", "0,1094013"
"1087,75", "0,7532107", "0,1083049"
"1087,8", "0,7541587", "0,1114376"
"1087,85", "0,7551066", "0,1097146"
"1087,95", "0,7573186", "0,1142572"
"1088", "0,7582666", "0,1139439"
"1088,05", "0,7592145", "0,1128474"
"1088,1", "0,7603205", "0,113474"
"1088,15", "0,7611105", "0,1131607"
"1088,2", "0,7622164", "0,1162935"
"1088,25", "0,7633224", "0,1189563"
"1088,35", "0,7650604", "0,1123775"
