Experiment:, Cathode characterisation
Start date:, p?tek 4. listopadu 2022
Start time:, 13:37:32 +01:00
"Time (s)", "Voltage (V)", "Current Density (A/cm2)"
"477,55", "0,04981791", "-0,51183"
"477,65", "0,05191733", "-0,3793132"
"477,7", "0,0529118", "-0,3313816"
"477,75", "0,05392204", "-0,2897155"
"477,8", "0,05496386", "-0,2524354"
"477,85", "0,05591097", "-0,223927"
"477,9", "0,05682651", "-0,2024675"
"478", "0,05903643", "-0,1506198"
"478,05", "0,0599204", "-0,1390285"
"478,1", "0,06086751", "-0,1268107"
"478,15", "0,0619409", "-0,1050378"
"478,2", "0,06290379", "-0,09485627"
"478,25", "0,06383511", "-0,08201185"
"478,35", "0,06588718", "-0,05757612"
"478,4", "0,06683429", "-0,04598481"
"478,45", "0,06779719", "-0,03799621"
"478,5", "0,06872851", "-0,03768294"
"478,55", "0,06977033", "-0,02201901"
"478,6", "0,07074901", "-0,02107917"
"478,65", "0,07182239", "-0,005258605"
"478,7", "0,07284843", "-0,004632047"
"478,8", "0,07488471", "0,007585815"
"478,85", "0,07594232", "0,01526114"
"478,9", "0,07690521", "0,01573106"
"478,95", "0,07788389", "0,01494786"
"479", "0,07890993", "0,0223099"
"479,1", "0,08089885", "0,02841884"
"479,15", "0,08175125", "0,02090015"
"479,2", "0,08295092", "0,03405785"
"479,25", "0,08410324", "0,03452777"
"479,3", "0,08506613", "0,0326481"
"479,35", "0,08587117", "0,02794892"
"479,4", "0,08686563", "0,03296138"
"479,5", "0,08898084", "0,04032342"
"479,55", "0,0898806", "0,03687736"
"479,6", "0,0909382", "0,04188982"
"479,65", "0,09196424", "0,04533588"
"479,7", "0,09308498", "0,04831202"
"479,75", "0,09392159", "0,03969686"
"479,8", "0,09491606", "0,04298629"
"479,9", "0,09695234", "0,04220309"
"479,95", "0,09793102", "0,04470932"
"480", "0,09897283", "0,04596243"
"480,05", "0,1000147", "0,04705891"
"480,1", "0,1009144", "0,04298629"
"480,15", "0,1018931", "0,04596243"
"480,2", "0,1028402", "0,04611908"
"480,25", "0,1039452", "0,04878194"
"480,35", "0,1059814", "0,0478421"
"480,4", "0,1069443", "0,04737219"
"480,45", "0,1078441", "0,04596243"
"480,5", "0,1088701", "0,0478421"
"480,6", "0,1108117", "0,04737219"
"480,65", "0,1117114", "0,0450226"
"480,7", "0,1127217", "0,0486253"
"480,75", "0,1138267", "0,05113153"
"480,8", "0,1148685", "0,04846866"
"480,85", "0,1160997", "0,0545776"
"480,9", "0,1170626", "0,05019169"
"480,95", "0,1181834", "0,05160145"
"481", "0,1190989", "0,04956514"
"481,05", "0,1200934", "0,04893858"
"481,15", "0,1220191", "0,05097489"
"481,2", "0,1229978", "0,04956514"
"481,25", "0,1240554", "0,05081825"
"481,3", "0,1249868", "0,04846866"
"481,4", "0,1269125", "0,0478421"
"481,45", "0,127907", "0,0530112"
"481,5", "0,128933", "0,05410768"
"481,55", "0,1300853", "0,05285456"
"481,6", "0,1310167", "0,05160145"
"481,65", "0,1319796", "0,05128817"
"481,7", "0,1330056", "0,05395104"
"481,8", "0,1349472", "0,05081825"
"481,85", "0,1360364", "0,05583071"
"481,9", "0,1370782", "0,05363776"
"481,95", "0,1380726", "0,05489087"
"482", "0,1390513", "0,0537944"
"482,05", "0,1401247", "0,05583071"
"482,1", "0,1409771", "0,05097489"
"482,2", "0,142745", "0,05003506"
"482,25", "0,1438974", "0,05551743"
"482,3", "0,1448918", "0,05348112"
"482,35", "0,1457916", "0,05097489"
"482,4", "0,1467387", "0,05097489"
"482,45", "0,1478278", "0,05316784"
"482,5", "0,1488539", "0,05426432"
"482,6", "0,1509849", "0,05583071"
"482,65", "0,1520109", "0,05269792"
"482,7", "0,1529264", "0,05191473"
"482,75", "0,1538262", "0,05144481"
"482,8", "0,1547891", "0,05316784"
"482,85", "0,1558783", "0,0537944"
"482,95", "0,1578514", "0,05128817"
"483", "0,1588143", "0,05175809"
"483,05", "0,1597299", "0,0486253"
"483,1", "0,160677", "0,05081825"
"483,15", "0,161703", "0,05128817"
"483,2", "0,1627448", "0,05191473"
"483,25", "0,1637393", "0,05160145"
"483,35", "0,1658703", "0,04972177"
"483,4", "0,1669437", "0,05238464"
"483,45", "0,167875", "0,04987842"
"483,5", "0,1688695", "0,04925186"
"483,55", "0,1698481", "0,05066161"
"483,6", "0,1708426", "0,04893858"
"483,65", "0,1717108", "0,0478421"
"483,75", "0,1736997", "0,05003506"
"483,8", "0,1747889", "0,05113153"
"483,85", "0,1757676", "0,05019169"
"483,9", "0,1767147", "0,04752883"
"483,95", "0,1777723", "0,04956514"
"484", "0,1788614", "0,05034833"
"484,05", "0,1798559", "0,04799874"
"484,1", "0,1808819", "0,04893858"
"484,2", "0,1829024", "0,04721555"
"484,25", "0,1839443", "0,04799874"
"484,3", "0,1849703", "0,0494085"
"484,35", "0,1860437", "0,04956514"
"484,4", "0,186975", "0,04815539"
"484,5", "0,1889166", "0,04329957"
"484,55", "0,1898795", "0,04768547"
"484,6", "0,1909213", "0,04674564"
"484,65", "0,1918842", "0,04690227"
"484,7", "0,1928786", "0,04721555"
"484,75", "0,1939362", "0,04643235"
"484,8", "0,194836", "0,04361285"
"484,9", "0,1967618", "0,04721555"
"484,95", "0,1978983", "0,04846866"
"485", "0,1988612", "0,04658899"
"485,05", "0,1998241", "0,04486596"
"485,1", "0,2008028", "0,04627572"
"485,15", "0,2017025", "0,04361285"
"485,2", "0,202697", "0,04533588"
"485,25", "0,203723", "0,04690227"
"485,35", "0,2057751", "0,04361285"
"485,4", "0,2067222", "0,0450226"
"485,45", "0,2076851", "0,04392612"
"485,5", "0,2087901", "0,04721555"
"485,55", "0,209895", "0,04439604"
"485,6", "0,2109526", "0,04361285"
"485,65", "0,2119945", "0,04235973"
"485,75", "0,2139518", "0,04361285"
"485,8", "0,2149936", "0,04408276"
"485,85", "0,2159092", "0,0406367"
"485,9", "0,2168721", "0,04235973"
"485,95", "0,2178192", "0,04094998"
"486", "0,2188768", "0,04267301"
"486,1", "0,2209131", "0,04048006"
"486,15", "0,2217813", "0,04235973"
"486,2", "0,2228231", "0,03938359"
"486,25", "0,2238649", "0,04173318"
"486,3", "0,2248751", "0,04032342"
"486,35", "0,2258065", "0,03907031"
"486,45", "0,2280006", "0,04157653"
"486,5", "0,2289793", "0,03891367"
"486,55", "0,2299264", "0,03938359"
"486,65", "0,2320416", "0,03750391"
"486,75", "0,2340621", "0,03891367"
"486,8", "0,2350881", "0,037034"
"486,9", "0,237156", "0,03797383"
"486,95", "0,2381662", "0,03938359"
"487", "0,2391133", "0,03531097"
"487,05", "0,2401078", "0,0398535"
"487,15", "0,2421125", "0,03578088"
"487,2", "0,243249", "0,03891367"
"487,25", "0,2442593", "0,03687736"
"487,3", "0,2451906", "0,0362508"
"487,35", "0,2462324", "0,03672072"
"487,4", "0,2471164", "0,03578088"
"487,45", "0,2481898", "0,0362508"
"487,5", "0,2491843", "0,03672072"
"487,55", "0,2501787", "0,03593753"
"487,6", "0,2512205", "0,03609416"
"487,7", "0,2531621", "0,03593753"
"487,75", "0,2540303", "0,03123834"
"487,8", "0,2549932", "0,03374457"
"487,85", "0,256035", "0,03437113"
"487,95", "0,2580713", "0,03311801"
"488", "0,2590815", "0,03437113"
"488,05", "0,2600918", "0,03405785"
"488,15", "0,2621912", "0,03531097"
"488,2", "0,2631857", "0,03343129"
"488,25", "0,2640854", "0,03233482"
"488,35", "0,2660428", "0,0354676"
"488,4", "0,2672109", "0,03296138"
"488,45", "0,2680159", "0,03311801"
