Experiment:, Cathode characterisation
Start date:, ?tvrtek 8. prosince 2022
Start time:, 18:53:09 +01:00
"Time (s)", "Voltage (V)", "Current Density (A/cm2)"
"130,05", "0,3996163", "0,008995568"
"130,1", "0,4005643", "0,009778764"
"130,15", "0,4015122", "0,009778764"
"130,2", "0,4026182", "0,009778764"
"130,25", "0,4035662", "0,01181507"
"130,3", "0,4045142", "0,01103188"
"130,35", "0,4056201", "0,01024868"
"130,4", "0,4065681", "0,01009204"
"130,45", "0,4076741", "0,01009204"
"130,5", "0,408622", "0,009622125"
"130,55", "0,409728", "0,009778764"
"130,6", "0,410676", "0,009465486"
"130,65", "0,411624", "0,01009204"
"130,7", "0,412414", "0,01087524"
"130,75", "0,4135199", "0,009935404"
"130,8", "0,4143099", "0,009152208"
"130,85", "0,4155739", "0,01228499"
"130,9", "0,4165218", "0,01118852"
"130,95", "0,4174698", "0,01056196"
"131", "0,4185758", "0,01024868"
"131,05", "0,4195237", "0,0107186"
"131,1", "0,4206297", "0,009622125"
"131,15", "0,4215777", "0,009465486"
"131,2", "0,4225257", "0,01134516"
"131,25", "0,4236316", "0,0115018"
"131,3", "0,4245796", "0,01118852"
"131,35", "0,4255276", "0,01087524"
"131,4", "0,4266336", "0,01134516"
"131,45", "0,4275815", "0,01087524"
"131,5", "0,4283715", "0,01009204"
"131,55", "0,4294775", "0,01197171"
"131,6", "0,4305834", "0,01165843"
"131,65", "0,4313734", "0,01134516"
"131,7", "0,4324794", "0,009465486"
"131,75", "0,4335854", "0,0107186"
"131,8", "0,4346913", "0,01103188"
"131,85", "0,4356393", "0,009465486"
"131,9", "0,4365873", "0,01056196"
"131,95", "0,4375353", "0,01118852"
"132", "0,4386412", "0,01197171"
"132,05", "0,4395892", "0,0107186"
"132,1", "0,4405372", "0,01118852"
"132,15", "0,4414852", "0,0115018"
"132,2", "0,4425911", "0,01181507"
"132,25", "0,4433811", "0,009778764"
"132,3", "0,4444871", "0,01165843"
"132,35", "0,4454351", "0,01103188"
"132,4", "0,446383", "0,01103188"
"132,45", "0,447331", "0,01087524"
"132,5", "0,448279", "0,01118852"
"132,55", "0,449385", "0,01306819"
"132,6", "0,4504909", "0,01103188"
"132,65", "0,4515969", "0,01056196"
"132,7", "0,4525449", "0,01024868"
"132,75", "0,4534928", "0,01087524"
"132,8", "0,4545988", "0,01056196"
"132,85", "0,4555468", "0,01181507"
"132,9", "0,4566528", "0,01024868"
"132,95", "0,4576007", "0,01103188"
"133", "0,4587067", "0,01087524"
"133,05", "0,4596547", "0,01040532"
"133,1", "0,4606026", "0,01259827"
"133,15", "0,4615506", "0,01087524"
"133,2", "0,4624986", "0,01009204"
"133,25", "0,4634466", "0,01197171"
"133,3", "0,4645525", "0,01306819"
"133,35", "0,4655005", "0,01259827"
"133,4", "0,4664485", "0,01087524"
"133,45", "0,4675545", "0,01134516"
"133,5", "0,4685024", "0,01228499"
"133,55", "0,4694504", "0,009935404"
"133,6", "0,4705564", "0,01197171"
"133,65", "0,4715044", "0,01134516"
"133,7", "0,4724523", "0,01118852"
"133,75", "0,4735583", "0,01197171"
"133,8", "0,4746643", "0,0115018"
"133,85", "0,4756122", "0,01118852"
"133,9", "0,4767182", "0,01275491"
"133,95", "0,4775082", "0,009622125"
"134", "0,4786142", "0,01087524"
"134,05", "0,4797201", "0,01165843"
"134,1", "0,4806681", "0,01103188"
"134,15", "0,4816161", "0,009935404"
"134,2", "0,482406", "0,01056196"
"134,25", "0,483354", "0,01244163"
"134,3", "0,484302", "0,01165843"
"134,35", "0,485408", "0,01118852"
"134,4", "0,4863559", "0,01353811"
"134,45", "0,4873039", "0,01338147"
"134,5", "0,4884099", "0,01259827"
"134,55", "0,4893579", "0,01291155"
"134,6", "0,4903058", "0,01134516"
"134,65", "0,4914118", "0,01197171"
"134,7", "0,4923598", "0,01118852"
"134,75", "0,4933078", "0,01118852"
"134,8", "0,4944137", "0,01181507"
"134,85", "0,4953617", "0,0115018"
"134,9", "0,4964677", "0,01291155"
"134,95", "0,4974156", "0,01322483"
"135", "0,4983636", "0,01056196"
"135,05", "0,4993116", "0,01087524"
"135,1", "0,5004175", "0,01165843"
"135,15", "0,5013655", "0,01306819"
"135,2", "0,5023135", "0,01197171"
"135,25", "0,5032614", "0,01197171"
"135,3", "0,5043675", "0,01118852"
"135,35", "0,5053154", "0,01197171"
"135,4", "0,5062634", "0,01024868"
"135,45", "0,5073693", "0,01134516"
"135,5", "0,5083174", "0,01103188"
"135,55", "0,5092653", "0,01103188"
"135,6", "0,5103713", "0,01463458"
"135,65", "0,5113192", "0,01134516"
"135,7", "0,5124252", "0,01244163"
"135,75", "0,5135312", "0,01181507"
"135,8", "0,5149531", "0,01291155"
"135,85", "0,5163751", "0,0115018"
"135,9", "0,517639", "0,01228499"
"135,95", "0,5185871", "0,01197171"
"136", "0,519693", "0,01385139"
"136,05", "0,520799", "0,01165843"
"136,1", "0,521589", "0,01244163"
"136,15", "0,5226949", "0,01291155"
"136,2", "0,5236429", "0,01291155"
"136,25", "0,5247489", "0,01197171"
"136,3", "0,5256969", "0,01134516"
"136,35", "0,5266448", "0,01228499"
"136,4", "0,5275928", "0,01526114"
"136,45", "0,5286987", "0,01526114"
"136,5", "0,5296468", "0,01385139"
"136,55", "0,5305947", "0,01291155"
"136,6", "0,5317007", "0,01322483"
"136,65", "0,5326487", "0,0115018"
"136,7", "0,5337546", "0,01291155"
"136,75", "0,5348606", "0,01228499"
"136,8", "0,5358086", "0,01275491"
"136,85", "0,5369146", "0,01165843"
"136,9", "0,5377045", "0,01259827"
"136,95", "0,5386525", "0,01165843"
"137", "0,5397585", "0,01228499"
"137,05", "0,5408645", "0,01259827"
"137,1", "0,5416544", "0,01275491"
"137,15", "0,5426024", "0,01197171"
"137,2", "0,5438664", "0,01400802"
"137,25", "0,5446563", "0,01385139"
"137,3", "0,5456043", "0,01291155"
"137,35", "0,5465523", "0,01291155"
"137,4", "0,5475003", "0,01291155"
"137,45", "0,5484483", "0,0143213"
"137,5", "0,5495542", "0,01526114"
"137,55", "0,5505022", "0,01322483"
"137,6", "0,5514502", "0,01322483"
"137,65", "0,5525562", "0,01416466"
"137,7", "0,5535041", "0,01322483"
"137,75", "0,5546101", "0,01322483"
"137,8", "0,555558", "0,01494786"
"137,85", "0,556664", "0,01494786"
"137,9", "0,55777", "0,01463458"
"137,95", "0,55856", "0,01291155"
"138", "0,559508", "0,01400802"
"138,05", "0,5602979", "0,01400802"
"138,1", "0,5614039", "0,01416466"
"138,15", "0,5623519", "0,01400802"
"138,2", "0,5632998", "0,01353811"
"138,25", "0,5645638", "0,01416466"
"138,3", "0,5655118", "0,01463458"
"138,35", "0,5663018", "0,01479122"
"138,4", "0,5674078", "0,01541778"
"138,45", "0,5683557", "0,01353811"
"138,5", "0,5694617", "0,01479122"
"138,55", "0,5704097", "0,0143213"
"138,6", "0,5715156", "0,0143213"
"138,65", "0,5723056", "0,01416466"
"138,7", "0,5734116", "0,01447794"
"138,75", "0,5742016", "0,01369475"
"138,8", "0,5753075", "0,01416466"
"138,85", "0,5762555", "0,01447794"
"138,9", "0,5773615", "0,01447794"
"138,95", "0,5783094", "0,01369475"
"139", "0,5792574", "0,01620097"
"139,05", "0,5803634", "0,01557442"
"139,1", "0,5813113", "0,01479122"
"139,15", "0,5822593", "0,01729745"
"139,2", "0,5835233", "0,01526114"
"139,25", "0,5843133", "0,01557442"
"139,3", "0,5855772", "0,01698417"
"139,35", "0,5865252", "0,01479122"
"139,4", "0,5873152", "0,01463458"
"139,45", "0,5882632", "0,01557442"
"139,5", "0,5893691", "0,01416466"
"139,55", "0,5901591", "0,01385139"
"139,6", "0,5914231", "0,0158877"
"139,65", "0,5925291", "0,0158877"
"139,7", "0,593477", "0,0151045"
"139,75", "0,594425", "0,01494786"
"139,8", "0,595531", "0,01526114"
"139,85", "0,596321", "0,01416466"
"139,9", "0,5975849", "0,01620097"
"139,95", "0,5985329", "0,01400802"
"140", "0,5994809", "0,01573106"
"140,05", "0,6005868", "0,01463458"
"140,1", "0,6015348", "0,01416466"
"140,15", "0,6024828", "0,01463458"
"140,2", "0,6035888", "0,01494786"
"140,25", "0,6045367", "0,0158877"
"140,3", "0,6056427", "0,01620097"
"140,35", "0,6065907", "0,01479122"
"140,4", "0,6075386", "0,01620097"
"140,45", "0,6086446", "0,01604434"
"140,5", "0,6095926", "0,01494786"
"140,55", "0,6105406", "0,01745409"
"140,6", "0,6114885", "0,01526114"
"140,65", "0,6124365", "0,0151045"
"140,7", "0,6135425", "0,0143213"
"140,75", "0,6143325", "0,0143213"
"140,8", "0,6152804", "0,01447794"
"140,85", "0,6165444", "0,01494786"
"140,9", "0,6173344", "0,01447794"
"140,95", "0,6182824", "0,0158877"
"141", "0,6193883", "0,0158877"
"141,05", "0,6203363", "0,01494786"
"141,1", "0,6212842", "0,01620097"
"141,15", "0,6223902", "0,0151045"
"141,2", "0,6234962", "0,01682753"
"141,25", "0,6244442", "0,01494786"
"141,3", "0,6255502", "0,01494786"
"141,35", "0,6263402", "0,01573106"
"141,4", "0,6272881", "0,01604434"
"141,45", "0,6282361", "0,01745409"
"141,5", "0,6291841", "0,01745409"
"141,55", "0,63029", "0,01714081"
"141,6", "0,631238", "0,01745409"
"141,65", "0,632186", "0,01855056"
"141,7", "0,6331339", "0,01729745"
"141,75", "0,6342399", "0,01651425"
"141,8", "0,6351879", "0,01745409"
"141,85", "0,6361359", "0,01776737"
"141,9", "0,6370838", "0,01714081"
"141,95", "0,6381898", "0,01651425"
"142", "0,6392958", "0,01651425"
"142,05", "0,6402437", "0,01714081"
"142,1", "0,6413497", "0,01729745"
"142,15", "0,6422977", "0,01823729"
"142,2", "0,6432457", "0,01682753"
"142,25", "0,6441936", "0,01761073"
"142,3", "0,6452996", "0,01761073"
"142,35", "0,6462476", "0,01667089"
"142,4", "0,6471956", "0,01698417"
"142,45", "0,6483015", "0,01808065"
"142,5", "0,6492495", "0,01776737"
"142,55", "0,6501974", "0,01776737"
"142,6", "0,6509874", "0,01823729"
"142,65", "0,6519355", "0,01823729"
"142,7", "0,6531994", "0,01808065"
"142,75", "0,6541474", "0,01745409"
"142,8", "0,6550953", "0,01902048"
"142,85", "0,6562013", "0,02011696"
"142,9", "0,6569914", "0,01776737"
"142,95", "0,6580973", "0,02043023"
"143", "0,6592032", "0,01980368"
"143,05", "0,6603092", "0,01980368"
"143,1", "0,6612571", "0,0194904"
"143,15", "0,6623631", "0,0202736"
"143,2", "0,6633112", "0,01933376"
"143,25", "0,6642591", "0,01980368"
"143,3", "0,6653651", "0,02090015"
"143,35", "0,6663131", "0,02074351"
"143,4", "0,667261", "0,01964704"
"143,45", "0,668209", "0,01917712"
"143,5", "0,669315", "0,01886384"
"143,55", "0,6702629", "0,01917712"
"143,6", "0,6712109", "0,02043023"
"143,65", "0,6721589", "0,01996032"
"143,7", "0,6731068", "0,02105679"
"143,75", "0,6742129", "0,02183999"
