Experiment:, Cathode characterisation
Start date:, p?tek 27. ledna 2023
Start time:, 12:45:48 +01:00
"Time (s)", "Voltage (V)", "Current Density (A/cm2)"
"557,55", "0,05013361", "-0,4773694"
"557,65", "0,05231196", "-0,4056286"
"557,7", "0,05321172", "-0,3832292"
"557,75", "0,05426932", "-0,3600465"
"557,8", "0,05531114", "-0,3373338"
"557,85", "0,05627403", "-0,3221398"
"557,9", "0,05725271", "-0,303813"
"558", "0,05914693", "-0,2757746"
"558,05", "0,0602361", "-0,2552549"
"558,1", "0,06129371", "-0,2414706"
"558,15", "0,0622566", "-0,2306625"
"558,2", "0,06315635", "-0,2179747"
"558,25", "0,06415082", "-0,2034073"
"558,35", "0,06610817", "-0,1817911"
"558,4", "0,06710264", "-0,1680068"
"558,45", "0,06816024", "-0,1564155"
"558,5", "0,06921785", "-0,1449808"
"558,55", "0,07014918", "-0,1377754"
"558,6", "0,0711752", "-0,1269673"
"558,65", "0,07228016", "-0,1166291"
"558,7", "0,07329042", "-0,1092671"
"558,8", "0,07518463", "-0,09422971"
"558,85", "0,07616331", "-0,08812078"
"558,9", "0,07728405", "-0,07919233"
"558,95", "0,07823116", "-0,07324004"
"559", "0,07917827", "-0,06681783"
"559,05", "0,08017273", "-0,06211866"
"559,15", "0,08219324", "-0,05287694"
"559,2", "0,0832982", "-0,04786448"
"559,25", "0,08419795", "-0,04332195"
"559,3", "0,08525555", "-0,03893605"
"559,35", "0,08631316", "-0,03345368"
"559,4", "0,08730762", "-0,02938105"
"559,5", "0,08921763", "-0,02374204"
"559,55", "0,0901963", "-0,01794639"
"559,6", "0,09122233", "-0,01559679"
"559,65", "0,09223258", "-0,0112109"
"559,7", "0,09335333", "-0,008704669"
"559,75", "0,09428465", "-0,008704669"
"559,8", "0,09532648", "-0,004945328"
"559,85", "0,09636829", "-0,003222294"
"559,95", "0,09827829", "0,001790162"
"560", "0,09932011", "0,002103441"
"560,05", "0,1002514", "0,004922947"
"560,1", "0,1012617", "0,005549503"
"560,15", "0,1022088", "0,009778764"
"560,2", "0,1031559", "0,008838929"
"560,3", "0,1050185", "0,01197171"
"560,35", "0,1059972", "0,01385139"
"560,4", "0,107039", "0,01573106"
"560,45", "0,107923", "0,01667089"
"560,5", "0,1089491", "0,01917712"
"560,55", "0,1100067", "0,01996032"
"560,65", "0,1120272", "0,02199663"
"560,7", "0,1131321", "0,02465949"
"560,75", "0,1142055", "0,02512941"
"560,8", "0,1151368", "0,02528605"
"560,85", "0,1161471", "0,02544269"
"560,9", "0,1171415", "0,0266958"
"560,95", "0,1181676", "0,02810556"
"561", "0,1192094", "0,02857548"
"561,1", "0,1211194", "0,03170826"
"561,15", "0,1221928", "0,0310817"
"561,2", "0,1232346", "0,03327465"
"561,25", "0,1242291", "0,03343129"
"561,3", "0,125334", "0,03531097"
"561,35", "0,1262496", "0,03468441"
"561,4", "0,1272598", "0,03405785"
"561,5", "0,1292961", "0,03609416"
"561,55", "0,1302906", "0,03672072"
"561,6", "0,1313166", "0,03672072"
"561,65", "0,1322479", "0,03593753"
"561,7", "0,1332266", "0,03719064"
"561,75", "0,1343158", "0,03766055"
"561,85", "0,13621", "0,0378172"
"561,9", "0,1370782", "0,03922695"
"561,95", "0,1381042", "0,03922695"
"562", "0,139146", "0,03954023"
"562,05", "0,1401563", "0,04126326"
"562,1", "0,1411349", "0,04188982"
"562,15", "0,1421926", "0,04079334"
"562,25", "0,144292", "0,04345621"
"562,3", "0,1452391", "0,04298629"
"562,35", "0,1461704", "0,04282965"
"562,4", "0,1471964", "0,04329957"
"562,45", "0,1482856", "0,04267301"
"562,5", "0,1493117", "0,04564916"
"562,55", "0,150243", "0,04408276"
"562,65", "0,1522319", "0,0458058"
"562,7", "0,1533053", "0,04517924"
"562,75", "0,1542998", "0,04690227"
"562,8", "0,1553416", "0,04533588"
"562,85", "0,1562571", "0,04627572"
"562,95", "0,1581513", "0,04596243"
"563", "0,1592405", "0,04846866"
"563,05", "0,1602508", "0,04831202"
"563,1", "0,1611979", "0,04690227"
"563,15", "0,1622081", "0,04799874"
"563,2", "0,1631079", "0,05050497"
"563,25", "0,1641181", "0,0494085"
"563,3", "0,1650494", "0,04799874"
"563,4", "0,1672909", "0,05128817"
"563,45", "0,1683012", "0,05019169"
"563,5", "0,1693746", "0,05050497"
"563,55", "0,170448", "0,04987842"
"563,6", "0,1711899", "0,05097489"
"563,7", "0,173163", "0,05081825"
"563,75", "0,1741101", "0,05222801"
"563,8", "0,1751046", "0,05128817"
"563,85", "0,1762569", "0,05175809"
"563,9", "0,1771251", "0,0530112"
"563,95", "0,1781511", "0,05426432"
"564", "0,1791298", "0,05395104"
"564,1", "0,1813555", "0,0545776"
"564,15", "0,1823184", "0,05316784"
"564,2", "0,1833286", "0,05395104"
"564,25", "0,1843547", "0,05426432"
"564,3", "0,1853965", "0,05583071"
"564,35", "0,1864067", "0,05645727"
"564,4", "0,1875433", "0,05473424"
"564,45", "0,1883325", "0,05520415"
"564,5", "0,1892796", "0,05677054"
"564,6", "0,1914264", "0,05583071"
"564,65", "0,1924998", "0,0566139"
"564,7", "0,1933995", "0,05912013"
"564,75", "0,1943467", "0,05833694"
"564,85", "0,196304", "0,05833694"
"564,9", "0,1972985", "0,05802366"
"564,95", "0,1982298", "0,05943341"
"565", "0,1993032", "0,05959005"
"565,05", "0,2002661", "0,05943341"
"565,15", "0,202334", "0,06005996"
"565,25", "0,2043545", "0,05943341"
"565,3", "0,2053963", "0,0609998"
"565,35", "0,2065012", "0,06084317"
"565,4", "0,2074168", "0,061783"
"565,45", "0,2085691", "0,06193964"
"565,5", "0,2095636", "0,06131308"
"565,55", "0,2106054", "0,06428923"
"565,6", "0,2114578", "0,06381931"
"565,65", "0,2124996", "0,06272284"
"565,75", "0,2144569", "0,06366267"
"565,8", "0,2155777", "0,06272284"
"565,85", "0,2166195", "0,06413259"
"565,9", "0,2175035", "0,06350603"
"565,95", "0,2184822", "0,06381931"
"566", "0,2195713", "0,06507242"
"566,1", "0,2214497", "0,06428923"
"566,15", "0,2224758", "0,0653857"
"566,2", "0,2235807", "0,0661689"
"566,25", "0,2245752", "0,06507242"
"566,3", "0,2255381", "0,06836185"
"566,35", "0,2263116", "0,06569898"
"566,45", "0,2286004", "0,06569898"
"566,5", "0,2296265", "0,06726538"
"566,55", "0,2306525", "0,06648218"
"566,6", "0,2315049", "0,0653857"
"566,65", "0,2324678", "0,06726538"
"566,7", "0,2335254", "0,06773529"
"566,75", "0,2344883", "0,06836185"
"566,8", "0,2354354", "0,06679546"
"566,9", "0,237377", "0,06742202"
"566,95", "0,2382925", "0,06710874"
"567", "0,2393185", "0,06914505"
"567,05", "0,2402656", "0,06820521"
"567,1", "0,2413232", "0,06773529"
"567,2", "0,2435174", "0,07024152"
"567,25", "0,2445119", "0,0697716"
"567,3", "0,2453642", "0,06867513"
"567,35", "0,2463903", "0,06992824"
"567,4", "0,2473847", "0,06851849"
"567,45", "0,2483634", "0,06804857"
"567,5", "0,2493421", "0,07102472"
"567,6", "0,2515047", "0,06930169"
"567,65", "0,2525623", "0,07024152"
"567,7", "0,2535252", "0,07306103"
"567,75", "0,2545354", "0,07525398"
"567,8", "0,2554667", "0,07290439"
"567,85", "0,2564454", "0,07196455"
"567,9", "0,2573452", "0,07165127"
"567,95", "0,2584659", "0,0721212"
"568,05", "0,2604864", "0,07259111"
"568,1", "0,2613546", "0,07462742"
"568,15", "0,2623648", "0,07337431"
"568,2", "0,2633435", "0,07306103"
"568,3", "0,2652535", "0,07353094"
"568,35", "0,2663111", "0,07462742"
"568,4", "0,267274", "0,07400087"
"568,45", "0,2682685", "0,0749407"
"568,5", "0,2693103", "0,07306103"
"568,55", "0,2703521", "0,07337431"
"568,6", "0,2712992", "0,07337431"
"568,65", "0,272341", "0,07431415"
"568,75", "0,2743142", "0,0749407"
"568,85", "0,2764136", "0,0749407"
"568,9", "0,2775344", "0,07588054"
"568,95", "0,2784341", "0,07572389"
"569", "0,2795075", "0,07635045"
"569,05", "0,2805493", "0,07666373"
"569,15", "0,2825382", "0,07588054"
"569,2", "0,2834538", "0,07603717"
"569,25", "0,284464", "0,07697701"
"569,3", "0,2854585", "0,07572389"
"569,35", "0,2864687", "0,07729029"
"569,4", "0,2875579", "0,07760356"
"569,5", "0,2895153", "0,07948323"
"569,55", "0,2904624", "0,07870004"
"569,6", "0,2914411", "0,07838677"
"569,65", "0,2923882", "0,0793266"
"569,7", "0,2933353", "0,07885668"
"569,75", "0,2943771", "0,07823012"
"569,8", "0,2953874", "0,07901332"
"569,9", "0,2973289", "0,07995315"
"569,95", "0,2983076", "0,08151954"
"570", "0,2993968", "0,08042307"
"570,05", "0,3003439", "0,07995315"
"570,1", "0,3013541", "0,0813629"
"570,15", "0,302317", "0,0801098"
"570,2", "0,3032957", "0,08120627"
"570,25", "0,3043375", "0,08198947"
"570,35", "0,3063265", "0,08214611"
"570,4", "0,3073999", "0,08167619"
"570,45", "0,3083785", "0,08089299"
"570,55", "0,3105095", "0,08151954"
"570,6", "0,3114724", "0,08245938"
"570,7", "0,3134771", "0,08151954"
"570,75", "0,3144242", "0,08465233"
"570,8", "0,3157206", "0,08590545"
"570,85", "0,3166686", "0,08292931"
"570,9", "0,3177745", "0,08543553"
"570,95", "0,3187225", "0,08590545"
"571,05", "0,3206185", "0,08480898"
"571,1", "0,3215664", "0,08386914"
"571,15", "0,3225144", "0,08449569"
"571,2", "0,3236203", "0,08386914"
"571,25", "0,3245684", "0,08465233"
"571,3", "0,3256743", "0,08527889"
"571,35", "0,3266223", "0,08496562"
"571,4", "0,3275703", "0,08527889"
"571,5", "0,3296242", "0,08465233"
"571,55", "0,3304142", "0,08559217"
"571,6", "0,3313622", "0,08433905"
"571,65", "0,3324681", "0,08590545"
"571,7", "0,3335741", "0,08684529"
"571,75", "0,3345221", "0,08512225"
"571,85", "0,336576", "0,08496562"
"571,9", "0,337682", "0,08527889"
"571,95", "0,33863", "0,08527889"
"572", "0,3395779", "0,08621872"
"572,05", "0,3405259", "0,08480898"
"572,1", "0,3413159", "0,08496562"
"572,15", "0,3424219", "0,08668865"
"572,2", "0,3433698", "0,08621872"
"572,3", "0,3452658", "0,08715856"
"572,35", "0,3462137", "0,08621872"
"572,4", "0,3473197", "0,08606208"
"572,45", "0,3482677", "0,08637536"
"572,55", "0,3503217", "0,08715856"
"572,6", "0,3512696", "0,08621872"
"572,65", "0,3523756", "0,08684529"
"572,7", "0,3534816", "0,08621872"
"572,75", "0,3544295", "0,0873152"
"572,8", "0,3553775", "0,08700192"
"572,85", "0,3564835", "0,08919487"
"572,9", "0,3574314", "0,08794177"
"573", "0,3593274", "0,08747184"
"573,05", "0,3604333", "0,08794177"
"573,1", "0,3613814", "0,08637536"
"573,15", "0,3623293", "0,08825504"
"573,2", "0,3632773", "0,08825504"
"573,25", "0,3643833", "0,08856832"
"573,3", "0,3653312", "0,08825504"
"573,4", "0,3670692", "0,08950816"
"573,45", "0,3681751", "0,08856832"
"573,5", "0,3692811", "0,08794177"
"573,55", "0,3700711", "0,08950816"
"573,6", "0,3710191", "0,08809839"
"573,65", "0,371967", "0,09076127"
"573,7", "0,373073", "0,08982144"
"573,8", "0,375285", "0,08982144"
"573,85", "0,3763909", "0,09029134"
"573,9", "0,3773389", "0,08997807"
"573,95", "0,3786029", "0,09138783"
"574", "0,3793928", "0,08903823"
"574,1", "0,3812888", "0,09029134"
"574,15", "0,3823948", "0,09060463"
"574,2", "0,3835008", "0,0888816"
"574,25", "0,3844487", "0,0888816"
"574,3", "0,3852387", "0,08997807"
"574,35", "0,3863447", "0,08950816"
"574,45", "0,3880826", "0,08919487"
"574,5", "0,3890306", "0,0888816"
"574,6", "0,3910845", "0,08950816"
"574,65", "0,3920325", "0,08825504"
"574,7", "0,3929805", "0,08950816"
"574,75", "0,3940865", "0,09044799"
"574,8", "0,3950344", "0,08982144"
"574,9", "0,3972464", "0,09091791"
"574,95", "0,3981943", "0,08950816"
"575", "0,3991423", "0,09060463"
"575,05", "0,4002483", "0,09076127"
"575,1", "0,4010383", "0,08997807"
"575,15", "0,4019862", "0,09044799"
"575,2", "0,4030922", "0,09170111"
"575,3", "0,4049881", "0,09029134"
"575,35", "0,4059362", "0,09013471"
"575,4", "0,4068841", "0,08982144"
"575,45", "0,4079901", "0,09154446"
"575,5", "0,4089381", "0,09060463"
"575,55", "0,409886", "0,09154446"
"575,6", "0,410992", "0,09091791"
"575,65", "0,41194", "0,09013471"
"575,75", "0,4141519", "0,08950816"
"575,8", "0,4152579", "0,08966479"
"575,85", "0,4162059", "0,08982144"
"575,9", "0,4171538", "0,08950816"
"576", "0,4190498", "0,09013471"
"576,05", "0,4201558", "0,09154446"
"576,1", "0,4211037", "0,08950816"
"576,15", "0,4220517", "0,09091791"
"576,2", "0,4229997", "0,09091791"
"576,25", "0,4239476", "0,09185775"
"576,3", "0,4248956", "0,09217101"
"576,4", "0,4271075", "0,09123117"
"576,45", "0,4278975", "0,09170111"
"576,5", "0,4290035", "0,09217101"
"576,55", "0,4299515", "0,09123117"
"576,6", "0,4308994", "0,09185775"
"576,65", "0,4320054", "0,09170111"
"576,7", "0,4329534", "0,09154446"
"576,75", "0,4340594", "0,09217101"
"576,8", "0,4350073", "0,09154446"
"576,9", "0,4369033", "0,09201438"
"576,95", "0,4378513", "0,0924843"
"577", "0,4387992", "0,09123117"
"577,05", "0,4399052", "0,09201438"
"577,1", "0,4408532", "0,09185775"
"577,2", "0,4429071", "0,09311084"
"577,25", "0,4436971", "0,09279758"
"577,3", "0,4446451", "0,0924843"
"577,35", "0,4455931", "0,09232766"
"577,4", "0,446699", "0,0932675"
"577,45", "0,447647", "0,0932675"
"577,5", "0,448753", "0,09436397"
"577,6", "0,4506489", "0,09295422"
"577,65", "0,4515969", "0,09311084"
"577,7", "0,4525449", "0,09436397"
"577,75", "0,4536508", "0,09358077"
"577,8", "0,4547568", "0,09232766"
"577,85", "0,4557048", "0,09389405"
"577,9", "0,4568107", "0,09546044"
"577,95", "0,4579167", "0,09420733"
"578,05", "0,4596547", "0,09420733"
"578,1", "0,4607606", "0,0953038"
"578,15", "0,4617086", "0,09640028"
"578,2", "0,4626566", "0,09452061"
"578,3", "0,4647105", "0,09311084"
"578,35", "0,4656585", "0,09452061"
"578,4", "0,4667645", "0,09342413"
"578,45", "0,4677125", "0,09389405"
"578,5", "0,4688184", "0,09452061"
"578,55", "0,4697664", "0,09436397"
"578,6", "0,4707144", "0,0953038"
"578,7", "0,4729263", "0,09718347"
"578,75", "0,4738743", "0,09734011"
"578,8", "0,4748223", "0,09561708"
"578,85", "0,4759282", "0,09546044"
"578,9", "0,4768762", "0,09593036"
"578,95", "0,4776662", "0,0968702"
"579", "0,4787721", "0,09640028"
"579,1", "0,4808261", "0,09577372"
"579,15", "0,4819321", "0,09734011"
"579,2", "0,48288", "0,09577372"
"579,25", "0,483828", "0,09593036"
"579,3", "0,484776", "0,09640028"
"579,35", "0,485882", "0,09577372"
"579,4", "0,4866719", "0,09640028"
"579,5", "0,4888839", "0,09718347"
"579,55", "0,4899898", "0,09781004"
"579,6", "0,4907798", "0,09561708"
"579,65", "0,4918858", "0,09577372"
"579,7", "0,4926758", "0,09718347"
"579,75", "0,4937817", "0,0968702"
"579,85", "0,4958357", "0,09749676"
"579,9", "0,4969417", "0,09749676"
"579,95", "0,4977316", "0,09655692"
"580", "0,4988376", "0,09781004"
"580,05", "0,4999436", "0,09702684"
"580,1", "0,5008915", "0,09608699"
"580,15", "0,5018395", "0,09702684"
"580,25", "0,5038934", "0,0968702"
"580,3", "0,5046834", "0,09890651"
"580,35", "0,5056314", "0,09984634"
"580,4", "0,5065793", "0,0968702"
"580,45", "0,5076854", "0,09702684"
"580,5", "0,5086333", "0,09843659"
"580,55", "0,5095813", "0,09953307"
"580,6", "0,5106873", "0,09890651"
"580,7", "0,5125833", "0,100003"
"580,75", "0,5140052", "0,09796667"
"580,8", "0,5152691", "0,1009428"
"580,85", "0,5168491", "0,09843659"
"580,9", "0,518113", "0,09781004"
