Experiment:, Cathode characterisation
Start date:, pond?l? 30. ledna 2023
Start time:, 17:19:35 +01:00
"Time (s)", "Voltage (V)", "Current Density (A/cm2)"
"540,55", "0,05008626", "-0,55005"
"540,65", "0,05218568", "-0,4477645"
"540,7", "0,05319593", "-0,4178464"
"540,75", "0,05420618", "-0,3899647"
"540,8", "0,05527957", "-0,3619263"
"540,85", "0,05635295", "-0,3379604"
"540,9", "0,05730006", "-0,3218266"
"541", "0,05919428", "-0,2873659"
"541,05", "0,06018875", "-0,2707622"
"541,1", "0,06115164", "-0,2550982"
"541,15", "0,06216189", "-0,2394343"
"541,2", "0,06318792", "-0,2226739"
"541,25", "0,06419817", "-0,2093596"
"541,35", "0,06620289", "-0,1830442"
"541,4", "0,06732363", "-0,1678502"
"541,45", "0,06834967", "-0,1600182"
"541,5", "0,06912313", "-0,1556323"
"541,55", "0,07016496", "-0,1420047"
"541,6", "0,07126991", "-0,1294736"
"541,65", "0,07224859", "-0,1235212"
"541,7", "0,07314835", "-0,1152194"
"541,8", "0,07512149", "-0,1000254"
"541,85", "0,07605281", "-0,09485627"
"541,9", "0,07720513", "-0,08483136"
"541,95", "0,07821538", "-0,08028881"
"542", "0,07927299", "-0,07433652"
"542,05", "0,08020431", "-0,07010726"
"542,15", "0,08224059", "-0,05992572"
"542,2", "0,08328241", "-0,05475661"
"542,25", "0,0842453", "-0,05178047"
"542,3", "0,08514506", "-0,04880432"
"542,35", "0,08629737", "-0,04253875"
"542,4", "0,08727605", "-0,0403458"
"542,5", "0,08924919", "-0,03658646"
"542,55", "0,09024365", "-0,03533335"
"542,6", "0,09130126", "-0,0307908"
"542,65", "0,09226415", "-0,02891113"
"542,7", "0,09333754", "-0,02671818"
"542,75", "0,09425308", "-0,02342876"
"542,8", "0,0952949", "-0,02092253"
"542,85", "0,09632093", "-0,01528352"
"542,9", "0,09733118", "-0,01653663"
"543", "0,09928855", "-0,01152418"
"543,05", "0,1003461", "-0,009957785"
"543,1", "0,101309", "-0,01136754"
