Experiment:, Cathode characterisation
Start date:, st?eda 22. ?nora 2023
Start time:, 14:50:22 +01:00
"Time (s)", "Voltage (V)", "Current Density (A/cm2)"
"969,55", "0,05030725", "-0,637298"
"969,65", "0,0524856", "-0,4330404"
"969,7", "0,05362213", "-0,3641192"
"969,75", "0,05460081", "-0,3269956"
"969,8", "0,0555637", "-0,2953545"
"969,85", "0,05651081", "-0,2718586"
"969,9", "0,05753684", "-0,2431936"
"970", "0,05938371", "-0,2146853"
"970,05", "0,06037817", "-0,2005878"
"970,1", "0,06137263", "-0,1836707"
"970,15", "0,06236709", "-0,1669103"
"970,2", "0,06336156", "-0,1517163"
"970,25", "0,06441917", "-0,134486"
"970,35", "0,0661871", "-0,1241478"
"970,4", "0,06721313", "-0,1015918"
"970,45", "0,06819182", "-0,09015709"
"970,5", "0,06932834", "-0,06916743"
"970,55", "0,07018074", "-0,07308341"
"970,6", "0,07123835", "-0,05726284"
"970,65", "0,07239066", "-0,03705638"
"970,7", "0,07321148", "-0,04504498"
"970,8", "0,07505835", "-0,02593499"
"970,85", "0,07600546", "-0,01825966"
"970,9", "0,07711042", "-0,002125819"
"970,95", "0,07815224", "0,003199915"
"971", "0,07920984", "0,007585815"
"971,05", "0,0802201", "0,007742454"
"971,15", "0,08236687", "0,02277982"
"971,2", "0,08337712", "0,01933376"
"971,25", "0,08437158", "0,01996032"
"971,3", "0,08535027", "0,02465949"
"971,35", "0,08620267", "0,02121343"
"971,4", "0,08721291", "0,03014187"
"971,5", "0,08923341", "0,03296138"
"971,55", "0,09022786", "0,03766055"
"971,6", "0,09122233", "0,03813047"
"971,65", "0,09216944", "0,03797383"
"971,7", "0,09322705", "0,04486596"
"971,75", "0,0943478", "0,04752883"
"971,8", "0,09532648", "0,04533588"
"971,9", "0,09733118", "0,04408276"
"971,95", "0,09840457", "0,04878194"
"972", "0,09952532", "0,05316784"
"972,05", "0,1004251", "0,04846866"
"972,1", "0,1015774", "0,05583071"
"972,15", "0,1025403", "0,04956514"
"972,25", "0,1044819", "0,04909522"
"972,3", "0,1055079", "0,05567407"
"972,35", "0,1065181", "0,05426432"
"972,4", "0,1072916", "0,04533588"
"972,45", "0,1082072", "0,05160145"
"972,5", "0,1093437", "0,06052989"
"972,55", "0,1104802", "0,05755374"
"972,65", "0,1122639", "0,05160145"
"972,7", "0,1132426", "0,0545776"
"972,75", "0,1144265", "0,06131308"
"972,8", "0,1154683", "0,05520415"
"972,85", "0,1164786", "0,0545776"
"972,9", "0,1174257", "0,0537944"
"972,95", "0,1182623", "0,05254128"
"973,05", "0,1203301", "0,05943341"
"973,1", "0,1213088", "0,05489087"
"973,15", "0,1223506", "0,06240956"
"973,2", "0,1234082", "0,05677054"
"973,25", "0,1243238", "0,0545776"
"973,3", "0,1252867", "0,05583071"
"973,35", "0,1263127", "0,05880686"
"973,45", "0,1282069", "0,05395104"
"973,5", "0,129233", "0,05833694"
"973,55", "0,1303853", "0,06303611"
"973,6", "0,1314113", "0,05598735"
"973,65", "0,1323584", "0,05708382"
"973,7", "0,1332897", "0,05551743"
"973,75", "0,1344578", "0,06084317"
"973,85", "0,136431", "0,05724046"
"973,9", "0,1372202", "0,05034833"
"973,95", "0,1382778", "0,05786702"
"974", "0,139146", "0,05348112"
"974,05", "0,1401563", "0,05724046"
"974,1", "0,1412454", "0,05943341"
"974,15", "0,1421452", "0,05348112"
"974,2", "0,1431397", "0,0573971"
"974,3", "0,1452391", "0,0633494"
"974,35", "0,1462967", "0,05771038"
"974,4", "0,1471649", "0,0545776"
"974,45", "0,1482225", "0,05520415"
"974,5", "0,1492327", "0,05943341"
"974,6", "0,151269", "0,0545776"
"974,65", "0,1523108", "0,06240956"
"974,7", "0,1532264", "0,05363776"
"974,75", "0,1543155", "0,06052989"
"974,8", "0,1551995", "0,05489087"
"974,85", "0,156194", "0,05442095"
"974,95", "0,1582303", "0,06037325"
"975", "0,1591932", "0,05567407"
"975,05", "0,1601876", "0,05880686"
"975,1", "0,1612452", "0,05943341"
"975,15", "0,1622081", "0,05363776"
"975,2", "0,1631079", "0,05943341"
"975,25", "0,1642602", "0,06272284"
"975,3", "0,1652073", "0,05677054"
"975,35", "0,1662649", "0,05865022"
"975,45", "0,1681749", "0,05489087"
"975,5", "0,169122", "0,0545776"
"975,55", "0,1700691", "0,05724046"
"975,6", "0,1710478", "0,05677054"
"975,65", "0,1720107", "0,06162636"
"975,75", "0,1739049", "0,05285456"
"975,8", "0,1749625", "0,05724046"
"975,85", "0,1759254", "0,05410768"
"975,9", "0,1769988", "0,05912013"
"975,95", "0,1780248", "0,06021661"
"976,05", "0,1800611", "0,05489087"
"976,1", "0,1810556", "0,05880686"
"976,15", "0,1821921", "0,05865022"
"976,2", "0,1832181", "0,05708382"
"976,25", "0,1841337", "0,05551743"
"976,3", "0,1851281", "0,05520415"
"976,35", "0,186091", "0,05567407"
"976,4", "0,1869908", "0,0537944"
"976,5", "0,1890902", "0,06021661"
"976,55", "0,1900847", "0,05724046"
"976,6", "0,1912054", "0,05880686"
