Experiment:, Cathode characterisation
Start date:, p?tek 24. ?nora 2023
Start time:, 13:33:21 +01:00
"Time (s)", "Voltage (V)", "Current Density (A/cm2)"
"1347,55", "0,05101758", "-0,5967285"
"1347,65", "0,05318014", "-0,4187863"
"1347,7", "0,05419039", "-0,3617696"
"1347,75", "0,0551375", "-0,3212"
"1347,8", "0,05616353", "-0,2825101"
"1347,85", "0,05718957", "-0,2514955"
"1347,9", "0,0582156", "-0,2247102"
"1348", "0,06028346", "-0,1789715"
"1348,05", "0,06129371", "-0,1639342"
"1348,1", "0,06219346", "-0,1539093"
"1348,15", "0,06315635", "-0,1412215"
"1348,2", "0,06426131", "-0,1164725"
"1348,25", "0,06506635", "-0,119292"
"1348,35", "0,06705528", "-0,08765086"
"1348,4", "0,06806553", "-0,07480644"
"1348,45", "0,06905999", "-0,0635284"
"1348,5", "0,07010181", "-0,05397342"
"1348,55", "0,07112785", "-0,04065908"
"1348,6", "0,07212231", "-0,03267048"
"1348,65", "0,07317992", "-0,02342876"
"1348,7", "0,07425331", "-0,01450032"
"1348,75", "0,07534248", "-0,005885163"
"1348,85", "0,07714199", "-0,009174587"
"1348,9", "0,07818381", "0,001476884"
"1348,95", "0,07908356", "0,001790162"
"1349", "0,08001488", "0,005236226"
"1349,1", "0,08197224", "0,01259827"
"1349,15", "0,08304563", "0,02199663"
"1349,2", "0,08421373", "0,03155162"
"1349,25", "0,0853029", "0,0354676"
"1349,3", "0,08632895", "0,03578088"
"1349,35", "0,08730762", "0,03311801"
"1349,45", "0,08929655", "0,04001015"
"1349,5", "0,09041729", "0,04658899"
"1349,55", "0,0913644", "0,04188982"
"1349,6", "0,09224837", "0,04329957"
"1349,65", "0,09324283", "0,04831202"
"1349,7", "0,09433201", "0,05034833"
"1349,75", "0,09526333", "0,04517924"
"1349,8", "0,09628937", "0,05426432"
"1349,9", "0,09821516", "0,05222801"
"1349,95", "0,09908334", "0,0458058"
"1350", "0,1000778", "0,0545776"
"1350,05", "0,1011512", "0,0566139"
"1350,1", "0,1021772", "0,05833694"
"1350,15", "0,1031243", "0,05645727"
"1350,2", "0,1040399", "0,0545776"
"1350,25", "0,1050028", "0,05583071"
"1350,35", "0,1069759", "0,06084317"
"1350,4", "0,1080493", "0,06381931"
"1350,45", "0,1090438", "0,05833694"
"1350,5", "0,1101014", "0,0633494"
"1350,55", "0,1110958", "0,05974669"
"1350,65", "0,1129585", "0,05583071"
"1350,7", "0,1138109", "0,05285456"
"1350,75", "0,1150737", "0,06710874"
"1350,8", "0,1160997", "0,06068652"
"1350,85", "0,1171257", "0,06350603"
"1350,9", "0,1180097", "0,05755374"
"1350,95", "0,1190515", "0,0625662"
"1351", "0,1199197", "0,05630063"
"1351,1", "0,1218297", "0,06037325"
"1351,15", "0,1228715", "0,06303611"
"1351,2", "0,1238502", "0,05880686"
"1351,25", "0,1249078", "0,0653857"
"1351,3", "0,1258549", "0,06193964"
"1351,35", "0,1268968", "0,06381931"
"1351,4", "0,1278912", "0,0625662"
"1351,5", "0,1299433", "0,06773529"
"1351,55", "0,130922", "0,06475915"
"1351,6", "0,1317428", "0,05567407"
"1351,65", "0,1326741", "0,06084317"
"1351,7", "0,1337159", "0,06460251"
"1351,75", "0,134663", "0,0609998"
"1351,85", "0,1368098", "0,06554235"
"1351,9", "0,1378674", "0,06350603"
"1351,95", "0,1388619", "0,06084317"
"1352,05", "0,1408666", "0,06272284"
"1352,1", "0,1418611", "0,06021661"
"1352,15", "0,1429976", "0,06648218"
"1352,25", "0,144955", "0,05818029"
"1352,3", "0,1459021", "0,05912013"
"1352,35", "0,1469755", "0,061783"
"1352,4", "0,1479857", "0,06021661"
"1352,45", "0,1490907", "0,061783"
"1352,5", "0,150022", "0,05755374"
"1352,6", "0,1520267", "0,06381931"
"1352,65", "0,1531317", "0,06710874"
"1352,7", "0,1543155", "0,06428923"
"1352,75", "0,1553574", "0,06381931"
"1352,8", "0,1562255", "0,05755374"
"1352,9", "0,158104", "0,05786702"
"1352,95", "0,1591458", "0,06507242"
"1353", "0,160235", "0,06491579"
"1353,05", "0,1611979", "0,06193964"
"1353,1", "0,1621134", "0,05724046"
"1353,15", "0,1630447", "0,06146972"
"1353,2", "0,1640708", "0,06413259"
"1353,25", "0,1651757", "0,06460251"
"1353,3", "0,1662491", "0,06413259"
"1353,4", "0,1682223", "0,05849357"
"1353,45", "0,1691852", "0,05974669"
"1353,5", "0,1701165", "0,05880686"
"1353,55", "0,1711583", "0,06037325"
"1353,6", "0,1719791", "0,05818029"
"1353,65", "0,1730683", "0,06068652"
"1353,7", "0,1741575", "0,06428923"
"1353,8", "0,1760833", "0,05786702"
"1353,85", "0,1770935", "0,05974669"
"1353,9", "0,178088", "0,06052989"
"1353,95", "0,1792719", "0,06350603"
"1354", "0,1802979", "0,05943341"
"1354,05", "0,1812608", "0,05959005"
"1354,1", "0,182129", "0,05583071"
"1354,15", "0,1831866", "0,06287947"
"1354,25", "0,1851755", "0,06052989"
"1354,3", "0,1861542", "0,06240956"
"1354,35", "0,1871802", "0,06146972"
"1354,4", "0,18808", "0,05818029"
"1354,5", "0,1899426", "0,05551743"
"1354,55", "0,1909371", "0,06115644"
"1354,6", "0,1918842", "0,05724046"
"1354,65", "0,192926", "0,0609998"
"1354,7", "0,1939836", "0,06381931"
"1354,75", "0,1950728", "0,06068652"
"1354,8", "0,1960357", "0,05849357"
"1354,9", "0,1981035", "0,06350603"
"1354,95", "0,1990349", "0,05755374"
"1355", "0,199982", "0,05912013"
"1355,05", "0,2010238", "0,05802366"
"1355,1", "0,2019393", "0,05755374"
"1355,15", "0,2030285", "0,06005996"
"1355,2", "0,2039598", "0,05536079"
"1355,25", "0,2048753", "0,05395104"
"1355,35", "0,2068327", "0,05708382"
"1355,4", "0,2078272", "0,05504751"
"1355,45", "0,2089164", "0,05786702"
"1355,5", "0,2100213", "0,05645727"
"1355,55", "0,2109526", "0,04831202"
"1355,65", "0,2131941", "0,05677054"
"1355,7", "0,2141886", "0,05144481"
"1355,75", "0,2149463", "0,04549251"
"1355,8", "0,2158934", "0,05128817"
"1355,85", "0,2170141", "0,05363776"
"1355,9", "0,2181191", "0,05285456"
"1355,95", "0,2190504", "0,04643235"
"1356,05", "0,2210867", "0,05050497"
"1356,1", "0,2220022", "0,04549251"
"1356,15", "0,222902", "0,04674564"
"1356,2", "0,2238175", "0,04737219"
"1356,25", "0,2249383", "0,04752883"
"1356,3", "0,2259012", "0,04486596"
"1356,35", "0,2268167", "0,04345621"
"1356,4", "0,2278585", "0,04596243"
"1356,5", "0,2299579", "0,04439604"
"1356,55", "0,2309366", "0,04251637"
"1356,6", "0,231868", "0,04423941"
"1356,65", "0,2329098", "0,04173318"
"1356,7", "0,2339516", "0,04596243"
"1356,75", "0,2350881", "0,04345621"
"1356,85", "0,236935", "0,03672072"
"1356,9", "0,2378347", "0,0398535"
"1356,95", "0,2388134", "0,04235973"
"1357", "0,2398552", "0,03907031"
"1357,05", "0,2408813", "0,04094998"
"1357,1", "0,2420494", "0,04157653"
"1357,15", "0,2429807", "0,03609416"
"1357,25", "0,2449538", "0,0398535"
"1357,3", "0,2459799", "0,03907031"
"1357,35", "0,2469743", "0,03672072"
"1357,4", "0,2480635", "0,03922695"
"1357,45", "0,2490106", "0,03750391"
"1357,5", "0,2500209", "0,0378172"
"1357,6", "0,2519466", "0,03421449"
"1357,65", "0,2529727", "0,03860039"
"1357,7", "0,2541092", "0,03907031"
"1357,75", "0,2550405", "0,0354676"
"1357,8", "0,2559719", "0,03562424"
"1357,85", "0,2569979", "0,03766055"
