Experiment:, Cathode characterisation
Start date:, p?tek 31. b?ezna 2023
Start time:, 18:08:03 +02:00
"Time (s)", "Voltage (V)", "Current Density (A/cm2)"
"1347,55", "0,05051246", "-0,5292169"
"1347,65", "0,05253295", "-0,3796264"
"1347,7", "0,05357477", "-0,3354542"
"1347,75", "0,05449031", "-0,3077291"
"1347,8", "0,05550056", "-0,2842331"
"1347,85", "0,05651081", "-0,260424"
"1347,9", "0,05745792", "-0,2342652"
"1348", "0,05935213", "-0,2057569"
"1348,05", "0,06037817", "-0,186177"
"1348,1", "0,06149891", "-0,1564155"
"1348,15", "0,06254073", "-0,1459207"
"1348,2", "0,06345627", "-0,1371489"
"1348,25", "0,06445073", "-0,1291603"
"1348,35", "0,06645545", "-0,1026882"
"1348,4", "0,0673552", "-0,1022183"
"1348,45", "0,06839702", "-0,08639775"
"1348,5", "0,06942306", "-0,07762595"
"1348,55", "0,07035438", "-0,07136037"
"1348,6", "0,07125413", "-0,06932407"
"1348,65", "0,07232752", "-0,05538317"
"1348,7", "0,07325884", "-0,05287694"
"1348,8", "0,07535827", "-0,03470679"
"1348,85", "0,07627381", "-0,03408023"
"1348,9", "0,07742612", "-0,02217565"
"1348,95", "0,07843637", "-0,02107917"
"1349", "0,07930455", "-0,02248893"
"1349,05", "0,08025166", "-0,01622335"
"1349,15", "0,08225638", "-0,0112109"
"1349,2", "0,08336134", "-0,004005492"
"1349,25", "0,08451365", "-0,0008727057"
"1349,3", "0,08542918", "6,71298e-05"
"1349,35", "0,08634473", "0,003513194"
"1349,4", "0,08740233", "0,005706144"
"1349,5", "0,08937547", "0,009935404"
"1349,55", "0,09036993", "0,01447794"
"1349,6", "0,09142754", "0,01557442"
"1349,65", "0,09235886", "0,01745409"
"1349,7", "0,09336912", "0,0151045"
"1349,75", "0,09436358", "0,0223099"
"1349,8", "0,09531069", "0,01745409"
"1349,85", "0,09621044", "0,01996032"
"1349,95", "0,09827829", "0,02450286"
"1350", "0,09920962", "0,02638253"
"1350,05", "0,100283", "0,02810556"
"1350,1", "0,1012933", "0,02857548"
"1350,15", "0,1024298", "0,03437113"
"1350,25", "0,1044661", "0,03202154"
"1350,3", "0,1054132", "0,03155162"
"1350,35", "0,1064708", "0,0362508"
"1350,4", "0,1073705", "0,03437113"
"1350,45", "0,1083966", "0,03640744"
"1350,5", "0,1093752", "0,03484105"
"1350,55", "0,1103855", "0,03860039"
"1350,65", "0,1124376", "0,04188982"
"1350,7", "0,1135583", "0,03969686"
"1350,75", "0,1144896", "0,03922695"
"1350,8", "0,1154683", "0,03656408"
"1350,85", "0,1164628", "0,04001015"
"1350,9", "0,117473", "0,03954023"
"1350,95", "0,1183728", "0,03797383"
"1351,05", "0,1204564", "0,04361285"
"1351,1", "0,1214982", "0,03938359"
"1351,15", "0,1224927", "0,04267301"
"1351,2", "0,1234714", "0,04126326"
"1351,25", "0,1243238", "0,03922695"
"1351,3", "0,1253498", "0,0398535"
"1351,35", "0,1264232", "0,04267301"
"1351,45", "0,128349", "0,03954023"
"1351,5", "0,1293119", "0,04157653"
"1351,55", "0,1302274", "0,0398535"
"1351,6", "0,1313797", "0,04376949"
"1351,65", "0,1324216", "0,04001015"
"1351,75", "0,1343789", "0,04314293"
"1351,8", "0,1354523", "0,04204645"
"1351,85", "0,1363836", "0,04361285"
"1351,9", "0,1374097", "0,04549251"
"1351,95", "0,1384673", "0,04627572"
"1352", "0,139367", "0,04298629"
"1352,05", "0,140472", "0,04329957"
"1352,1", "0,1414664", "0,04126326"
"1352,2", "0,1434554", "0,0406367"
"1352,25", "0,144513", "0,04298629"
"1352,3", "0,1455548", "0,04392612"
"1352,35", "0,1464388", "0,04235973"
"1352,4", "0,1472122", "0,04282965"
"1352,45", "0,1484277", "0,04564916"
"1352,5", "0,1493906", "0,04157653"
"1352,55", "0,1504324", "0,04423941"
"1352,65", "0,1523897", "0,04235973"
"1352,7", "0,1533211", "0,04188982"
"1352,75", "0,1543787", "0,04329957"
"1352,8", "0,1553416", "0,04267301"
"1352,9", "0,1574252", "0,04423941"
"1352,95", "0,1584355", "0,04094998"
"1353", "0,1594141", "0,04032342"
"1353,05", "0,1604086", "0,04423941"
"1353,1", "0,1615451", "0,04079334"
"1353,15", "0,1624133", "0,04298629"
"1353,2", "0,1633447", "0,04094998"
"1353,25", "0,1643075", "0,04126326"
"1353,3", "0,1653809", "0,04235973"
"1353,35", "0,1664701", "0,04126326"
"1353,45", "0,168459", "0,04220309"
"1353,5", "0,1693746", "0,04267301"
"1353,55", "0,1703532", "0,04235973"
"1353,6", "0,1713004", "0,04001015"
"1353,65", "0,1723422", "0,04032342"
"1353,75", "0,174268", "0,04298629"
"1353,8", "0,1753571", "0,04188982"
"1353,85", "0,1762253", "0,04079334"
"1353,9", "0,177204", "0,04094998"
"1353,95", "0,1781985", "0,0414199"
"1354", "0,1794139", "0,04235973"
"1354,05", "0,1804557", "0,04079334"
"1354,1", "0,1814818", "0,0406367"
"1354,2", "0,1832813", "0,04314293"
"1354,25", "0,1843862", "0,04032342"
"1354,35", "0,1863278", "0,04126326"
"1354,4", "0,1873223", "0,04032342"
"1354,45", "0,1883483", "0,04001015"
"1354,5", "0,1893428", "0,04392612"
"1354,6", "0,1914422", "0,04157653"
"1354,65", "0,1924998", "0,04001015"
"1354,7", "0,193368", "0,04110662"
"1354,75", "0,1943309", "0,04204645"
"1354,85", "0,1963672", "0,0406367"
"1354,9", "0,1973616", "0,04251637"
"1354,95", "0,1983245", "0,04188982"
"1355", "0,1993348", "0,04235973"
"1355,05", "0,2003292", "0,04204645"
"1355,1", "0,2013079", "0,0406367"
"1355,15", "0,202255", "0,04048006"
"1355,2", "0,2032337", "0,04126326"
"1355,25", "0,2042282", "0,04048006"
"1355,35", "0,2062013", "0,04094998"
"1355,4", "0,20718", "0,04110662"
"1355,45", "0,2081902", "0,03891367"
"1355,5", "0,2092005", "0,04314293"
"1355,55", "0,2102897", "0,04204645"
"1355,6", "0,2112999", "0,03938359"
"1355,7", "0,2133046", "0,04361285"
"1355,75", "0,2144412", "0,04204645"
"1355,8", "0,2153093", "0,03969686"
"1355,85", "0,2162565", "0,04126326"
"1355,9", "0,2173772", "0,04298629"
"1355,95", "0,2183717", "0,03907031"
"1356", "0,2194766", "0,04517924"
"1356,1", "0,221576", "0,04235973"
"1356,15", "0,2225705", "0,0406367"
"1356,2", "0,2234703", "0,04001015"
"1356,25", "0,2244963", "0,04188982"
"1356,3", "0,2255381", "0,04001015"
"1356,35", "0,2263905", "0,0414199"
"1356,45", "0,2283952", "0,03922695"
"1356,5", "0,2294844", "0,04188982"
"1356,55", "0,2303526", "0,03891367"
"1356,6", "0,2313944", "0,04157653"
"1356,65", "0,2322942", "0,04126326"
"1356,7", "0,2333518", "0,04048006"
"1356,8", "0,2354196", "0,04188982"
"1356,85", "0,2363509", "0,0406367"
"1356,9", "0,2373928", "0,04126326"
"1356,95", "0,2384188", "0,04032342"
"1357", "0,2393817", "0,04126326"
"1357,05", "0,2403919", "0,04329957"
"1357,1", "0,241418", "0,04345621"
"1357,2", "0,2435016", "0,0450226"
"1357,25", "0,2446066", "0,04455268"
"1357,3", "0,2455852", "0,04204645"
"1357,35", "0,2465797", "0,0414199"
"1357,4", "0,2476689", "0,04204645"
"1357,45", "0,248616", "0,04267301"
"1357,5", "0,2495947", "0,04298629"
"1357,55", "0,2506049", "0,04032342"
"1357,65", "0,2525623", "0,04220309"
"1357,7", "0,2535725", "0,04032342"
"1357,75", "0,2545828", "0,04157653"
"1357,8", "0,2555299", "0,03891367"
"1357,85", "0,2564296", "0,04126326"
"1357,9", "0,2574241", "0,03938359"
"1357,95", "0,2584501", "0,04032342"
"1358,05", "0,2603917", "0,04126326"
"1358,1", "0,2613072", "0,03891367"
"1358,15", "0,2623333", "0,04001015"
"1358,3", "0,2654587", "0,04126326"
"1358,35", "0,2663269", "0,03907031"
"1358,4", "0,2674003", "0,03969686"
"1358,45", "0,268379", "0,04016678"
