Experiment:, Cathode characterisation
Start date:, st?eda 12. dubna 2023
Start time:, 13:47:06 +02:00
"Time (s)", "Voltage (V)", "Current Density (A/cm2)"
"1232,55", "0,05079659", "-0,0323572"
"1232,6", "0,05183841", "-0,03000761"
"1232,7", "0,05368527", "-0,0287545"
"1232,75", "0,05480601", "-0,02593499"
"1232,8", "0,05573734", "-0,0243686"
"1232,85", "0,05676337", "-0,02248893"
"1232,9", "0,05775784", "-0,02248893"
"1233", "0,05976255", "-0,01951278"
"1233,05", "0,06080437", "-0,01794639"
"1233,1", "0,06190933", "-0,01716319"
"1233,15", "0,06287222", "-0,01575343"
"1233,2", "0,06399296", "-0,01418704"
"1233,25", "0,06494007", "-0,01324721"
"1233,35", "0,06694479", "-0,01183746"
"1233,4", "0,06795503", "-0,009017949"
"1233,45", "0,06888636", "-0,007608194"
"1233,5", "0,06986504", "-0,007294916"
"1233,6", "0,07175925", "-0,005885163"
"1233,65", "0,07275372", "-0,004945328"
"1233,7", "0,07363769", "-0,00447541"
"1233,8", "0,07578447", "-0,001655901"
"1233,85", "0,07666843", "-0,001029345"
"1233,9", "0,07788389", "0,0002237698"
"1233,95", "0,07884678", "0,0006936875"
"1234", "0,0796834", "0,002729997"
"1234,05", "0,08061472", "0,004453029"
"1234,15", "0,0825405", "0,005549503"
"1234,2", "0,08372439", "0,005236226"
"1234,25", "0,08460836", "0,006019421"
"1234,3", "0,08571332", "0,00868229"
"1234,35", "0,08659729", "0,008995568"
"1234,4", "0,08757597", "0,01056196"
"1234,5", "0,08972275", "0,01259827"
"1234,55", "0,09068564", "0,01197171"
"1234,6", "0,09175903", "0,01369475"
"1234,65", "0,09265878", "0,01526114"
"1234,7", "0,09368482", "0,0151045"
"1234,75", "0,09466349", "0,01494786"
"1234,8", "0,09556325", "0,01604434"
"1234,85", "0,09662085", "0,0187072"
"1234,95", "0,0984835", "0,0194904"
"1235", "0,0996516", "0,01980368"
"1235,05", "0,1005829", "0,01964704"
"1235,1", "0,1015932", "0,02215327"
"1235,15", "0,1024771", "0,02105679"
"1235,2", "0,1036295", "0,02262319"
"1235,3", "0,1055552", "0,02418958"
"1235,35", "0,1065497", "0,02481613"
"1235,4", "0,1075284", "0,02622589"
"1235,45", "0,1086018", "0,02622589"
"1235,5", "0,1095962", "0,02763564"
"1235,55", "0,1105433", "0,02763564"
"1235,65", "0,1125165", "0,02967195"
"1235,7", "0,1134005", "0,03029851"
"1235,75", "0,1144738", "0,03092507"
"1235,8", "0,1154841", "0,03233482"
"1235,85", "0,1164628", "0,03311801"
"1235,9", "0,117331", "0,03327465"
"1235,95", "0,1184201", "0,03405785"
"1236", "0,1193357", "0,03452777"
"1236,1", "0,1215772", "0,03640744"
"1236,15", "0,1224611", "0,03609416"
"1236,2", "0,1234872", "0,03750391"
"1236,25", "0,1244343", "0,03860039"
"1236,3", "0,1254287", "0,03797383"
"1236,4", "0,1275124", "0,03938359"
"1236,45", "0,1285068", "0,04032342"
"1236,5", "0,1295487", "0,04126326"
"1236,55", "0,1305905", "0,04173318"
"1236,6", "0,1314745", "0,04157653"
"1236,65", "0,1324847", "0,04204645"
"1236,7", "0,1335581", "0,04314293"
"1236,75", "0,134742", "0,04361285"
"1236,85", "0,1366993", "0,04564916"
"1236,9", "0,1375833", "0,04533588"
"1236,95", "0,1386093", "0,04611908"
"1237", "0,1396511", "0,04549251"
"1237,05", "0,1405036", "0,04564916"
"1237,1", "0,1415454", "0,04643235"
"1237,15", "0,1426345", "0,04721555"
"1237,25", "0,1446077", "0,04799874"
"1237,3", "0,1456653", "0,04752883"
"1237,35", "0,1466282", "0,04987842"
"1237,4", "0,1475595", "0,05050497"
"1237,45", "0,1486013", "0,04893858"
"1237,55", "0,1505903", "0,05050497"
"1237,6", "0,1513953", "0,05254128"
"1237,65", "0,1524845", "0,05160145"
"1237,7", "0,1535579", "0,05191473"
"1237,75", "0,1545523", "0,05222801"
"1237,8", "0,1554836", "0,05316784"
"1237,85", "0,1563834", "0,05332448"
"1237,9", "0,157441", "0,05442095"
"1238", "0,1595089", "0,05426432"
"1238,05", "0,1605033", "0,05567407"
"1238,1", "0,1614189", "0,05489087"
"1238,15", "0,1623975", "0,05677054"
"1238,2", "0,1634551", "0,05692719"
"1238,25", "0,164418", "0,05677054"
"1238,3", "0,1654283", "0,05677054"
"1238,4", "0,1673225", "0,05818029"
"1238,45", "0,1683801", "0,05802366"
"1238,5", "0,1694219", "0,05912013"
"1238,55", "0,1704953", "0,0589635"
"1238,6", "0,1716003", "0,05990333"
"1238,65", "0,1725947", "0,06005996"
"1238,7", "0,1735576", "0,0609998"
"1238,8", "0,1758465", "0,06084317"
"1238,85", "0,176762", "0,06272284"
"1238,9", "0,177788", "0,06225292"
"1238,95", "0,1787509", "0,06303611"
"1239", "0,1798559", "0,06037325"
"1239,1", "0,1817028", "0,0633494"
"1239,15", "0,1827446", "0,06319275"
"1239,2", "0,1836601", "0,06366267"
"1239,25", "0,1845599", "0,06287947"
"1239,3", "0,1856333", "0,06460251"
"1239,35", "0,1867224", "0,06522907"
"1239,4", "0,187638", "0,06444587"
"1239,45", "0,1885693", "0,06554235"
"1239,5", "0,1896743", "0,06898841"
"1239,6", "0,1915527", "0,06569898"
"1239,65", "0,192563", "0,06742202"
"1239,7", "0,193589", "0,0661689"
"1239,85", "0,1965408", "0,06679546"
"1239,9", "0,1974721", "0,06632554"
"1239,95", "0,1983719", "0,06648218"
"1240", "0,199461", "0,06679546"
"1240,05", "0,2003924", "0,06710874"
"1240,1", "0,2015131", "0,06585562"
"1240,15", "0,2025392", "0,06914505"
"1240,2", "0,2035178", "0,06773529"
"1240,3", "0,2055699", "0,06851849"
"1240,35", "0,2066591", "0,06836185"
"1240,4", "0,2077325", "0,0721212"
"1240,45", "0,2086322", "0,06867513"
"1240,5", "0,2096898", "0,06961497"
"1240,55", "0,2105896", "0,06867513"
"1240,6", "0,2116787", "0,06945832"
"1240,65", "0,2128153", "0,0697716"
"1240,75", "0,214599", "0,07165127"
"1240,8", "0,2157355", "0,07118136"
"1240,85", "0,2167616", "0,0705548"
"1240,9", "0,2178034", "0,07165127"
"1240,95", "0,2187821", "0,07102472"
"1241", "0,2198081", "0,07337431"
"1241,1", "0,2218128", "0,0721212"
"1241,15", "0,2228073", "0,07243447"
"1241,2", "0,2238333", "0,07165127"
"1241,25", "0,2247331", "0,07337431"
"1241,3", "0,2256644", "0,07274775"
"1241,4", "0,2277007", "0,07400087"
"1241,45", "0,2287267", "0,07243447"
"1241,5", "0,2297685", "0,07384422"
