Experiment:, Cathode characterisation
Start date:, p?tek 21. dubna 2023
Start time:, 13:57:04 +02:00
"Time (s)", "Voltage (V)", "Current Density (A/cm2)"
"1347,55", "0,05071766", "-0,6723852"
"1347,65", "0,0528013", "-0,4270881"
"1347,7", "0,05370105", "-0,3929408"
"1347,75", "0,05466395", "-0,3384303"
"1347,8", "0,05576891", "-0,2975475"
"1347,85", "0,05682651", "-0,2624603"
"1347,9", "0,05786833", "-0,2350484"
"1348", "0,05990461", "-0,1941656"
"1348,05", "0,06088329", "-0,1770919"
"1348,1", "0,06192511", "-0,1532827"
"1348,15", "0,06293536", "-0,1343294"
"1348,2", "0,06378776", "-0,1467039"
"1348,25", "0,06476644", "-0,1268107"
"1348,35", "0,06683429", "-0,08827742"
"1348,4", "0,06774983", "-0,08436143"
"1348,45", "0,06879164", "-0,07527636"
"1348,5", "0,06970719", "-0,065878"
"1348,55", "0,07079636", "-0,03987588"
"1348,6", "0,07183818", "-0,04723793"
"1348,75", "0,07472686", "-0,03329703"
"1348,8", "0,07576868", "-0,01982606"
"1348,85", "0,07681049", "-0,004945328"
"1348,9", "0,07782075", "-0,005415245"
"1348,95", "0,07881521", "-0,004788687"
"1349", "0,07980968", "0,001946802"
"1349,05", "0,08078836", "0,001476884"
"1349,15", "0,08272993", "0,008212372"
"1349,2", "0,08389803", "0,01933376"
"1349,25", "0,08482935", "0,0158877"
"1349,3", "0,08587117", "0,02606925"
"1349,35", "0,08692878", "0,03437113"
"1349,45", "0,08899663", "0,02841884"
"1349,5", "0,08989638", "0,03468441"
"1349,55", "0,09096977", "0,03468441"
"1349,6", "0,09185375", "0,02951531"
"1349,65", "0,09278506", "0,03907031"
"1349,7", "0,09379531", "0,04251637"
"1349,75", "0,09477399", "0,04361285"
"1349,8", "0,0958316", "0,04204645"
"1349,85", "0,09669978", "0,03954023"
"1349,9", "0,09772581", "0,05066161"
"1350", "0,09969895", "0,04721555"
"1350,05", "0,1008197", "0,05645727"
"1350,1", "0,1018773", "0,05050497"
"1350,15", "0,1027455", "0,05019169"
"1350,2", "0,1037557", "0,05833694"
"1350,3", "0,1058078", "0,05034833"
"1350,35", "0,1067707", "0,05238464"
"1350,4", "0,1076862", "0,05708382"
"1350,45", "0,1088228", "0,06444587"
"1350,5", "0,1098014", "0,05489087"
"1350,55", "0,1108906", "0,06945832"
"1350,6", "0,1119167", "0,05614398"
"1350,7", "0,1139687", "0,0661689"
"1350,75", "0,1150105", "0,06522907"
"1350,8", "0,1160681", "0,06366267"
"1350,85", "0,1169995", "0,0609998"
"1350,9", "0,1178992", "0,05677054"
"1350,95", "0,1188621", "0,05943341"
"1351", "0,1197303", "0,06413259"
"1351,1", "0,1216877", "0,06303611"
"1351,15", "0,1226663", "0,06554235"
"1351,2", "0,1235977", "0,05974669"
"1351,25", "0,1245921", "0,07102472"
"1351,3", "0,1256813", "0,07306103"
"1351,4", "0,1278439", "0,06569898"
"1351,45", "0,1289173", "0,07274775"
"1351,5", "0,1297854", "0,06225292"
"1351,55", "0,1307799", "0,06867513"
"1351,6", "0,131727", "0,07008488"
"1351,65", "0,132753", "0,06648218"
"1351,75", "0,134742", "0,0777602"
"1351,8", "0,1357364", "0,05677054"
"1351,85", "0,1366046", "0,06648218"
"1351,9", "0,1375833", "0,06898841"
"1351,95", "0,1386725", "0,06961497"
"1352", "0,1397143", "0,06632554"
"1352,05", "0,1407087", "0,06961497"
"1352,1", "0,1416401", "0,0625662"
"1352,15", "0,1426503", "0,06867513"
"1352,2", "0,1435974", "0,06648218"
"1352,3", "0,1456968", "0,06742202"
"1352,35", "0,1466124", "0,0653857"
"1352,4", "0,1477332", "0,06914505"
"1352,45", "0,1487907", "0,06773529"
"1352,55", "0,150685", "0,0661689"
"1352,6", "0,1516163", "0,06287947"
"1352,65", "0,1526423", "0,06773529"
"1352,75", "0,1546944", "0,06992824"
"1352,8", "0,1556889", "0,06381931"
"1352,85", "0,1566202", "0,06898841"
"1352,9", "0,1575831", "0,06272284"
"1353", "0,1597772", "0,06742202"
"1353,05", "0,1607559", "0,06679546"
"1353,1", "0,1618135", "0,06444587"
"1353,15", "0,1627448", "0,06883177"
"1353,2", "0,1637077", "0,05630063"
"1353,25", "0,1647811", "0,07008488"
"1353,3", "0,1656493", "0,06021661"
"1353,4", "0,1676698", "0,0661689"
"1353,45", "0,1686642", "0,0589635"
"1353,5", "0,1696429", "0,06162636"
"1353,55", "0,1706374", "0,06319275"
"1353,6", "0,1715056", "0,05551743"
"1353,65", "0,1725", "0,06319275"
"1353,75", "0,1745205", "0,06021661"
"1353,8", "0,1754834", "0,061783"
"1353,85", "0,1765726", "0,06460251"
"1353,9", "0,1775671", "0,06115644"
"1353,95", "0,1785142", "0,06319275"
"1354", "0,1795402", "0,05927677"
"1354,05", "0,1805189", "0,05912013"
"1354,1", "0,1815607", "0,06052989"
"1354,15", "0,1825709", "0,0625662"
"1354,25", "0,1845599", "0,06005996"
"1354,3", "0,1856175", "0,06084317"
"1354,35", "0,1865646", "0,05708382"
"1354,4", "0,1875433", "0,06319275"
"1354,45", "0,1886956", "0,06052989"
"1354,5", "0,1897058", "0,05818029"
"1354,6", "0,1916316", "0,05771038"
"1354,65", "0,1928313", "0,06225292"
"1354,7", "0,1937468", "0,05426432"
"1354,75", "0,1947413", "0,05912013"
"1354,85", "0,1966197", "0,05927677"
"1354,9", "0,1976458", "0,05520415"
"1354,95", "0,1986402", "0,0566139"
"1355", "0,1996347", "0,05645727"
"1355,05", "0,200566", "0,05755374"
"1355,1", "0,2015605", "0,05865022"
"1355,15", "0,2025234", "0,05175809"
"1355,2", "0,2034863", "0,05912013"
"1355,25", "0,2046228", "0,05880686"
"1355,35", "0,2065328", "0,05316784"
"1355,4", "0,2074168", "0,05583071"
"1355,45", "0,2084428", "0,05865022"
"1355,5", "0,2095162", "0,05974669"
"1355,55", "0,2105264", "0,05833694"
"1355,6", "0,2116156", "0,05254128"
"1355,7", "0,2136045", "0,06068652"
"1355,75", "0,2147568", "0,06021661"
"1355,8", "0,2157987", "0,05849357"
"1355,85", "0,2167931", "0,05395104"
"1355,9", "0,2178034", "0,05724046"
"1355,95", "0,2187347", "0,05489087"
"1356,05", "0,2205184", "0,05332448"
"1356,1", "0,2216234", "0,05818029"
"1356,15", "0,2225547", "0,05598735"
"1356,2", "0,2236123", "0,05943341"
"1356,25", "0,2246384", "0,05426432"
"1356,3", "0,2256486", "0,05645727"
"1356,35", "0,2266904", "0,0530112"
"1356,4", "0,2277164", "0,05677054"
"1356,45", "0,2286951", "0,05818029"
"1356,55", "0,230763", "0,05097489"
"1356,6", "0,231789", "0,0589635"
"1356,65", "0,2327993", "0,05880686"
"1356,7", "0,2338884", "0,0537944"
"1356,75", "0,2347882", "0,05583071"
"1356,85", "0,2365246", "0,04721555"
"1356,9", "0,2374243", "0,05473424"
"1356,95", "0,2385608", "0,05880686"
"1357", "0,2396342", "0,05551743"
"1357,05", "0,2405971", "0,05426432"
"1357,1", "0,2417179", "0,05473424"
"1357,15", "0,2428071", "0,0530112"
"1357,25", "0,2448907", "0,05191473"
"1357,3", "0,2458536", "0,0566139"
"1357,35", "0,2469112", "0,05489087"
"1357,4", "0,2479688", "0,05081825"
