Experiment:, Cathode characterisation
Start date:, ?ter? 25. dubna 2023
Start time:, 15:05:33 +02:00
"Time (s)", "Current Density (A/cm2)"
"901", "-0,2576608"
"902", "0,02575597"
"903", "0,02512941"
"904", "0,02434622"
"905", "0,02481613"
"906", "0,02356302"
"907", "0,02371966"
"908", "0,02356302"
"909", "0,0230931"
"910", "0,02324974"
"911", "0,02340638"
"912", "0,02356302"
"913", "0,02324974"
"914", "0,02324974"
"915", "0,02356302"
"916", "0,02418958"
"917", "0,0230931"
"918", "0,02481613"
"919", "0,02324974"
"920", "0,0230931"
"921", "0,02293646"
"922", "0,02324974"
"923", "0,0238763"
"924", "0,02434622"
"925", "0,02403294"
"926", "0,02371966"
"927", "0,0238763"
"928", "0,02356302"
"929", "0,0230931"
"930", "0,02324974"
"931", "0,02324974"
"932", "0,02293646"
"933", "0,02340638"
"934", "0,02371966"
"935", "0,02371966"
"936", "0,02371966"
"937", "0,02324974"
"938", "0,02340638"
"939", "0,02356302"
"940", "0,02418958"
"941", "0,02418958"
"942", "0,02450286"
"943", "0,0238763"
"944", "0,02418958"
"945", "0,02434622"
"946", "0,02512941"
"947", "0,02434622"
"948", "0,02418958"
"949", "0,02465949"
"950", "0,02418958"
"951", "0,02418958"
"952", "0,02528605"
"953", "0,02528605"
"954", "0,02497277"
"955", "0,02481613"
"956", "0,02418958"
"957", "0,02434622"
"958", "0,02481613"
"959", "0,02418958"
"960", "0,02434622"
"961", "0,02418958"
"962", "0,02450286"
"963", "0,02418958"
"964", "0,0238763"
"965", "0,02465949"
"966", "0,02528605"
"967", "0,02528605"
"968", "0,02418958"
"969", "0,02481613"
"970", "0,02434622"
"971", "0,02481613"
"972", "0,02403294"
"973", "0,02434622"
"974", "0,02434622"
"975", "0,02418958"
"976", "0,02497277"
"977", "0,02481613"
"978", "0,02450286"
"979", "0,02544269"
"980", "0,02512941"
"981", "0,02434622"
"982", "0,02418958"
"983", "0,02403294"
"984", "0,02356302"
"985", "0,02481613"
"986", "0,02481613"
"987", "0,02512941"
"988", "0,02497277"
"989", "0,02575597"
"990", "0,02606925"
"991", "0,02512941"
"992", "0,02528605"
"993", "0,02606925"
"994", "0,02481613"
"995", "0,02528605"
"996", "0,02638253"
"997", "0,02418958"
"998", "0,02434622"
"999", "0,02544269"
"1000", "0,02528605"
"1001", "0,02591261"
"1002", "0,027479"
"1003", "0,02763564"
"1004", "0,02685244"
"1005", "0,02622589"
"1006", "0,02606925"
"1007", "0,02638253"
"1008", "0,02591261"
"1009", "0,02716572"
"1010", "0,02638253"
"1011", "0,02622589"
"1012", "0,0266958"
"1013", "0,02622589"
"1014", "0,027479"
"1015", "0,02638253"
"1016", "0,02685244"
"1017", "0,02700908"
"1018", "0,02622589"
"1019", "0,02653916"
"1020", "0,02622589"
