Experiment:, Cathode characterisation
Start date:, ?ter? 25. dubna 2023
Start time:, 11:15:01 +02:00
"Time (s)", "Voltage (V)", "Current Density (A/cm2)"
"728,05", "0,4005643", "0,04909522"
"728,1", "0,4015122", "0,04909522"
"728,15", "0,4026182", "0,05081825"
"728,2", "0,4035662", "0,0486253"
"728,25", "0,4045142", "0,05207136"
"728,3", "0,4054621", "0,05081825"
"728,35", "0,4064101", "0,04987842"
"728,4", "0,4073581", "0,0494085"
"728,45", "0,4083061", "0,05003506"
"728,5", "0,409254", "0,05285456"
"728,55", "0,41036", "0,05207136"
"728,6", "0,411308", "0,05269792"
"728,65", "0,4125719", "0,05160145"
"728,7", "0,4135199", "0,04956514"
"728,75", "0,4146259", "0,04831202"
"728,8", "0,4155739", "0,04909522"
"728,85", "0,4166798", "0,04878194"
"728,9", "0,4176278", "0,04909522"
"728,95", "0,4185758", "0,04925186"
"729", "0,4196817", "0,05285456"
"729,05", "0,4206297", "0,05034833"
"729,1", "0,4215777", "0,05191473"
"729,15", "0,4225257", "0,05269792"
"729,2", "0,4236316", "0,05160145"
"729,25", "0,4244216", "0,05222801"
"729,3", "0,4253696", "0,0537944"
"729,35", "0,4264756", "0,05285456"
"729,4", "0,4274235", "0,05363776"
"729,45", "0,4283715", "0,05395104"
"729,5", "0,4293195", "0,05254128"
"729,55", "0,4304255", "0,05567407"
"729,6", "0,4313734", "0,05269792"
"729,65", "0,4323214", "0,05395104"
"729,7", "0,4334274", "0,05363776"
"729,75", "0,4343754", "0,05191473"
"729,8", "0,4353233", "0,05316784"
"729,85", "0,4364293", "0,05363776"
"729,9", "0,4373773", "0,05489087"
"729,95", "0,4383253", "0,0545776"
"730", "0,4392732", "0,05426432"
"730,05", "0,4403792", "0,0545776"
"730,1", "0,4414852", "0,05363776"
"730,15", "0,4424331", "0,0537944"
"730,2", "0,4433811", "0,05348112"
"730,25", "0,4443291", "0,0545776"
"730,3", "0,4452771", "0,05395104"
"730,35", "0,446383", "0,05426432"
"730,4", "0,447331", "0,0537944"
"730,45", "0,448279", "0,05504751"
"730,5", "0,449385", "0,05583071"
"730,55", "0,4503329", "0,05598735"
"730,6", "0,4512809", "0,05614398"
"730,65", "0,4522289", "0,05551743"
"730,7", "0,4533348", "0,05551743"
"730,75", "0,4542828", "0,05551743"
"730,8", "0,4553888", "0,05645727"
"730,85", "0,4563367", "0,0545776"
"730,9", "0,4572847", "0,05645727"
"730,95", "0,4585487", "0,05708382"
"731", "0,4593387", "0,05598735"
"731,05", "0,4602866", "0,05598735"
"731,1", "0,4613926", "0,05583071"
"731,15", "0,4623406", "0,05614398"
"731,2", "0,4632886", "0,05520415"
"731,25", "0,4642365", "0,05645727"
"731,3", "0,4651845", "0,05755374"
"731,35", "0,4661325", "0,05724046"
"731,4", "0,4672385", "0,0573971"
"731,45", "0,4681864", "0,05818029"
"731,5", "0,4691344", "0,05755374"
"731,55", "0,4700824", "0,05943341"
"731,6", "0,4713463", "0,0573971"
"731,65", "0,4722943", "0,05692719"
"731,7", "0,4732423", "0,05520415"
"731,75", "0,4741903", "0,05786702"
"731,8", "0,4749802", "0,05786702"
"731,85", "0,4762442", "0,05614398"
"731,9", "0,4770342", "0,05708382"
"731,95", "0,4781401", "0,05849357"
"732", "0,4792461", "0,05802366"
"732,05", "0,4801941", "0,05880686"
