Experiment:, Cathode characterisation
Start date:, p?tek 5. kv?tna 2023
Start time:, 15:32:09 +02:00
"Time (s)", "Voltage (V)", "Current Density (A/cm2)"
"1020,05", "0,4002483", "0,06757865"
"1020,1", "0,4011963", "0,06679546"
"1020,15", "0,4023022", "0,06914505"
"1020,2", "0,4030922", "0,06648218"
"1020,25", "0,4040402", "0,06867513"
"1020,3", "0,4048302", "0,06836185"
"1020,35", "0,4059362", "0,06883177"
"1020,4", "0,4070421", "0,07008488"
"1020,45", "0,4078321", "0,07071144"
"1020,5", "0,4089381", "0,06961497"
"1020,55", "0,409886", "0,06804857"
"1020,6", "0,410834", "0,0697716"
"1020,65", "0,41194", "0,07149464"
"1020,7", "0,4128879", "0,07165127"
"1020,75", "0,4139939", "0,07039816"
"1020,8", "0,4149419", "0,06836185"
"1020,85", "0,4160478", "0,07039816"
"1020,9", "0,4169958", "0,0705548"
"1020,95", "0,4179438", "0,06945832"
"1021", "0,4190498", "0,07071144"
"1021,05", "0,4199978", "0,07071144"
"1021,1", "0,4209457", "0,0697716"
"1021,15", "0,4220517", "0,06914505"
"1021,2", "0,4229997", "0,06945832"
"1021,25", "0,4239476", "0,06898841"
"1021,3", "0,4248956", "0,06883177"
"1021,35", "0,4256856", "0,0697716"
"1021,4", "0,4267915", "0,07071144"
"1021,45", "0,4278975", "0,07071144"
"1021,5", "0,4290035", "0,07071144"
"1021,55", "0,4299515", "0,07024152"
"1021,6", "0,4310574", "0,0705548"
"1021,65", "0,4320054", "0,06851849"
"1021,7", "0,4331114", "0,06992824"
"1021,75", "0,4342174", "0,06945832"
"1021,8", "0,4351653", "0,06930169"
"1021,85", "0,4361133", "0,06992824"
"1021,9", "0,4372193", "0,07008488"
"1021,95", "0,4380093", "0,07008488"
"1022", "0,4391152", "0,06836185"
"1022,05", "0,4400632", "0,07008488"
"1022,1", "0,4410112", "0,06992824"
"1022,15", "0,4419591", "0,07086808"
"1022,2", "0,4432231", "0,06945832"
"1022,25", "0,4440131", "0,06898841"
"1022,3", "0,444961", "0,06992824"
"1022,35", "0,4459091", "0,06898841"
"1022,4", "0,447015", "0,06836185"
"1022,45", "0,447805", "0,07008488"
"1022,5", "0,448911", "0,06898841"
"1022,55", "0,4498589", "0,07102472"
"1022,6", "0,4506489", "0,0697716"
"1022,65", "0,4515969", "0,07039816"
"1022,7", "0,4527029", "0,06961497"
"1022,75", "0,4536508", "0,06945832"
"1022,8", "0,4549148", "0,06945832"
"1022,85", "0,4558628", "0,07039816"
"1022,9", "0,4568107", "0,07039816"
"1022,95", "0,4579167", "0,07071144"
"1023", "0,4588647", "0,07165127"
"1023,05", "0,4598127", "0,07086808"
"1023,1", "0,4609186", "0,07102472"
"1023,15", "0,4617086", "0,0697716"
"1023,2", "0,4626566", "0,071338"
"1023,25", "0,4636046", "0,07102472"
"1023,3", "0,4647105", "0,0721212"
"1023,35", "0,4656585", "0,07102472"
"1023,4", "0,4666065", "0,07071144"
"1023,45", "0,4677125", "0,07086808"
"1023,5", "0,4686604", "0,07180792"
"1023,55", "0,4696084", "0,07039816"
"1023,6", "0,4705564", "0,0705548"
"1023,65", "0,4715044", "0,07024152"
"1023,7", "0,4726103", "0,0705548"
"1023,75", "0,4735583", "0,07118136"
"1023,8", "0,4746643", "0,07118136"
"1023,85", "0,4756122", "0,07118136"
"1023,9", "0,4767182", "0,0697716"
"1023,95", "0,4776662", "0,071338"
"1024", "0,4787721", "0,07180792"
"1024,05", "0,4797201", "0,07165127"
"1024,1", "0,4806681", "0,07102472"
"1024,15", "0,4816161", "0,07086808"
"1024,2", "0,4825641", "0,07118136"
"1024,25", "0,483512", "0,07165127"
"1024,3", "0,48446", "0,071338"
"1024,35", "0,485566", "0,071338"
"1024,4", "0,4865139", "0,07274775"
"1024,45", "0,4876199", "0,07462742"
