Experiment:, Cathode characterisation
Start date:, ?tvrtek 27. dubna 2023
Start time:, 15:46:23 +02:00
"Time (s)", "Voltage (V)", "Current Density (A/cm2)"
"1117,55", "0,05052824", "-0,7298718"
"1117,65", "0,05258031", "-0,4013993"
"1117,7", "0,05366948", "-0,3262125"
"1117,75", "0,05479023", "-0,2654364"
"1117,8", "0,05557949", "-0,2724852"
"1117,85", "0,05660552", "-0,2325422"
"1117,9", "0,05759998", "-0,1864902"
"1118", "0,0596994", "-0,14968"
"1118,05", "0,06072544", "-0,1402816"
"1118,1", "0,06171991", "-0,1163158"
"1118,15", "0,06279329", "-0,09642266"
"1118,2", "0,06370883", "-0,09845897"
"1118,25", "0,06471908", "-0,08498799"
"1118,35", "0,06662908", "-0,06399833"
"1118,4", "0,06763934", "-0,05178047"
"1118,45", "0,06864958", "-0,031574"
"1118,5", "0,06972297", "-0,02546507"
"1118,55", "0,07055959", "-0,04363523"
"1118,6", "0,07150669", "-0,02295884"
"1118,65", "0,07261165", "-0,0008727057"
"1118,7", "0,07359033", "-0,003065657"
"1118,8", "0,07565819", "0,01557442"
"1118,85", "0,07679472", "0,02090015"
"1118,9", "0,07785232", "0,0290454"
"1118,95", "0,07865736", "0,002260081"
"1119", "0,07966761", "0,0290454"
"1119,05", "0,08061472", "0,01667089"
"1119,15", "0,08249315", "0,03468441"
"1119,2", "0,08348761", "0,03014187"
"1119,25", "0,08451365", "0,04126326"
"1119,3", "0,08547655", "0,04126326"
"1119,35", "0,08648679", "0,03938359"
"1119,4", "0,0875444", "0,05316784"
"1119,5", "0,08942283", "0,04376949"
"1119,55", "0,09044886", "0,05692719"
"1119,65", "0,09259564", "0,06648218"
"1119,7", "0,0935901", "0,05630063"
"1119,75", "0,09452143", "0,05677054"
"1119,8", "0,09538961", "0,0537944"
"1119,9", "0,09739432", "0,05849357"
"1119,95", "0,0984835", "0,07071144"
"1120", "0,09944639", "0,06146972"
"1120,05", "0,1003777", "0,06648218"
"1120,1", "0,1012775", "0,05974669"
"1120,15", "0,1022877", "0,07697701"
"1120,2", "0,1034874", "0,07635045"
"1120,25", "0,1044819", "0,06695209"
"1120,35", "0,1064708", "0,07149464"
"1120,4", "0,1074337", "0,07008488"
"1120,45", "0,1085071", "0,08042307"
"1120,5", "0,1095173", "0,07227783"
"1120,55", "0,1105433", "0,07650709"
"1120,65", "0,1124849", "0,07337431"
"1120,7", "0,1134794", "0,07384422"
"1120,75", "0,1144423", "0,07963987"
"1120,8", "0,1155788", "0,07196455"
"1120,85", "0,1165575", "0,07979652"
"1120,9", "0,1175677", "0,07823012"
"1120,95", "0,1185622", "0,07572389"
"1121,05", "0,1205669", "0,0749407"
"1121,1", "0,1216087", "0,08355586"
"1121,15", "0,1225874", "0,07791685"
"1121,2", "0,1236134", "0,07760356"
"1121,25", "0,1244974", "0,07337431"
"1121,3", "0,1254445", "0,07744693"
"1121,35", "0,1264548", "0,0837125"
"1121,45", "0,1284121", "0,07760356"
"1121,5", "0,1293908", "0,08230274"
"1121,55", "0,1303853", "0,07885668"
"1121,6", "0,1313797", "0,07509734"
"1121,65", "0,1323426", "0,08418241"
"1121,7", "0,1335107", "0,08559217"
"1121,75", "0,1345052", "0,07760356"
"1121,85", "0,1364783", "0,07619382"
"1121,9", "0,1374412", "0,07979652"
"1121,95", "0,1383726", "0,07431415"
"1122", "0,1393986", "0,08386914"
"1122,05", "0,1404562", "0,08089299"
"1122,1", "0,1415454", "0,07979652"
"1122,15", "0,1424293", "0,07447078"
"1122,2", "0,1434712", "0,07995315"
"1122,3", "0,1454443", "0,08073635"
"1122,35", "0,1464072", "0,0785434"
"1122,4", "0,1474964", "0,07666373"
"1122,45", "0,1486645", "0,0873152"
"1122,55", "0,1506376", "0,07196455"
"1122,6", "0,1514111", "0,07838677"
"1122,65", "0,1526581", "0,08386914"
"1122,7", "0,1535579", "0,0697716"
"1122,75", "0,1545523", "0,08104963"
"1122,8", "0,1556415", "0,07713365"
"1122,9", "0,1575357", "0,0705548"
"1122,95", "0,1584986", "0,07729029"
"1123", "0,159351", "0,06648218"
"1123,05", "0,1603455", "0,07603717"
"1123,1", "0,1613873", "0,07729029"
"1123,15", "0,1624765", "0,07588054"
"1123,2", "0,1635656", "0,08120627"
"1123,25", "0,1646075", "0,07086808"
"1123,3", "0,1654914", "0,07384422"
"1123,35", "0,1664701", "0,06773529"
"1123,45", "0,1684275", "0,07243447"
"1123,5", "0,1694693", "0,0721212"
"1123,55", "0,1704953", "0,07525398"
"1123,6", "0,1714582", "0,07008488"
"1123,65", "0,1725", "0,07478406"
"1123,7", "0,1735734", "0,07102472"
"1123,8", "0,1756255", "0,07321767"
"1123,85", "0,1766042", "0,07008488"
"1123,9", "0,1775986", "0,0705548"
"1123,95", "0,1785931", "0,06914505"
"1124,05", "0,1806609", "0,06914505"
"1124,1", "0,1817028", "0,07306103"
"1124,15", "0,1826972", "0,06507242"
"1124,2", "0,1835496", "0,0653857"
"1124,25", "0,1846546", "0,07541062"
"1124,3", "0,1856175", "0,06585562"
"1124,35", "0,1865172", "0,06444587"
"1124,4", "0,1876538", "0,0813629"
"1124,45", "0,1885851", "0,06350603"
"1124,55", "0,1904951", "0,07196455"
"1124,6", "0,1914738", "0,06867513"
"1124,65", "0,1925156", "0,071338"
"1124,7", "0,1934785", "0,06914505"
"1124,75", "0,1945361", "0,07102472"
"1124,8", "0,1955463", "0,07165127"
"1124,85", "0,1965566", "0,06710874"
"1124,95", "0,1985613", "0,06867513"
"1125", "0,1993979", "0,06052989"
"1125,05", "0,2004082", "0,07243447"
"1125,1", "0,2015289", "0,07180792"
"1125,15", "0,2024918", "0,06601226"
"1125,2", "0,2034073", "0,06319275"
"1125,3", "0,2053489", "0,06836185"
"1125,35", "0,2064065", "0,06883177"
"1125,4", "0,2073536", "0,06585562"
"1125,45", "0,208427", "0,06867513"
"1125,5", "0,2092794", "0,05927677"
"1125,55", "0,2104475", "0,07525398"
"1125,6", "0,211584", "0,06883177"
"1125,7", "0,2135098", "0,06272284"
"1125,75", "0,2145201", "0,06413259"
"1125,8", "0,2156093", "0,06836185"
"1125,85", "0,2165721", "0,06005996"
"1125,9", "0,2176297", "0,06679546"
