Experiment:, Cathode characterisation
Start date:, ?ter? 23. kv?tna 2023
Start time:, 13:17:04 +02:00
"Time (s)", "Voltage (V)", "Current Density (A/cm2)"
"462,55", "0,05054402", "-0,5314099"
"462,65", "0,05272238", "-0,2450733"
"462,7", "0,05373262", "-0,182261"
"462,75", "0,05453767", "-0,1661271"
"462,8", "0,05554792", "-0,1254009"
"462,85", "0,05660552", "-0,09281995"
"462,9", "0,05755263", "-0,09188012"
"463", "0,05946263", "-0,0622753"
"463,05", "0,06048866", "-0,04332195"
"463,1", "0,06141999", "-0,03689974"
"463,15", "0,06244602", "-0,01731983"
"463,2", "0,06345627", "-0,008861309"
"463,25", "0,06445073", "6,71298e-05"
"463,35", "0,06639231", "0,01306819"
"463,4", "0,06738677", "0,02340638"
"463,45", "0,0684128", "0,02575597"
"463,5", "0,06934413", "0,02685244"
"463,55", "0,0703228", "0,03170826"
"463,6", "0,07141198", "0,04361285"
"463,65", "0,07240644", "0,04455268"
"463,7", "0,07336934", "0,04470932"
"463,8", "0,07548455", "0,05912013"
"463,85", "0,07665265", "0,061783"
"463,9", "0,07756819", "0,05363776"
"463,95", "0,07853108", "0,05677054"
"464", "0,07960447", "0,06350603"
"464,05", "0,08058315", "0,06021661"
"464,1", "0,08165654", "0,06663882"
"464,2", "0,08367704", "0,06883177"
"464,25", "0,08463993", "0,06381931"
"464,3", "0,08572911", "0,07353094"
"464,35", "0,08645523", "0,06021661"
"464,45", "0,0883968", "0,06773529"
"464,5", "0,08950175", "0,071338"
"464,55", "0,09046465", "0,06883177"
"464,6", "0,09163275", "0,07525398"
"464,65", "0,09261142", "0,07462742"
"464,7", "0,09355853", "0,07196455"
"464,75", "0,09464771", "0,07682038"
"464,8", "0,09567375", "0,07697701"
"464,9", "0,0976311", "0,07729029"
"464,95", "0,09859399", "0,07588054"
"465", "0,09958846", "0,07979652"
"465,05", "0,1006145", "0,07885668"
"465,1", "0,1014827", "0,07838677"
"465,15", "0,1024771", "0,08308594"
"465,2", "0,1035979", "0,08449569"
"465,3", "0,1055868", "0,08230274"
"465,35", "0,1064392", "0,08292931"
"465,4", "0,1074968", "0,08324257"
"465,45", "0,1083966", "0,086532"
"465,5", "0,1094384", "0,08449569"
"465,55", "0,1103539", "0,08465233"
"465,65", "0,1123429", "0,08621872"
"465,7", "0,1134636", "0,0873152"
"465,8", "0,1156893", "0,08496562"
"465,85", "0,1166522", "0,08668865"
"465,9", "0,1176624", "0,08668865"
"465,95", "0,1185306", "0,08621872"
"466,05", "0,1206932", "0,09013471"
"466,1", "0,1216719", "0,08543553"
"466,15", "0,1226348", "0,08794177"
"466,2", "0,1236292", "0,08684529"
"466,25", "0,1244974", "0,08778512"
"466,3", "0,1256971", "0,08762848"
"466,35", "0,1266758", "0,0873152"
"466,45", "0,1286805", "0,08919487"
"466,5", "0,1296749", "0,0873152"
"466,55", "0,130622", "0,08700192"
"466,6", "0,1315691", "0,08825504"
"466,65", "0,1324689", "0,08794177"
"466,7", "0,1335423", "0,0888816"
"466,75", "0,1344578", "0,08590545"
"466,85", "0,1364626", "0,08747184"
"466,9", "0,1374886", "0,08762848"
"466,95", "0,1384988", "0,086532"
"467,05", "0,140472", "0,09013471"
"467,1", "0,1414349", "0,0873152"
"467,15", "0,1424925", "0,08762848"
"467,25", "0,1444498", "0,08574881"
"467,3", "0,1456022", "0,0888816"
"467,35", "0,1466124", "0,08919487"
"467,4", "0,1476542", "0,08762848"
"467,45", "0,148696", "0,08825504"
"467,5", "0,1497852", "0,08543553"
"467,6", "0,1517268", "0,09060463"
"467,65", "0,1527213", "0,09185775"
"467,7", "0,1537157", "0,08872496"
"467,75", "0,1547102", "0,08903823"
"467,8", "0,1557204", "0,08747184"
"467,85", "0,156636", "0,08966479"
