Experiment:, Cathode characterisation
Start date:, st?eda 21. ?ervna 2023
Start time:, 11:30:00 +02:00
"Time (s)", "Voltage (V)", "Current Density (A/cm2)"
"1232,55", "0,05098601", "-0,5351693"
"1232,65", "0,05299072", "-0,2054436"
"1232,7", "0,05377998", "-0,1723927"
"1232,75", "0,05483758", "-0,08812078"
"1232,8", "0,05583205", "-0,06869751"
"1232,85", "0,05687387", "-0,03502006"
"1232,95", "0,05881544", "-0,02906777"
"1233", "0,05987304", "0,01009204"
"1233,05", "0,06086751", "0,01416466"
"1233,1", "0,06197247", "0,04016678"
"1233,15", "0,06279329", "0,01745409"
"1233,2", "0,06369305", "0,03249146"
"1233,25", "0,06486114", "0,08637536"
"1233,35", "0,06675537", "0,05771038"
"1233,4", "0,0677814", "0,08496562"
"1233,45", "0,06891792", "0,1047022"
"1233,5", "0,06989661", "0,09765339"
"1233,55", "0,07093843", "0,1043889"
"1233,6", "0,07194867", "0,1133173"
"1233,65", "0,07291158", "0,1018827"
"1233,75", "0,07479", "0,1086181"
"1233,8", "0,07578447", "0,1195829"
"1233,85", "0,07662108", "0,1150403"
"1233,9", "0,07777339", "0,1364999"
"1233,95", "0,07878364", "0,1424522"
"1234", "0,0796834", "0,1242821"
"1234,05", "0,08061472", "0,1352468"
"1234,15", "0,08261943", "0,1430788"
"1234,2", "0,08383489", "0,1549834"
"1234,25", "0,08492406", "0,1581161"
"1234,3", "0,08587117", "0,1484045"
"1234,35", "0,08683407", "0,1559232"
"1234,4", "0,0878601", "0,1562365"
"1234,45", "0,08879142", "0,1548267"
"1234,55", "0,09066986", "0,1621888"
"1234,6", "0,09174325", "0,1673579"
"1234,65", "0,09272192", "0,1681411"
"1234,7", "0,09362168", "0,1562365"
"1234,75", "0,09460036", "0,1701774"
"1234,8", "0,09578424", "0,1747199"
"1234,9", "0,09753639", "0,162972"
"1234,95", "0,09857821", "0,1729969"
"1235", "0,09962003", "0,1814554"
"1235,05", "0,1006461", "0,1698641"
"1235,1", "0,1017352", "0,183805"
