Experiment:, Cathode characterisation
Start date:, st?eda 20. z??? 2023
Start time:, 13:30:25 +02:00
"Time (s)", "Voltage (V)", "Current Density (A/cm2)"
"1347,55", "0,05071766", "-0,5234213"
"1347,65", "0,05286444", "-0,3255859"
"1347,7", "0,0538589", "-0,2687258"
"1347,75", "0,05485337", "-0,2330121"
"1347,8", "0,05597411", "-0,1842973"
"1347,85", "0,05700015", "-0,1656572"
"1347,9", "0,05802618", "-0,1404383"
"1348", "0,05987304", "-0,1161592"
"1348,05", "0,06093065", "-0,09720585"
"1348,1", "0,0619409", "-0,08263841"
"1348,15", "0,0629985", "-0,06556473"
"1348,2", "0,06391404", "-0,06211866"
"1348,25", "0,06482957", "-0,05209375"
"1348,35", "0,06672379", "-0,03173064"
"1348,4", "0,06776562", "-0,02233229"
"1348,45", "0,06882322", "-0,006981638"
"1348,5", "0,06984925", "-0,003535574"
"1348,55", "0,07097", "0,0115018"
"1348,6", "0,0719329", "0,01259827"
"1348,65", "0,07276951", "0,005706144"
"1348,7", "0,07371661", "0,01385139"
"1348,75", "0,07485314", "0,02873212"
"1348,85", "0,07693678", "0,0378172"
"1348,9", "0,07788389", "0,03672072"
"1348,95", "0,07884678", "0,03922695"
"1349", "0,07990438", "0,0450226"
"1349,1", "0,08206695", "0,05410768"
"1349,15", "0,08290356", "0,04267301"
"1349,2", "0,08396117", "0,05316784"
"1349,25", "0,08495564", "0,05285456"
"1349,3", "0,08595009", "0,05708382"
"1349,35", "0,08686563", "0,05348112"
"1349,4", "0,08790746", "0,06491579"
"1349,5", "0,09000688", "0,06319275"
"1349,55", "0,09092242", "0,05990333"
"1349,6", "0,09186953", "0,06444587"
"1349,65", "0,09283242", "0,06507242"
"1349,7", "0,09400052", "0,07353094"
"1349,75", "0,09501077", "0,06945832"
"1349,8", "0,09592631", "0,061783"
"1349,85", "0,09682606", "0,06710874"
"1349,9", "0,09791523", "0,07306103"
"1350", "0,09988838", "0,07118136"
"1350,05", "0,1008513", "0,07400087"
"1350,1", "0,1019878", "0,07963987"
"1350,15", "0,1030928", "0,07447078"
"1350,2", "0,1040399", "0,07306103"
"1350,3", "0,1060919", "0,07807348"
"1350,35", "0,107039", "0,07165127"
"1350,4", "0,1080019", "0,07400087"
"1350,45", "0,1088386", "0,07274775"
"1350,5", "0,1098804", "0,07603717"
"1350,6", "0,1118851", "0,07963987"
"1350,65", "0,1129427", "0,0749407"
"1350,7", "0,1138424", "0,07635045"
"1350,75", "0,1149", "0,0793266"
"1350,8", "0,1159103", "0,0741575"
"1350,85", "0,1169363", "0,08308594"
"1350,9", "0,1178992", "0,07619382"
"1350,95", "0,118941", "0,08026644"
"1351", "0,119825", "0,07462742"
"1351,05", "0,1208353", "0,08073635"
"1351,15", "0,1229189", "0,08151954"
"1351,2", "0,1239134", "0,07713365"
"1351,25", "0,1248131", "0,07650709"
"1351,3", "0,1258549", "0,08292931"
"1351,35", "0,1267705", "0,07916996"
"1351,45", "0,1289173", "0,08167619"
"1351,5", "0,1298801", "0,07948323"
"1351,55", "0,1307799", "0,0793266"
"1351,6", "0,1317112", "0,07791685"
"1351,65", "0,1327215", "0,08089299"
"1351,7", "0,1337791", "0,08214611"
"1351,75", "0,1346315", "0,07462742"
"1351,85", "0,1367467", "0,07995315"
"1351,9", "0,1376149", "0,07838677"
"1351,95", "0,1385935", "0,08339922"
"1352", "0,1396354", "0,07682038"
"1352,05", "0,1404878", "0,08073635"
"1352,1", "0,1415296", "0,07666373"
"1352,15", "0,1424451", "0,0793266"
"1352,2", "0,1435974", "0,08355586"
"1352,3", "0,1456179", "0,07697701"
"1352,35", "0,1465966", "0,07995315"
"1352,4", "0,1478278", "0,07995315"
"1352,45", "0,1488223", "0,0777602"
"1352,5", "0,149801", "0,0749407"
"1352,55", "0,1507955", "0,07870004"
"1352,65", "0,1526581", "0,07368759"
"1352,7", "0,1537631", "0,08198947"
"1352,75", "0,1547575", "0,07368759"
"1352,8", "0,1555152", "0,07259111"
"1352,85", "0,1566833", "0,08151954"
"1352,95", "0,1586091", "0,0741575"
"1353", "0,1596351", "0,08057971"
"1353,05", "0,1608506", "0,0837125"
"1353,1", "0,1618135", "0,07274775"
"1353,15", "0,1627448", "0,07823012"
"1353,2", "0,1637393", "0,07588054"
"1353,25", "0,1648127", "0,08057971"
"1353,35", "0,1668016", "0,07368759"
"1353,4", "0,1679066", "0,07979652"
"1353,45", "0,1689326", "0,07760356"
"1353,5", "0,1698639", "0,07525398"
"1353,55", "0,1707637", "0,0741575"
"1353,6", "0,1717266", "0,07462742"
"1353,65", "0,1728473", "0,07541062"
"1353,75", "0,1747889", "0,07462742"
"1353,8", "0,1756728", "0,07259111"
"1353,85", "0,1767778", "0,07995315"
"1353,9", "0,1777723", "0,07165127"
"1353,95", "0,1786562", "0,07541062"
"1354", "0,1797296", "0,07274775"
"1354,05", "0,1807557", "0,07885668"
"1354,1", "0,181908", "0,07760356"
"1354,2", "0,1839127", "0,07588054"
"1354,25", "0,1849072", "0,07400087"
"1354,3", "0,185949", "0,0777602"
"1354,35", "0,1869434", "0,07650709"
"1354,4", "0,1879063", "0,07243447"
"1354,45", "0,188885", "0,07541062"
"1354,5", "0,1897848", "0,07431415"
"1354,6", "0,1917737", "0,0777602"
"1354,65", "0,1928471", "0,07760356"
"1354,7", "0,1937942", "0,07400087"
"1354,75", "0,1948044", "0,07384422"
"1354,8", "0,1956884", "0,07102472"
"1354,9", "0,1977247", "0,07666373"
"1354,95", "0,1987507", "0,07431415"
"1355", "0,1998241", "0,07541062"
"1355,05", "0,2008659", "0,07556726"
"1355,1", "0,2017657", "0,07321767"
"1355,15", "0,2029022", "0,07807348"
"1355,2", "0,2037546", "0,06726538"
"1355,25", "0,2046859", "0,07509734"
"1355,3", "0,2056646", "0,07227783"
"1355,4", "0,2075273", "0,071338"
"1355,45", "0,2085533", "0,0721212"
"1355,5", "0,2095951", "0,07384422"
