Experiment:, Cathode characterisation
Start date:, ?tvrtek 21. z??? 2023
Start time:, 14:50:21 +02:00
"Time (s)", "Voltage (V)", "Current Density (A/cm2)"
"1347,55", "0,05090708", "-0,3830725"
"1347,65", "0,05306965", "-0,2917518"
"1347,7", "0,05403254", "-0,2607372"
"1347,75", "0,05501122", "-0,2347351"
"1347,8", "0,05605304", "-0,2054436"
"1347,85", "0,05706329", "-0,185707"
"1347,9", "0,05799461", "-0,1711396"
"1348", "0,05995197", "-0,1396551"
"1348,05", "0,06091486", "-0,1274372"
"1348,1", "0,06189354", "-0,1120866"
"1348,15", "0,06290379", "-0,09924216"
"1348,2", "0,06392983", "-0,08420479"
"1348,25", "0,06481379", "-0,07934898"
"1348,35", "0,06685007", "-0,0535035"
"1348,4", "0,06793924", "-0,04332195"
"1348,45", "0,06896529", "-0,03298375"
"1348,5", "0,06992818", "-0,02468188"
"1348,55", "0,07093843", "-0,01731983"
"1348,6", "0,07191711", "-0,0119941"
"1348,65", "0,07284843", "-0,005571885"
"1348,7", "0,07392181", "0,002729997"
"1348,8", "0,07583182", "0,01385139"
"1348,85", "0,07668421", "0,01322483"
"1348,9", "0,07775761", "0,02324974"
"1348,95", "0,07870472", "0,0266958"
"1349", "0,07987282", "0,03499769"
"1349,05", "0,08099356", "0,04157653"
"1349,1", "0,08208273", "0,04533588"
"1349,2", "0,08400852", "0,04564916"
"1349,25", "0,08487671", "0,04768547"
"1349,3", "0,08580803", "0,05066161"
"1349,35", "0,08673935", "0,05128817"
"1349,4", "0,08760753", "0,05583071"
"1349,5", "0,08965961", "0,06366267"
"1349,55", "0,09081192", "0,0653857"
"1349,6", "0,09171168", "0,06413259"
"1349,65", "0,09265878", "0,06789193"
"1349,7", "0,09377953", "0,07118136"
"1349,75", "0,09474242", "0,07102472"
"1349,8", "0,09580003", "0,07525398"
"1349,85", "0,09685763", "0,07306103"
"1349,95", "0,09881499", "0,07729029"
"1350", "0,09991995", "0,07650709"
"1350,05", "0,1009144", "0,0793266"
"1350,1", "0,1019247", "0,07838677"
"1350,15", "0,1029823", "0,07963987"
"1350,2", "0,1038662", "0,07666373"
"1350,3", "0,1058078", "0,07963987"
"1350,35", "0,1067549", "0,07870004"
"1350,4", "0,1077494", "0,08292931"
"1350,45", "0,1087912", "0,08230274"
"1350,5", "0,1096752", "0,0837125"
"1350,6", "0,1116957", "0,08198947"
"1350,65", "0,1127533", "0,08668865"
"1350,7", "0,113732", "0,08355586"
"1350,75", "0,1148369", "0,08574881"
"1350,8", "0,1157998", "0,0837125"
"1350,85", "0,1167311", "0,08230274"
"1350,9", "0,1177572", "0,08559217"
"1350,95", "0,118799", "0,08621872"
"1351", "0,1198408", "0,0873152"
"1351,1", "0,1218771", "0,08684529"
"1351,15", "0,1230294", "0,08700192"
"1351,2", "0,1239607", "0,08386914"
"1351,25", "0,1248605", "0,08480898"
"1351,3", "0,1258865", "0,08715856"
"1351,35", "0,1268652", "0,08606208"
"1351,4", "0,1278439", "0,08747184"
"1351,5", "0,1298486", "0,08574881"
"1351,55", "0,1307799", "0,0873152"
"1351,6", "0,1317744", "0,08684529"
"1351,65", "0,1328635", "0,08841167"
"1351,7", "0,1338422", "0,08700192"
"1351,8", "0,1357364", "0,08465233"
"1351,85", "0,1366678", "0,08527889"
"1351,9", "0,1375833", "0,086532"
"1351,95", "0,1386725", "0,08621872"
"1352", "0,1396985", "0,08762848"
"1352,05", "0,1407087", "0,08794177"
"1352,1", "0,141719", "0,08559217"
"1352,15", "0,1426977", "0,08684529"
