Experiment:, Cathode characterisation
Start date:, ?ter? 26. z??? 2023
Start time:, 13:38:02 +02:00
"Time (s)", "Voltage (V)", "Current Density (A/cm2)"
"1117,55", "0,05051246", "-0,8664613"
"1117,65", "0,05273816", "-0,5065042"
"1117,7", "0,05363791", "-0,4706339"
"1117,75", "0,05464816", "-0,407195"
"1117,8", "0,05562684", "-0,3769636"
"1117,85", "0,05665287", "-0,3435994"
"1117,9", "0,05766312", "-0,3050662"
"1118", "0,05965205", "-0,2566646"
"1118,05", "0,06061495", "-0,239121"
"1118,1", "0,06159363", "-0,2193845"
"1118,15", "0,06260387", "-0,1863336"
"1118,2", "0,06356677", "-0,1817911"
"1118,25", "0,06449809", "-0,1611147"
"1118,35", "0,06645545", "-0,1239912"
"1118,4", "0,06743412", "-0,1123999"
"1118,45", "0,06836545", "-0,1047245"
"1118,5", "0,06931256", "-0,0929766"
"1118,55", "0,07048066", "-0,05741948"
"1118,6", "0,07150669", "-0,05820268"
"1118,65", "0,0724538", "-0,05804604"
"1118,75", "0,07455323", "-0,0323572"
"1118,8", "0,07545298", "-0,03940597"
"1118,85", "0,0763843", "-0,02530843"
"1118,9", "0,0774577", "-0,01465696"
"1118,95", "0,0784048", "-0,01230737"
"1119", "0,07947819", "0,004296389"
"1119,05", "0,08050422", "0,00648934"
"1119,1", "0,08154604", "0,01651425"
"1119,2", "0,08356655", "0,0143213"
"1119,25", "0,08470307", "0,02622589"
"1119,3", "0,08566596", "0,02481613"
"1119,35", "0,08653415", "0,01855056"
"1119,4", "0,08763911", "0,0406367"
"1119,45", "0,08849151", "0,02434622"
"1119,55", "0,09040151", "0,03954023"
"1119,6", "0,09147489", "0,04173318"
"1119,65", "0,09242201", "0,04658899"
"1119,7", "0,09347961", "0,04925186"
"1119,75", "0,09439515", "0,0494085"
"1119,8", "0,09543697", "0,0530112"
"1119,85", "0,09641565", "0,05128817"
"1119,9", "0,09755218", "0,06883177"
"1120", "0,09947797", "0,06037325"
"1120,05", "0,1003777", "0,05316784"
"1120,1", "0,1014038", "0,06836185"
"1120,15", "0,1023982", "0,06319275"
"1120,2", "0,1033138", "0,06413259"
"1120,3", "0,1054605", "0,0721212"
"1120,35", "0,1064866", "0,06914505"
"1120,4", "0,1073705", "0,06460251"
"1120,45", "0,1083176", "0,06945832"
"1120,5", "0,1093595", "0,07274775"
"1120,55", "0,1104013", "0,07400087"
"1120,65", "0,1124533", "0,07541062"
"1120,7", "0,1133373", "0,07118136"
"1120,75", "0,1144107", "0,08089299"
"1120,8", "0,1154367", "0,07462742"
"1120,85", "0,1164944", "0,07948323"
"1120,9", "0,117552", "0,07478406"
"1120,95", "0,1186569", "0,08496562"
"1121", "0,1197461", "0,08386914"
"1121,1", "0,1216403", "0,07337431"
"1121,15", "0,1226505", "0,08496562"
"1121,2", "0,1236924", "0,08073635"
"1121,25", "0,1245605", "0,07603717"
"1121,3", "0,1256813", "0,07963987"
"1121,35", "0,1266916", "0,08606208"
"1121,45", "0,1287594", "0,08026644"
"1121,5", "0,1296434", "0,07729029"
