Experiment:, Cathode characterisation
Start date:, p?tek 27. ??jna 2023
Start time:, 13:32:07 +02:00
"Time (s)", "Voltage (V)", "Current Density (A/cm2)"
"853,55", "0,05041774", "-0,3540943"
"853,65", "0,05246981", "-0,2959811"
"853,7", "0,05346427", "-0,2740516"
"853,75", "0,05444295", "-0,2544717"
"853,8", "0,05540585", "-0,2399042"
"853,85", "0,05638453", "-0,2245536"
"853,9", "0,05739478", "-0,2081064"
"854", "0,05957313", "-0,1824176"
"854,05", "0,06047288", "-0,1711396"
"854,1", "0,0614042", "-0,1623678"
"854,15", "0,06255652", "-0,1434144"
"854,2", "0,06361412", "-0,13057"
"854,25", "0,0645928", "-0,1202318"
"854,35", "0,06655016", "-0,1025316"
"854,4", "0,06752884", "-0,09281995"
"854,45", "0,06849173", "-0,08749422"
"854,5", "0,06935991", "-0,08075874"
"854,55", "0,07040174", "-0,0710471"
"854,6", "0,0713962", "-0,06258858"
"854,65", "0,07235909", "-0,05585309"
"854,7", "0,07341669", "-0,0455149"
"854,8", "0,07550033", "-0,02938105"
"854,85", "0,0763843", "-0,02781466"
"854,9", "0,07748926", "-0,02139245"
"854,95", "0,07857844", "-0,01465696"
"855", "0,07947819", "-0,01450032"
"855,05", "0,08056736", "-0,003222294"
"855,15", "0,08266678", "0,002103441"
"855,2", "0,08370861", "0,004922947"
"855,25", "0,08454522", "0,006959258"
"855,3", "0,08561861", "0,01463458"
"855,35", "0,08666043", "0,01761073"
"855,4", "0,08770225", "0,02011696"
"855,5", "0,08965961", "0,02841884"
"855,55", "0,09071721", "0,03123834"
"855,6", "0,09172747", "0,03139498"
"855,65", "0,09265878", "0,03311801"
"855,7", "0,09360589", "0,03672072"
"855,75", "0,09452143", "0,03672072"
"855,8", "0,0956106", "0,0406367"
"855,85", "0,09655771", "0,03938359"
"855,95", "0,09838879", "0,0414199"
"856", "0,09952532", "0,05050497"
"856,05", "0,1004724", "0,04768547"
"856,1", "0,1015143", "0,04815539"
"856,15", "0,1024929", "0,04987842"
"856,2", "0,103519", "0,05081825"
"856,3", "0,1055552", "0,05802366"
"856,35", "0,1066128", "0,05222801"
"856,4", "0,1074495", "0,05175809"
"856,45", "0,1085386", "0,06021661"
"856,5", "0,1095489", "0,05489087"
"856,6", "0,1114589", "0,05818029"
"856,65", "0,1124691", "0,06021661"
"856,7", "0,1133689", "0,05786702"
"856,75", "0,1144107", "0,06021661"
"856,8", "0,1154525", "0,06068652"
"856,85", "0,1165101", "0,06225292"
"856,9", "0,1174572", "0,06021661"
"856,95", "0,1184991", "0,0633494"
"857", "0,1195251", "0,06366267"
"857,1", "0,1214982", "0,06601226"
"857,15", "0,1225558", "0,06225292"
"857,2", "0,1234714", "0,06319275"
"857,25", "0,1244501", "0,06710874"
"857,3", "0,1254603", "0,06350603"
"857,35", "0,1265495", "0,07008488"
"857,4", "0,1274808", "0,06303611"
"857,5", "0,1294224", "0,06225292"
"857,55", "0,1304011", "0,06710874"
"857,6", "0,1313482", "0,06585562"
"857,65", "0,1323111", "0,06710874"
"857,7", "0,1334002", "0,06961497"
"857,75", "0,1345052", "0,06632554"
"857,85", "0,1364468", "0,06710874"
"857,9", "0,1374412", "0,06930169"
"857,95", "0,1384988", "0,07039816"
"858", "0,1395722", "0,06757865"
"858,05", "0,1405351", "0,06804857"
"858,1", "0,1415296", "0,06601226"
"858,15", "0,1424293", "0,07008488"
