Experiment:, Cathode characterisation
Start date:, ?ter? 31. ??jna 2023
Start time:, 12:07:23 +01:00
"Time (s)", "Voltage (V)", "Current Density (A/cm2)"
"756,05", "0,4002483", "0,0924843"
"756,1", "0,4011963", "0,0924843"
"756,15", "0,4021442", "0,09420733"
"756,2", "0,4032502", "0,09389405"
"756,25", "0,4040402", "0,09279758"
"756,3", "0,4049881", "0,09295422"
"756,35", "0,4059362", "0,09514717"
"756,4", "0,4070421", "0,09342413"
"756,45", "0,4079901", "0,09514717"
"756,5", "0,4090961", "0,09295422"
"756,55", "0,409886", "0,0932675"
"756,6", "0,410992", "0,09436397"
"756,65", "0,41194", "0,09295422"
"756,7", "0,4128879", "0,09358077"
"756,75", "0,4139939", "0,09608699"
"756,8", "0,4149419", "0,09514717"
"756,85", "0,4160478", "0,09499053"
"756,9", "0,4169958", "0,09389405"
"756,95", "0,4179438", "0,09452061"
"757", "0,4190498", "0,09546044"
"757,05", "0,4199978", "0,09546044"
"757,1", "0,4209457", "0,09577372"
"757,15", "0,4218937", "0,0953038"
"757,2", "0,4228417", "0,09546044"
"757,25", "0,4239476", "0,0968702"
"757,3", "0,4248956", "0,09483389"
"757,35", "0,4256856", "0,09483389"
"757,4", "0,4269496", "0,09577372"
"757,45", "0,4280555", "0,09420733"
"757,5", "0,4290035", "0,09514717"
"757,55", "0,4299515", "0,0953038"
"757,6", "0,4308994", "0,09467725"
"757,65", "0,4320054", "0,09514717"
"757,7", "0,4329534", "0,09577372"
"757,75", "0,4339013", "0,09452061"
"757,8", "0,4350073", "0,09593036"
"757,85", "0,4359553", "0,09608699"
"757,9", "0,4370613", "0,0953038"
"757,95", "0,4380093", "0,09561708"
"758", "0,4389572", "0,09546044"
"758,05", "0,4399052", "0,09718347"
"758,1", "0,4410112", "0,09499053"
"758,15", "0,4419591", "0,09640028"
"758,2", "0,4430651", "0,09452061"
"758,25", "0,4438551", "0,09608699"
"758,3", "0,444961", "0,09483389"
"758,35", "0,445751", "0,09561708"
"758,4", "0,446699", "0,09624365"
"758,45", "0,447963", "0,09577372"
"758,5", "0,448753", "0,09420733"
"758,55", "0,4498589", "0,09671356"
"758,6", "0,4509649", "0,09718347"
"758,65", "0,4519129", "0,09577372"
"758,7", "0,4527029", "0,09546044"
"758,75", "0,4538088", "0,09624365"
"758,8", "0,4547568", "0,09546044"
"758,85", "0,4557048", "0,09734011"
"758,9", "0,4568107", "0,09624365"
"758,95", "0,4579167", "0,09608699"
"759", "0,4590227", "0,09452061"
"759,05", "0,4599707", "0,09483389"
"759,1", "0,4610766", "0,0953038"
"759,15", "0,4620246", "0,09655692"
"759,2", "0,4629726", "0,09499053"
"759,25", "0,4639205", "0,09561708"
"759,3", "0,4647105", "0,09420733"
"759,35", "0,4658165", "0,09671356"
"759,4", "0,4666065", "0,09655692"
"759,45", "0,4677125", "0,09514717"
"759,5", "0,4686604", "0,0953038"
"759,55", "0,4697664", "0,09765339"
"759,6", "0,4708724", "0,09640028"
"759,65", "0,4718203", "0,09561708"
"759,7", "0,4729263", "0,09499053"
"759,75", "0,4738743", "0,09765339"
"759,8", "0,4748223", "0,09577372"
"759,85", "0,4759282", "0,09655692"
"759,9", "0,4768762", "0,09577372"
"759,95", "0,4778242", "0,0968702"
"760", "0,4789301", "0,09608699"
"760,05", "0,4798781", "0,09624365"
"760,1", "0,4808261", "0,09608699"
"760,15", "0,4819321", "0,09655692"
"760,2", "0,48288", "0,09671356"
"760,25", "0,48367", "0,09749676"
"760,3", "0,484618", "0,09593036"
"760,35", "0,485566", "0,09702684"
"760,4", "0,4866719", "0,0968702"
"760,45", "0,4876199", "0,09655692"
"760,5", "0,4887259", "0,0968702"
"760,55", "0,4896739", "0,09937642"
"760,6", "0,4906218", "0,09749676"
"760,65", "0,4915698", "0,09937642"
"760,7", "0,4926758", "0,09812331"
"760,75", "0,4937817", "0,09781004"
"760,8", "0,4948877", "0,09906314"
"760,85", "0,4958357", "0,09812331"
"760,9", "0,4969417", "0,1006295"
"760,95", "0,4978896", "0,100003"
"761", "0,4986796", "0,1006295"
"761,05", "0,4996276", "0,09937642"
"761,1", "0,5007336", "0,09655692"
"761,15", "0,5016815", "0,09890651"
"761,2", "0,5026295", "0,09655692"
"761,25", "0,5037354", "0,09781004"
"761,3", "0,5046834", "0,09812331"
"761,35", "0,5056314", "0,09718347"
"761,4", "0,5065793", "0,09796667"
"761,45", "0,5075274", "0,09890651"
"761,5", "0,5086333", "0,09827995"
"761,55", "0,5095813", "0,09953307"
"761,6", "0,5106873", "0,09781004"
"761,65", "0,5116352", "0,09718347"
"761,7", "0,5125833", "0,09968971"
"761,75", "0,5140052", "0,09937642"
"761,8", "0,5154272", "0,09827995"
"761,85", "0,5166911", "0,09937642"
"761,9", "0,5179551", "0,09843659"
"761,95", "0,519061", "0,1001596"
"762", "0,520167", "0,09953307"
"762,05", "0,521115", "0,09906314"
"762,1", "0,522063", "0,09765339"
"762,15", "0,5230109", "0,09874986"
"762,2", "0,5239589", "0,09749676"
"762,25", "0,5249069", "0,1025092"
"762,3", "0,5260128", "0,09953307"
"762,35", "0,5271188", "0,09890651"
"762,4", "0,5280668", "0,1001596"
"762,45", "0,5288568", "0,1010995"
"762,5", "0,5298048", "0,09937642"
"762,55", "0,5309107", "0,09968971"
"762,6", "0,5320167", "0,09953307"
"762,65", "0,5329646", "0,1004729"
"762,7", "0,5339127", "0,09968971"
"762,75", "0,5350186", "0,09984634"
"762,8", "0,5361246", "0,1015694"
"762,85", "0,5370725", "0,09984634"
"762,9", "0,5380206", "0,09812331"
"762,95", "0,5389685", "0,1004729"
"763", "0,5399165", "0,1007862"
"763,05", "0,5408645", "0,09937642"
"763,1", "0,5419704", "0,1009428"
"763,15", "0,5427604", "0,09921978"
"763,2", "0,5438664", "0,1014127"
"763,25", "0,5448143", "0,1006295"
"763,3", "0,5457623", "0,1009428"
"763,35", "0,5468683", "0,1020393"
"763,4", "0,5478163", "0,1021959"
"763,45", "0,5487642", "0,1009428"
"763,5", "0,5497122", "0,1018827"
"763,55", "0,5506602", "0,1029791"
"763,6", "0,5517662", "0,1015694"
"763,65", "0,5527142", "0,1031358"
"763,7", "0,5536621", "0,1025092"
"763,75", "0,5546101", "0,1009428"
"763,8", "0,555716", "0,1029791"
"763,85", "0,5568221", "0,1028225"
"763,9", "0,55777", "0,1025092"
"763,95", "0,558876", "0,1025092"
"764", "0,5596659", "0,1043889"
"764,05", "0,5607719", "0,1028225"
"764,1", "0,5617199", "0,1021959"
"764,15", "0,5626679", "0,1040756"
"764,2", "0,5639318", "0,1047022"
"764,25", "0,5648798", "0,1028225"
"764,3", "0,5658278", "0,1029791"
"764,35", "0,5667757", "0,1023526"
"764,4", "0,5675657", "0,1037623"
"764,45", "0,5685138", "0,1040756"
"764,5", "0,5696197", "0,1037623"
"764,55", "0,5707256", "0,1025092"
"764,6", "0,5716736", "0,1053287"
"764,65", "0,5726216", "0,1048588"
"764,7", "0,5735696", "0,1053287"
"764,75", "0,5746756", "0,1040756"
"764,8", "0,5756235", "0,1068951"
"764,85", "0,5767295", "0,1047022"
"764,9", "0,5776774", "0,1042322"
"764,95", "0,5786254", "0,1040756"
"765", "0,5797314", "0,1054853"
"765,05", "0,5806794", "0,1061119"
"765,1", "0,5816274", "0,1061119"
"765,15", "0,5828913", "0,1057986"
"765,2", "0,5838392", "0,1054853"
"765,25", "0,5846293", "0,1054853"
"765,3", "0,5857353", "0,1081482"
"765,35", "0,5866832", "0,1065818"
"765,4", "0,5876312", "0,1050154"
"765,45", "0,5887371", "0,1070518"
"765,5", "0,5896851", "0,1047022"
"765,55", "0,5906332", "0,1062686"
"765,6", "0,5915811", "0,1043889"
"765,65", "0,5925291", "0,1054853"
"765,7", "0,593635", "0,1045455"
"765,75", "0,594583", "0,1061119"
"765,8", "0,595531", "0,1062686"
"765,85", "0,596637", "0,1037623"
"765,9", "0,5975849", "0,1040756"
"765,95", "0,5988489", "0,1064252"
"766", "0,5996388", "0,1061119"
"766,05", "0,6005868", "0,1064252"
"766,1", "0,6015348", "0,1050154"
"766,15", "0,6024828", "0,1059553"
"766,2", "0,6035888", "0,1057986"
"766,25", "0,6045367", "0,1087748"
"766,3", "0,6056427", "0,1072084"
"766,35", "0,6067487", "0,1061119"
"766,4", "0,6078547", "0,1064252"
"766,45", "0,6086446", "0,1054853"
"766,5", "0,6095926", "0,107365"
"766,55", "0,6105406", "0,1045455"
"766,6", "0,6116465", "0,1062686"
"766,65", "0,6125945", "0,1059553"
"766,7", "0,6135425", "0,1076783"
"766,75", "0,6144904", "0,107365"
"766,8", "0,6155964", "0,1072084"
"766,85", "0,6165444", "0,1076783"
"766,9", "0,6176503", "0,1061119"
"766,95", "0,6185983", "0,1064252"
"767", "0,6195464", "0,1072084"
"767,05", "0,6204943", "0,1094013"
"767,1", "0,6216003", "0,1079916"
"767,15", "0,6225482", "0,1076783"
"767,2", "0,6236542", "0,1079916"
"767,25", "0,6246022", "0,1067385"
"767,3", "0,6255502", "0,1094013"
"767,35", "0,6266561", "0,107365"
"767,4", "0,6274461", "0,1083049"
"767,45", "0,6285521", "0,1087748"
"767,5", "0,6293421", "0,1087748"
"767,55", "0,63029", "0,1076783"
"767,6", "0,631396", "0,1081482"
"767,65", "0,6323439", "0,1104978"
"767,7", "0,6334499", "0,1094013"
"767,75", "0,6345559", "0,1094013"
"767,8", "0,6353459", "0,1079916"
"767,85", "0,6364519", "0,1092447"
"767,9", "0,6375578", "0,1087748"
"767,95", "0,6385058", "0,1057986"
"768", "0,6394538", "0,1064252"
"768,05", "0,6404018", "0,1079916"
"768,1", "0,6413497", "0,1083049"
"768,15", "0,6424557", "0,1097146"
"768,2", "0,6435617", "0,1087748"
"768,25", "0,6443517", "0,1100279"
"768,3", "0,6452996", "0,1084615"
"768,35", "0,6462476", "0,109558"
"768,4", "0,6471956", "0,1086181"
"768,45", "0,6483015", "0,1100279"
"768,5", "0,6492495", "0,1094013"
"768,55", "0,6503555", "0,1109677"
"768,6", "0,6516195", "0,1100279"
"768,65", "0,6525674", "0,1089314"
"768,7", "0,6535154", "0,1084615"
"768,75", "0,6546214", "0,1103412"
