Experiment:, Cathode characterisation
Start date:, ?tvrtek 1. ?nora 2024
Start time:, 15:55:49 +01:00
"Time (s)", "Voltage (V)", "Current Density (A/cm2)"
"1020,05", "0,4002483", "0,03656408"
"1020,1", "0,4013543", "0,03766055"
"1020,15", "0,4023022", "0,03891367"
"1020,2", "0,4032502", "0,03938359"
"1020,25", "0,4043562", "0,03797383"
"1020,3", "0,4053041", "0,03922695"
"1020,35", "0,4062521", "0,03938359"
"1020,4", "0,4073581", "0,03891367"
"1020,45", "0,4083061", "0,0378172"
"1020,5", "0,409254", "0,03860039"
"1020,55", "0,410202", "0,04188982"
"1020,6", "0,411308", "0,03938359"
"1020,65", "0,412256", "0,03969686"
"1020,7", "0,4133619", "0,03797383"
"1020,75", "0,4143099", "0,03797383"
"1020,8", "0,4154159", "0,03828711"
"1020,85", "0,4163638", "0,04048006"
"1020,9", "0,4174698", "0,04032342"
"1020,95", "0,4182598", "0,03891367"
"1021", "0,4193658", "0,03891367"
"1021,05", "0,4203137", "0,03640744"
"1021,1", "0,4212617", "0,03860039"
"1021,15", "0,4223677", "0,03766055"
"1021,2", "0,4233157", "0,03907031"
"1021,25", "0,4244216", "0,03969686"
"1021,3", "0,4253696", "0,03922695"
"1021,35", "0,4264756", "0,03734728"
"1021,4", "0,4272656", "0,03891367"
"1021,45", "0,4282135", "0,0406367"
"1021,5", "0,4293195", "0,0406367"
"1021,55", "0,4302675", "0,03860039"
"1021,6", "0,4312155", "0,04329957"
"1021,65", "0,4321634", "0,03969686"
"1021,7", "0,4332694", "0,03750391"
"1021,75", "0,4342174", "0,04048006"
"1021,8", "0,4353233", "0,04079334"
"1021,85", "0,4362713", "0,03828711"
"1021,9", "0,4373773", "0,04001015"
"1021,95", "0,4384832", "0,0406367"
"1022", "0,4394312", "0,03907031"
"1022,05", "0,4403792", "0,03954023"
"1022,1", "0,4413272", "0,03969686"
"1022,15", "0,4424331", "0,03922695"
"1022,2", "0,4433811", "0,03922695"
"1022,25", "0,4443291", "0,03734728"
"1022,3", "0,4451191", "0,03828711"
"1022,35", "0,446225", "0,04016678"
"1022,4", "0,447173", "0,03797383"
"1022,45", "0,448279", "0,03750391"
"1022,5", "0,4492269", "0,04110662"
"1022,55", "0,4503329", "0,04157653"
"1022,6", "0,4512809", "0,03969686"
"1022,65", "0,4522289", "0,03938359"
"1022,7", "0,4533348", "0,03907031"
"1022,75", "0,4542828", "0,03969686"
"1022,8", "0,4555468", "0,0406367"
"1022,85", "0,4563367", "0,03907031"
"1022,9", "0,4572847", "0,03813047"
"1022,95", "0,4582327", "0,03828711"
"1023", "0,4593387", "0,03938359"
"1023,05", "0,4602866", "0,03797383"
"1023,1", "0,4612346", "0,0398535"
"1023,15", "0,4623406", "0,03891367"
"1023,2", "0,4632886", "0,04001015"
"1023,25", "0,4642365", "0,04001015"
"1023,3", "0,4651845", "0,03828711"
"1023,35", "0,4661325", "0,03922695"
"1023,4", "0,4672385", "0,03860039"
"1023,45", "0,4681864", "0,03938359"
"1023,5", "0,4692924", "0,03813047"
"1023,55", "0,4702404", "0,03860039"
"1023,6", "0,4713463", "0,03797383"
"1023,65", "0,4722943", "0,04032342"
"1023,7", "0,4732423", "0,03860039"
"1023,75", "0,4743483", "0,03860039"
"1023,8", "0,4752962", "0,03907031"
"1023,85", "0,4765602", "0,04126326"
"1023,9", "0,4773502", "0,03922695"
"1023,95", "0,4784561", "0,04204645"
"1024", "0,4794042", "0,04032342"
"1024,05", "0,4803521", "0,0398535"
"1024,1", "0,4813001", "0,04094998"
"1024,15", "0,4822481", "0,03844375"
"1024,2", "0,483196", "0,04032342"
"1024,25", "0,484144", "0,04126326"
"1024,3", "0,485092", "0,03672072"
"1024,35", "0,485882", "0,04157653"
"1024,4", "0,4869879", "0,04157653"
"1024,45", "0,4880939", "0,04204645"
"1024,5", "0,4891998", "0,04298629"
"1024,55", "0,4901479", "0,04204645"
"1024,6", "0,4910958", "0,04204645"
"1024,65", "0,4922018", "0,04345621"
"1024,7", "0,4929918", "0,04329957"
"1024,75", "0,4942557", "0,04267301"
"1024,8", "0,4952037", "0,04173318"
"1024,85", "0,4963097", "0,04188982"
"1024,9", "0,4972576", "0,04314293"
"1024,95", "0,4982056", "0,04298629"
"1025", "0,4991536", "0,04392612"
"1025,05", "0,5001016", "0,04298629"
"1025,1", "0,5012075", "0,04392612"
"1025,15", "0,5023135", "0,04423941"
"1025,2", "0,5032614", "0,04549251"
"1025,25", "0,5042095", "0,04345621"
"1025,3", "0,5049994", "0,04376949"
"1025,35", "0,5059474", "0,04423941"
"1025,4", "0,5068954", "0,04564916"
"1025,45", "0,5080013", "0,04596243"
"1025,5", "0,5089493", "0,04533588"
"1025,55", "0,5098973", "0,04627572"
"1025,6", "0,5108452", "0,04439604"
"1025,65", "0,5119512", "0,04564916"
"1025,7", "0,5130572", "0,04564916"
"1025,75", "0,5141632", "0,04486596"
"1025,8", "0,5155851", "0,04564916"
"1025,85", "0,5171651", "0,04705891"
"1025,9", "0,5182711", "0,04517924"
"1025,95", "0,519535", "0,04329957"
"1026", "0,520483", "0,0450226"
"1026,05", "0,521431", "0,04533588"
"1026,1", "0,5223789", "0,04533588"
"1026,15", "0,5233269", "0,04627572"
"1026,2", "0,5242749", "0,04392612"
"1026,25", "0,5255389", "0,04486596"
"1026,3", "0,5263288", "0,04423941"
"1026,35", "0,5275928", "0,04549251"
