Experiment:, Cathode characterisation
Start date:, ?ter? 30. ledna 2024
Start time:, 14:12:18 +01:00
"Time (s)", "Voltage (V)", "Current Density (A/cm2)"
"1200,55", "0,05071766", "-0,6170916"
"1200,65", "0,05273816", "-0,325116"
"1200,7", "0,05387469", "-0,2377113"
"1200,75", "0,05477444", "-0,2337953"
"1200,8", "0,05580048", "-0,1929124"
"1200,85", "0,05677915", "-0,1761521"
"1200,95", "0,05884701", "-0,1434144"
"1201", "0,05977833", "-0,1191354"
"1201,05", "0,06085172", "-0,08639775"
"1201,1", "0,06165677", "-0,1207017"
"1201,15", "0,06261966", "-0,08890398"
"1201,2", "0,06372461", "-0,06540807"
"1201,3", "0,0656504", "-0,0630585"
"1201,35", "0,06670801", "-0,03564662"
"1201,4", "0,06773404", "-0,03047753"
"1201,45", "0,06877586", "-0,01888622"
"1201,5", "0,06975454", "-0,01591007"
"1201,55", "0,07062273", "-0,03094744"
"1201,6", "0,0717119", "-0,01215073"
"1201,65", "0,07262744", "-0,01637999"
"1201,75", "0,07474265", "0,003669833"
"1201,8", "0,07562661", "-0,0007160668"
"1201,85", "0,07654215", "0,001320244"
"1201,9", "0,07752083", "0,01620097"
"1201,95", "0,07865736", "0,01964704"
"1202", "0,07963604", "0,0194904"
"1202,05", "0,08053579", "0,01964704"
"1202,15", "0,08271415", "0,03311801"
"1202,2", "0,08364546", "0,0223099"
"1202,25", "0,08454522", "0,0187072"
"1202,3", "0,08561861", "0,03531097"
"1202,35", "0,08661307", "0,03969686"
"1202,45", "0,08853886", "0,0266958"
"1202,5", "0,08956489", "0,04658899"
"1202,55", "0,09054358", "0,03687736"
"1202,6", "0,09160118", "0,04721555"
"1202,65", "0,09259564", "0,04251637"
"1202,7", "0,09365325", "0,04611908"
"1202,75", "0,09469506", "0,04627572"
"1202,8", "0,09553168", "0,04032342"
"1202,85", "0,09644722", "0,0450226"
"1202,9", "0,09748904", "0,05426432"
"1203", "0,09954111", "0,05160145"
"1203,05", "0,1005198", "0,05128817"
"1203,1", "0,1016247", "0,0537944"
"1203,15", "0,102635", "0,05630063"
"1203,25", "0,1047186", "0,05708382"
"1203,3", "0,1056342", "0,05395104"
"1203,35", "0,1065497", "0,0545776"
"1203,4", "0,10756", "0,05833694"
"1203,45", "0,1086018", "0,05630063"
"1203,5", "0,1095331", "0,05583071"
"1203,6", "0,1116325", "0,05786702"
"1203,65", "0,1126428", "0,06303611"
"1203,7", "0,1135899", "0,05755374"
"1203,75", "0,1145528", "0,05489087"
"1203,8", "0,1155472", "0,05990333"
"1203,85", "0,1166048", "0,06272284"
"1203,9", "0,1176309", "0,05849357"
"1203,95", "0,1185148", "0,05442095"
"1204", "0,1194935", "0,0661689"
"1204,1", "0,1216877", "0,06162636"
"1204,15", "0,1226979", "0,06319275"
"1204,2", "0,1237082", "0,05912013"
"1204,25", "0,1246553", "0,0625662"
"1204,3", "0,1255866", "0,06209628"
"1204,35", "0,1266916", "0,06601226"
"1204,45", "0,1287594", "0,05630063"
"1204,5", "0,1296592", "0,06131308"
"1204,55", "0,1306852", "0,06209628"
"1204,6", "0,1316797", "0,06021661"
"1204,65", "0,1326583", "0,06225292"
"1204,7", "0,1337159", "0,06146972"
"1204,75", "0,1345841", "0,05927677"
"1204,85", "0,1365573", "0,06319275"
"1204,9", "0,1376307", "0,06272284"
"1204,95", "0,1385935", "0,05677054"
"1205", "0,1396038", "0,06366267"
"1205,05", "0,1404404", "0,05865022"
"1205,1", "0,1414664", "0,06303611"
"1205,2", "0,1435343", "0,05786702"
"1205,25", "0,1444814", "0,06131308"
"1205,3", "0,1455074", "0,06272284"
"1205,35", "0,146423", "0,05520415"
"1205,4", "0,1473701", "0,06052989"
"1205,45", "0,1485224", "0,06209628"
"1205,5", "0,1495011", "0,05912013"
"1205,55", "0,1505903", "0,06319275"
"1205,65", "0,1525634", "0,06240956"
"1205,7", "0,1536052", "0,05786702"
"1205,75", "0,1545523", "0,06507242"
"1205,8", "0,1556573", "0,05974669"
