Experiment:, EIS
Start date:, p?tek 2. z??? 2022
Start time:, 11:23:04 +02:00
"Time (s)", "Frequency (Hz)", "Z' (Ohm)", "Z'' (Ohm)"
"731", "100000", "0,007200113", "0,006154079"
"731", "89125,09", "0,001428443", "-0,0003141446"
"731", "79432,82", "0,001764176", "0,0006246921"
"731", "70794,57", "-0,007335282", "-0,0009249638"
"732", "63095,73", "0,002554776", "0,004003544"
"732", "56234,13", "0,003067443", "0,0007036378"
"732", "50118,71", "0,001040798", "-0,0001022929"
"732", "44668,35", "0,006915947", "0,005912757"
"733", "39810,71", "0,00290932", "-0,0004717977"
"733", "35481,33", "0,002245249", "0,0005281636"
"733", "31622,77", "0,00287751", "0,0002503721"
"733", "28183,82", "0,003197457", "-0,0005116249"
"734", "25118,85", "0,003393185", "-0,0003670564"
"734", "22387,2", "0,003230743", "-0,0002736662"
"734", "19952,61", "0,003439389", "-0,0003869378"
"734", "17782,79", "0,003567736", "-0,0003140175"
"735", "15848,92", "0,00361457", "-0,0004686407"
"735", "14125,37", "0,00366395", "-0,000439679"
"735", "12589,25", "0,003638093", "-0,0004567874"
"735", "11220,18", "0,003696383", "-0,0004709355"
"736", "9999,993", "0,003798936", "-0,0005309586"
"736", "8912,503", "0,003835596", "-0,0005538287"
"736", "7943,276", "0,003873109", "-0,00058388"
"736", "7079,452", "0,003922282", "-0,0005973867"
"737", "6309,568", "0,003964634", "-0,0006101727"
"737", "5623,409", "0,004022805", "-0,0006455015"
"737", "5011,868", "0,004065171", "-0,0006571519"
"737", "4466,832", "0,004115326", "-0,0006848139"
"738", "3981,068", "0,00415896", "-0,0007138043"
"738", "3548,131", "0,004210353", "-0,0007412278"
"738", "3162,275", "0,00426092", "-0,0007669279"
"738", "2818,38", "0,004315651", "-0,000795649"
"739", "2511,884", "0,004369497", "-0,0008272951"
"739", "2238,719", "0,004412681", "-0,000860919"
"739", "1995,26", "0,004470822", "-0,000900912"
"739", "1778,277", "0,004531983", "-0,0009406922"
"740", "1584,891", "0,004585176", "-0,0009774297"
"740", "1412,536", "0,004664436", "-0,001028863"
"740", "1258,924", "0,004726582", "-0,001064276"
"740", "1122,017", "0,004785727", "-0,00111675"
"741", "999,9988", "0,004883876", "-0,00117988"
"741", "891,2498", "0,004933598", "-0,001228256"
"741", "794,3272", "0,005000121", "-0,001262584"
"741", "707,9448", "0,005102178", "-0,001326183"
"741", "630,9565", "0,005182753", "-0,001413508"
"741", "562,3405", "0,005281397", "-0,001489287"
"742", "501,1865", "0,005414505", "-0,001587102"
"742", "446,6829", "0,005505226", "-0,001633088"
"742", "398,1066", "0,005662548", "-0,001691928"
"742", "354,8128", "0,005752742", "-0,001801323"
"742", "316,2273", "0,005903163", "-0,001883624"
"742", "281,8378", "0,00605303", "-0,001960977"
"743", "251,1882", "0,006228284", "-0,002039069"
"743", "223,8717", "0,006414558", "-0,002111922"
"743", "199,5259", "0,006592887", "-0,002200872"
"743", "177,8276", "0,006815651", "-0,002226537"
"743", "158,489", "0,007028615", "-0,002262376"
"743", "141,2535", "0,007227887", "-0,002295549"
"743", "125,8923", "0,007462558", "-0,002311139"
"744", "112,2016", "0,007687831", "-0,002319116"
"744", "99,9998", "0,008034792", "-0,002282574"
"744", "89,12492", "0,00815998", "-0,002229288"
"744", "79,43266", "0,008361829", "-0,002174351"
"744", "70,79443", "0,008587809", "-0,002114096"
"744", "63,0956", "0,008766371", "-0,002018962"
"744", "56,23401", "0,008951907", "-0,001923487"
"745", "50,11861", "0,009165183", "-0,001817087"
"745", "44,66826", "0,009282923", "-0,001686094"
"745", "39,81063", "0,009401183", "-0,001577588"
"745", "35,48126", "0,009527794", "-0,001473915"
"745", "31,6227", "0,009625826", "-0,001369553"
"745", "28,18376", "0,009706414", "-0,001250143"
"746", "25,11881", "0,009789709", "-0,001147653"
"746", "22,38716", "0,009839482", "-0,001040329"
"746", "19,95257", "0,00989934", "-0,0009531222"
"746", "17,78275", "0,009962222", "-0,0008545257"
"746", "15,84889", "0,01000587", "-0,0007819936"
"746", "14,12534", "0,01002053", "-0,0006770894"
"747", "12,58922", "0,01006463", "-0,0006182194"
"747", "11,22016", "0,01007943", "-0,0005411854"
"747", "9,999973", "0,01005978", "-0,0004590558"
"747", "8,912485", "0,01009909", "-0,0003976151"
"747", "7,943261", "0,01006699", "-0,000393634"
"748", "7,079438", "0,01010959", "-0,0003240126"
"748", "6,309556", "0,01012206", "-0,0002787537"
"748", "5,623397", "0,01007609", "-0,0002554188"
"748", "5,011858", "0,01013131", "-0,0002336111"
"749", "4,466823", "0,01011111", "-0,0002057041"
"749", "3,98106", "0,01010926", "-0,0001891681"
"749", "3,548123", "0,01009775", "-0,0001269721"
"750", "3,162268", "0,01008475", "-0,0001472947"
"750", "2,818374", "0,01010646", "-0,0001081386"
"750", "2,511878", "0,01007237", "-0,0001087164"
"751", "2,238714", "0,01006365", "-9,818409e-05"
"752", "1,995256", "0,01005903", "-0,0001249521"
"752", "1,778274", "0,01004561", "-9,38232e-05"
"753", "1,584888", "0,01000865", "-7,826043e-05"
"754", "1,412533", "0,01004574", "-0,0001091182"
"754", "1,258921", "0,01000442", "-0,0001009978"
"755", "1,122015", "0,01004846", "-0,0001111361"
"756", "0,999997", "0,01003698", "-0,0001152743"
"758", "0,891248", "0,01004801", "-0,0001321347"
"759", "0,794325", "0,01007126", "-0,000109928"
"760", "0,707943", "0,01006922", "-0,0001940131"
"762", "0,630955", "0,01012059", "-0,0001478382"
"764", "0,562339", "0,01010939", "-0,0002065977"
"766", "0,501185", "0,01013946", "-0,000141969"
"768", "0,446682", "0,01015615", "-0,0002031524"
"771", "0,398106", "0,01018391", "-0,0002065944"
"774", "0,354812", "0,01021443", "-0,0002067655"
"777", "0,316227", "0,01024205", "-0,0002115082"
"780", "0,281837", "0,01025151", "-0,0002059762"
"784", "0,251188", "0,01031268", "-0,0002376765"
"789", "0,223871", "0,01037587", "-0,0001966928"
"794", "0,199525", "0,01039027", "-0,0002013079"
"800", "0,177827", "0,01040242", "-0,0001924283"
"806", "0,158489", "0,01041709", "-0,0002070001"
"813", "0,141253", "0,01041465", "-0,0001914293"
"821", "0,125892", "0,0104865", "-0,0001990639"
"830", "0,112201", "0,01045831", "-9,941246e-05"
"840", "0,1", "0,010516", "-0,0001406425"
