Experiment:, EIS
Start date:, ?tvrtek 15. z??? 2022
Start time:, 15:56:57 +02:00
"Time (s)", "Frequency (Hz)", "Z' (Ohm)", "Z'' (Ohm)"
"731", "100000", "0,005773366", "0,00495295"
"731", "89125,09", "0,008987611", "0,003176631"
"731", "79432,82", "0,005917809", "0,003911427"
"732", "70794,57", "0,0009322871", "0,001436865"
"732", "63095,73", "0,005476298", "0,003126808"
"732", "56234,13", "0,001632509", "-3,167637e-05"
"732", "50118,71", "0,0003571772", "0,0002321472"
"733", "44668,35", "0,006557767", "0,003807514"
"733", "39810,71", "0,00158929", "0,0006408152"
"733", "35481,33", "0,003057182", "0,0004739029"
"733", "31622,77", "0,00363113", "0,0002141145"
"734", "28183,82", "0,00336433", "-0,0005604595"
"734", "25118,85", "0,003331209", "-8,148578e-05"
"734", "22387,2", "0,003678157", "1,559967e-05"
"734", "19952,61", "0,003454419", "-0,0002563784"
"735", "17782,79", "0,003660463", "-0,0002912296"
"735", "15848,92", "0,003632685", "-0,0003454294"
"735", "14125,37", "0,003715429", "-0,0003623365"
"735", "12589,25", "0,003702006", "-0,0004246637"
"736", "11220,18", "0,003781594", "-0,0004420306"
"736", "9999,993", "0,003837549", "-0,0004692129"
"736", "8912,503", "0,003853232", "-0,0004934144"
"736", "7943,276", "0,003917724", "-0,0005206479"
"737", "7079,452", "0,003957031", "-0,0005301958"
"737", "6309,568", "0,003984095", "-0,0005722782"
"737", "5623,409", "0,004025238", "-0,0005881123"
"737", "5011,868", "0,004058203", "-0,0006230373"
"738", "4466,832", "0,004083198", "-0,000654398"
"738", "3981,068", "0,004120384", "-0,0006966748"
"738", "3548,131", "0,004146428", "-0,0007399338"
"738", "3162,275", "0,004176973", "-0,0007937062"
"739", "2818,38", "0,004206824", "-0,0008479524"
"739", "2511,884", "0,004232937", "-0,0009102786"
"739", "2238,719", "0,004266642", "-0,0009861318"
"739", "1995,26", "0,00430016", "-0,001063532"
"740", "1778,277", "0,0043379", "-0,001160466"
"740", "1584,891", "0,004378314", "-0,001260635"
"740", "1412,536", "0,004426875", "-0,001376375"
"740", "1258,924", "0,004471574", "-0,001503791"
"741", "1122,017", "0,00453173", "-0,001641167"
"741", "999,9988", "0,004572966", "-0,001823426"
"741", "891,2498", "0,00467592", "-0,001964185"
"741", "794,3272", "0,004762336", "-0,002158232"
"741", "707,9448", "0,004850834", "-0,002356148"
"741", "630,9565", "0,004976661", "-0,002583268"
"742", "562,3405", "0,00511094", "-0,002829189"
"742", "501,1865", "0,005319081", "-0,003056043"
"742", "446,6829", "0,005469947", "-0,003373676"
"742", "398,1066", "0,005735832", "-0,003708005"
"742", "354,8128", "0,005944512", "-0,003993545"
"742", "316,2273", "0,006254954", "-0,004312282"
"742", "281,8378", "0,006596472", "-0,004643314"
"743", "251,1882", "0,007005076", "-0,004965073"
"743", "223,8717", "0,007462915", "-0,005282125"
"743", "199,5259", "0,007978814", "-0,00562732"
"743", "177,8276", "0,008517425", "-0,005849926"
"743", "158,489", "0,009128351", "-0,006077212"
"743", "141,2535", "0,009793367", "-0,006239409"
"744", "125,8923", "0,0104721", "-0,006348952"
"744", "112,2016", "0,01116764", "-0,006416673"
"744", "99,9998", "0,01192096", "-0,006365019"
"744", "89,12492", "0,01256511", "-0,006268191"
"744", "79,43266", "0,01323089", "-0,006092643"
"744", "70,79443", "0,01384999", "-0,00587571"
"744", "63,0956", "0,01442625", "-0,005592027"
"745", "56,23401", "0,01495527", "-0,005285979"
"745", "50,11861", "0,01540968", "-0,004955383"
"745", "44,66826", "0,0158482", "-0,004618676"
"745", "39,81063", "0,0162145", "-0,004278739"
"745", "35,48126", "0,01653766", "-0,003910559"
"745", "31,6227", "0,01682905", "-0,003634064"
"746", "28,18376", "0,01704422", "-0,003275634"
"746", "25,11881", "0,01713132", "-0,002985264"
"746", "22,38716", "0,01734309", "-0,00265565"
"746", "19,95257", "0,01744075", "-0,002433632"
"746", "17,78275", "0,01751123", "-0,002190435"
"746", "15,84889", "0,01759816", "-0,001975663"
"747", "14,12534", "0,0176181", "-0,001682271"
"747", "12,58922", "0,01772309", "-0,001470003"
"747", "11,22016", "0,01776834", "-0,00136412"
"747", "9,999973", "0,01782416", "-0,001317213"
"747", "8,912485", "0,01786424", "-0,001061331"
"748", "7,943261", "0,01787863", "-0,000774383"
"748", "7,079438", "0,01794923", "-0,0009494437"
"748", "6,309556", "0,01807915", "-0,0007815798"
"748", "5,623397", "0,01789232", "-0,0005812534"
"749", "5,011858", "0,01784244", "-0,0003940095"
"749", "4,466823", "0,01782802", "-0,0004965407"
"749", "3,98106", "0,01775772", "-0,0005204951"
"749", "3,548123", "0,01790598", "-0,0003719316"
"750", "3,162268", "0,0179197", "-0,0003454243"
"750", "2,818374", "0,01800513", "-0,0001705399"
"751", "2,511878", "0,01798639", "-0,000276833"
"751", "2,238714", "0,01794036", "-0,0002493071"
"752", "1,995256", "0,01807368", "-0,0004016149"
"752", "1,778274", "0,01769278", "-0,0003415737"
"753", "1,584888", "0,01791367", "-0,0001839098"
"754", "1,412533", "0,01776882", "-0,0001802045"
"755", "1,258921", "0,01793564", "-0,0002033096"
"755", "1,122015", "0,01779235", "-0,0001641168"
