Experiment:, EIS
Start date:, ?tvrtek 1. z??? 2022
Start time:, 11:10:48 +02:00
"Time (s)", "Frequency (Hz)", "Z' (Ohm)", "Z'' (Ohm)"
"961", "100000", "-0,001352588", "-0,001172522"
"961", "89125,09", "0,01427786", "-0,007720137"
"961", "79432,82", "-0,002565735", "-0,006253141"
"962", "70794,57", "-0,005253919", "5,499251e-05"
"962", "63095,73", "-0,008293145", "-0,0219126"
"962", "56234,13", "0,005075042", "0,01512603"
"962", "50118,71", "0,004744094", "-0,00841829"
"963", "44668,35", "-0,01663045", "0,01259129"
"963", "39810,71", "0,0056759", "0,00145277"
"963", "35481,33", "0,005665566", "-0,003094336"
"963", "31622,77", "-0,004414098", "-0,005432336"
"964", "28183,82", "0,004976363", "-0,0005374587"
"964", "25118,85", "0,00781335", "-0,0009538504"
"964", "22387,2", "-0,001120663", "-0,002334031"
"964", "19952,61", "0,003934527", "0,0004736345"
"965", "17782,79", "0,004260305", "-0,0005546152"
"965", "15848,92", "0,004632094", "-0,0006554267"
"965", "14125,37", "0,004114512", "-0,0003002392"
"965", "12589,25", "0,004367652", "-0,0006082588"
"966", "11220,18", "0,004064326", "-0,0007904924"
"966", "9999,993", "0,004305767", "-0,0007939517"
"966", "8912,503", "0,004861911", "-0,0005653397"
"966", "7943,276", "0,004439579", "-0,0006085091"
"967", "7079,452", "0,004614499", "-0,0005018509"
"967", "6309,568", "0,004603451", "-0,0005649845"
"967", "5623,409", "0,004586293", "-0,0005889388"
"967", "5011,868", "0,004549516", "-0,0005596154"
"968", "4466,832", "0,004521724", "-0,000592928"
"968", "3981,068", "0,004654787", "-0,0007325339"
"968", "3548,131", "0,0046065", "-0,0005940396"
"968", "3162,275", "0,004679837", "-0,0007200522"
"969", "2818,38", "0,00483351", "-0,0007843338"
"969", "2511,884", "0,004794139", "-0,0007790687"
"969", "2238,719", "0,004825878", "-0,0008329006"
"969", "1995,26", "0,005002957", "-0,0009318044"
"970", "1778,277", "0,004858261", "-0,0009289185"
"970", "1584,891", "0,004929956", "-0,000990542"
"970", "1412,536", "0,004983565", "-0,001103799"
"970", "1258,924", "0,004982778", "-0,00113359"
"971", "1122,017", "0,005055604", "-0,001273918"
"971", "999,9988", "0,005064164", "-0,0014698"
"971", "891,2498", "0,005194854", "-0,001475519"
"971", "794,3272", "0,005298977", "-0,001619187"
"971", "707,9448", "0,005374978", "-0,001661855"
"971", "630,9565", "0,005486837", "-0,001867754"
"972", "562,3405", "0,005585395", "-0,001998544"
"972", "501,1865", "0,005754593", "-0,002043116"
"972", "446,6829", "0,005874661", "-0,00235087"
"972", "398,1066", "0,00607834", "-0,002399955"
"972", "354,8128", "0,00627526", "-0,002689637"
"972", "316,2273", "0,006513687", "-0,002883379"
"972", "281,8378", "0,006731593", "-0,003021911"
"972", "251,1882", "0,007045904", "-0,003172922"
"973", "223,8717", "0,007350403", "-0,003320007"
"973", "199,5259", "0,00761545", "-0,00335215"
