Experiment:, EIS
Start date:, st?eda 12. ??jna 2022
Start time:, 15:50:23 +02:00
"Time (s)", "Frequency (Hz)", "Z' (Ohm)", "Z'' (Ohm)"
"1191", "100000", "-0,01114016", "-0,006653254"
"1191", "89125,09", "0,02746794", "0,005061306"
"1191", "79432,82", "-0,008991531", "-0,0008769782"
"1192", "70794,57", "0,0001560824", "-0,0004806375"
"1192", "63095,73", "-0,01718937", "0,00089618"
"1192", "56234,13", "0,002000244", "-0,004872074"
"1192", "50118,71", "-0,0415256", "0,04903458"
"1193", "44668,35", "-0,003762675", "-0,01757379"
"1193", "39810,71", "0,008570542", "-0,01245752"
"1193", "35481,33", "0,006778375", "0,001738376"
"1193", "31622,77", "0,001734973", "-0,004887456"
"1194", "28183,82", "0,005946817", "4,550075e-05"
"1194", "25118,85", "0,004487076", "-0,002184646"
"1194", "22387,2", "0,006331342", "-0,0008616632"
"1194", "19952,61", "0,003883338", "0,002832085"
"1195", "17782,79", "0,004264173", "-0,0001027296"
"1195", "15848,92", "0,00429553", "-0,001686261"
"1195", "14125,37", "0,003264418", "-0,001607834"
"1195", "12589,25", "0,0044704", "-0,0007878699"
"1196", "11220,18", "0,003885103", "-0,001020919"
"1196", "9999,993", "0,003693456", "-0,001721315"
"1196", "8912,503", "0,003744627", "-0,001118176"
"1196", "7943,276", "0,004323941", "-0,0009222543"
"1197", "7079,452", "0,004055985", "-0,001033702"
"1197", "6309,568", "0,004363582", "-0,001192579"
"1197", "5623,409", "0,004401606", "-0,001239346"
"1197", "5011,868", "0,00440182", "-0,001223907"
"1198", "4466,832", "0,004581813", "-0,001306948"
"1198", "3981,068", "0,00467106", "-0,001378196"
"1198", "3548,131", "0,00468", "-0,001400849"
"1198", "3162,275", "0,004677313", "-0,00145709"
"1199", "2818,38", "0,004758988", "-0,001575704"
"1199", "2511,884", "0,004942084", "-0,001784187"
"1199", "2238,719", "0,005013078", "-0,001839186"
"1199", "1995,26", "0,005061379", "-0,002006914"
"1200", "1778,277", "0,00522787", "-0,002092045"
"1200", "1584,891", "0,00532663", "-0,002246231"
"1200", "1412,536", "0,005397027", "-0,002345136"
"1200", "1258,924", "0,00559718", "-0,002503261"
"1201", "1122,017", "0,00571013", "-0,002613174"
"1201", "999,9988", "0,005993786", "-0,002972063"
"1201", "891,2498", "0,005998666", "-0,003013166"
"1201", "794,3272", "0,006177452", "-0,003255426"
"1201", "707,9448", "0,006423544", "-0,003497299"
"1201", "630,9565", "0,006666934", "-0,003671908"
"1201", "562,3405", "0,006892153", "-0,003917727"
"1201", "501,1865", "0,007076831", "-0,004132709"
"1202", "446,6829", "0,007448177", "-0,004430198"
"1202", "398,1066", "0,007769165", "-0,004607833"
"1202", "354,8128", "0,008119115", "-0,004956591"
"1202", "316,2273", "0,008475318", "-0,005242372"
