Experiment:, EIS
Start date:, ?tvrtek 13. ??jna 2022
Start time:, 14:57:13 +02:00
"Time (s)", "Frequency (Hz)", "Z' (Ohm)", "Z'' (Ohm)"
"961", "100000", "0,002720287", "0,00201148"
"961", "89125,09", "0,006304941", "-0,004920758"
"961", "79432,82", "-0,002389346", "-0,002948229"
"961", "70794,57", "-0,0006476012", "-0,001441769"
"962", "63095,73", "-0,01078914", "-0,01492217"
"962", "56234,13", "0,02263408", "0,008283947"
"962", "50118,71", "-0,02127032", "9,594423e-05"
"962", "44668,35", "-0,0002533991", "-0,003406564"
"963", "39810,71", "0,01076352", "0,008295103"
"963", "35481,33", "-0,0003112676", "0,009513365"
"963", "31622,77", "-0,002398818", "-0,002532328"
"963", "28183,82", "0,004467472", "0,002673185"
"964", "25118,85", "-0,0002654639", "-0,0008811882"
"964", "22387,2", "0,005605544", "0,000658192"
"964", "19952,61", "0,002323714", "0,0002659265"
"964", "17782,79", "0,003620525", "-0,001220856"
"965", "15848,92", "0,001458705", "-0,001068652"
"965", "14125,37", "0,003231981", "-0,001213974"
"965", "12589,25", "0,002934407", "0,0005745628"
"965", "11220,18", "0,002719889", "-0,0005972117"
"966", "9999,993", "0,003085625", "-0,0008285285"
"966", "8912,503", "0,003383256", "-0,001148944"
"966", "7943,276", "0,003117636", "-0,0008442219"
"966", "7079,452", "0,003152757", "-0,0007048712"
"967", "6309,568", "0,003429882", "-0,0008791394"
"967", "5623,409", "0,003376357", "-0,0009788016"
"967", "5011,868", "0,00344859", "-0,0008691741"
"967", "4466,832", "0,003562334", "-0,0008861287"
"968", "3981,068", "0,003574001", "-0,0008869799"
"968", "3548,131", "0,003639498", "-0,000916363"
"968", "3162,275", "0,003711047", "-0,0009443038"
"968", "2818,38", "0,003772278", "-0,0009983146"
"969", "2511,884", "0,003882376", "-0,001000366"
"969", "2238,719", "0,003935738", "-0,001028981"
"969", "1995,26", "0,004009587", "-0,001234153"
"969", "1778,277", "0,004155551", "-0,00109433"
"970", "1584,891", "0,00418331", "-0,001085184"
"970", "1412,536", "0,004194994", "-0,001152057"
"970", "1258,924", "0,004337678", "-0,001155418"
"970", "1122,017", "0,004391075", "-0,001196736"
"971", "999,9988", "0,00434473", "-0,00119113"
"971", "891,2498", "0,004536371", "-0,001316555"
"971", "794,3272", "0,004606353", "-0,001334838"
"971", "707,9448", "0,004711436", "-0,001381015"
"971", "630,9565", "0,004824991", "-0,001393611"
"971", "562,3405", "0,004948378", "-0,001466276"
"972", "501,1865", "0,004999622", "-0,001616059"
"972", "446,6829", "0,005125858", "-0,001578096"
"972", "398,1066", "0,005250972", "-0,001539649"
"972", "354,8128", "0,005340455", "-0,001683258"
"972", "316,2273", "0,00543821", "-0,001750829"
"972", "281,8378", "0,005575894", "-0,001811951"
"973", "251,1882", "0,00569912", "-0,001903359"
"973", "223,8717", "0,005832281", "-0,001988861"
"973", "199,5259", "0,005874564", "-0,002072151"
"973", "177,8276", "0,006121852", "-0,002173515"
"973", "158,489", "0,006294742", "-0,002238232"
"973", "141,2535", "0,006465735", "-0,00233634"
"973", "125,8923", "0,006690522", "-0,00242036"
"974", "112,2016", "0,006880889", "-0,002500022"
"974", "99,9998", "0,007152265", "-0,002538393"
"974", "89,12492", "0,007350757", "-0,002636459"
"974", "79,43266", "0,007571969", "-0,002686609"
"974", "70,79443", "0,00783409", "-0,002726534"
"974", "63,0956", "0,008087153", "-0,002745928"
"975", "56,23401", "0,008345001", "-0,002774369"
"975", "50,11861", "0,008601942", "-0,002738318"
"975", "44,66826", "0,008894733", "-0,0027161"
"975", "39,81063", "0,009152479", "-0,002632622"
"975", "35,48126", "0,009378962", "-0,002586952"
"975", "31,6227", "0,009596176", "-0,002539582"
"976", "28,18376", "0,009765146", "-0,002450681"
"976", "25,11881", "0,009995697", "-0,002328486"
"976", "22,38716", "0,01020458", "-0,002244508"
"976", "19,95257", "0,010345", "-0,002142711"
"976", "17,78275", "0,01057003", "-0,002033462"
"976", "15,84889", "0,01068504", "-0,001945124"
"976", "14,12534", "0,01078915", "-0,00186994"
"977", "12,58922", "0,01095358", "-0,001779963"
"977", "11,22016", "0,01107401", "-0,001728252"
"977", "9,999973", "0,01118634", "-0,001596797"
"977", "8,912485", "0,01127633", "-0,001617705"
"977", "7,943261", "0,01136985", "-0,001438087"
"978", "7,079438", "0,01146348", "-0,001447533"
"978", "6,309556", "0,01144863", "-0,00130079"
"978", "5,623397", "0,01151042", "-0,001379242"
"978", "5,011858", "0,01178832", "-0,001137569"
"979", "4,466823", "0,01178944", "-0,001156441"
"979", "3,98106", "0,01178154", "-0,001045487"
"979", "3,548123", "0,01185487", "-0,001154629"
"980", "3,162268", "0,01192593", "-0,0009526767"
"980", "2,818374", "0,0121348", "-0,001043675"
"980", "2,511878", "0,01203896", "-0,0007453543"
"981", "2,238714", "0,01207924", "-0,0008329355"
"982", "1,995256", "0,01218376", "-0,0007873533"
"982", "1,778274", "0,01190032", "-0,0004320414"
"983", "1,584888", "0,01225666", "-0,0008238577"
"984", "1,412533", "0,01236775", "-0,0005500978"
"984", "1,258921", "0,0122518", "-0,0009035149"
"985", "1,122015", "0,01239031", "-0,0007060048"
"986", "0,999997", "0,012433", "-0,0007460834"
"988", "0,891248", "0,01222061", "-0,0004050404"
"989", "0,794325", "0,01229427", "-0,0006153583"
"990", "0,707943", "0,01244159", "-0,0007531329"
"992", "0,630955", "0,01286285", "-0,0007752137"
"994", "0,562339", "0,01251702", "-0,001166051"
"996", "0,501185", "0,01252077", "-0,0005509316"
"998", "0,446682", "0,01250525", "-0,001776581"
"1001", "0,398106", "0,01251795", "2,392833e-05"
"1004", "0,354812", "0,01216472", "-0,001272142"
"1007", "0,316227", "0,01215731", "-0,001155151"
"1010", "0,281837", "0,012481", "-0,001046579"
"1014", "0,251188", "0,01181159", "-0,00117302"
"1019", "0,223871", "0,01125527", "-0,001476308"
"1024", "0,199525", "0,007997099", "-0,003988943"
"1030", "0,177827", "0,008622653", "-0,002020157"
"1036", "0,158489", "0,01097938", "-0,0007372143"
"1043", "0,141253", "0,01101726", "-0,0001408918"
"1051", "0,125892", "0,01097221", "0,0002716152"
"1060", "0,112201", "0,01072146", "0,0001013519"
"1070", "0,1", "0,01096187", "1,956654e-05"
