Experiment:, EIS
Start date:, st?eda 30. listopadu 2022
Start time:, 17:27:56 +01:00
"Time (s)", "Frequency (Hz)", "Z' (Ohm)", "Z'' (Ohm)"
"8", "100000", "0,07530499", "0,02914364"
"8", "79432,82", "0,01643196", "0,1855498"
"9", "63095,73", "0,4468674", "-0,1038019"
"9", "50118,72", "0,2400172", "0,008583251"
"9", "39810,71", "0,2034004", "0,08281861"
"9", "31622,77", "0,357006", "0,06264114"
"10", "25118,86", "0,3133194", "0,01721696"
"10", "19952,62", "0,3446147", "0,01729615"
"10", "15848,93", "0,3346879", "0,01684799"
"10", "12589,25", "0,3414884", "0,003852184"
"11", "9999,997", "0,3419469", "-0,0007791609"
"11", "7943,28", "0,3449721", "-0,003351408"
"11", "6309,571", "0,345735", "-0,005686455"
"11", "5011,871", "0,3461104", "-0,01035142"
"12", "3981,07", "0,3471691", "-0,01583462"
"12", "3162,276", "0,3477961", "-0,01981352"
"12", "2511,885", "0,3498052", "-0,02315705"
"13", "1995,261", "0,3516531", "-0,02729952"
"13", "1584,892", "0,3542518", "-0,03267058"
"13", "1258,925", "0,357378", "-0,03706723"
"13", "999,9994", "0,3606616", "-0,04064212"
"13", "794,3277", "0,3635937", "-0,04717398"
"14", "630,9569", "0,3687147", "-0,05205647"
"14", "501,1869", "0,3763081", "-0,06006997"
"14", "398,1069", "0,385089", "-0,06928487"
"14", "316,2275", "0,3904767", "-0,0748828"
"14", "251,1884", "0,3996051", "-0,08379889"
"14", "199,5261", "0,4075153", "-0,09846328"
"14", "158,4892", "0,4170864", "-0,1112054"
"14", "125,8924", "0,4323299", "-0,1272647"
"15", "99,99991", "0,4474403", "-0,13641"
"15", "79,43275", "0,4694465", "-0,1583452"
"15", "63,09567", "0,4916392", "-0,1937217"
"15", "50,11867", "0,5213674", "-0,1985676"
"15", "39,81068", "0,5452325", "-0,2323495"
"15", "31,62274", "0,557557", "-0,269741"
"16", "25,11884", "0,6411352", "-0,2748745"
"16", "19,9526", "0,7016308", "-0,3121437"
"16", "15,84891", "0,7194441", "-0,3374334"
"16", "12,58924", "0,8548198", "-0,3240538"
"16", "9,999988", "0,9832646", "-0,3213822"
"17", "7,943272", "0,8464791", "-0,265128"
"17", "6,309565", "1,090245", "-0,3155054"
"17", "5,011866", "1,068128", "-0,2858623"
"17", "3,981066", "1,043739", "-0,2338409"
"18", "3,162273", "1,179683", "-0,1956962"
"18", "2,511883", "1,071488", "-0,06046546"
"19", "1,995259", "1,145644", "-0,1200333"
"19", "1,584891", "1,320762", "-0,03514841"
"20", "1,258924", "1,283974", "-0,04323062"
"21", "1", "1,381814", "-0,1156972"
