Experiment:, EIS
Start date:, p?tek 4. listopadu 2022
Start time:, 12:05:26 +01:00
"Time (s)", "Frequency (Hz)", "Z' (Ohm)", "Z'' (Ohm)"
"1421", "100000", "-0,000433147", "0,002189497"
"1421", "89125,09", "-0,02178613", "-0,008301367"
"1421", "79432,82", "-0,01430221", "-0,005919428"
"1421", "70794,57", "-0,008001536", "-0,002995349"
"1422", "63095,73", "-0,005397848", "-0,0005288293"
"1422", "56234,13", "-0,01119348", "-0,00951591"
"1422", "50118,71", "-0,008796666", "-0,003587337"
"1422", "44668,35", "-0,009369764", "-0,01946174"
"1423", "39810,71", "0,00220549", "0,003110377"
"1423", "35481,33", "-0,006533127", "-0,0124266"
"1423", "31622,77", "0,001858914", "0,003732699"
"1423", "28183,82", "0,0006375953", "-0,0004087656"
"1424", "25118,85", "0,007473608", "-0,0008152253"
"1424", "22387,2", "0,006411693", "-0,001972019"
"1424", "19952,61", "0,003343509", "0,002543001"
"1425", "17782,79", "0,002336343", "-0,00127926"
"1425", "15848,92", "0,004308351", "0,00209405"
"1425", "14125,37", "0,003119317", "-0,001261759"
"1425", "12589,25", "0,003301454", "-0,00118854"
"1426", "11220,18", "0,002942808", "-0,0003813907"
"1426", "9999,993", "0,0028667", "-0,0001967989"
"1426", "8912,503", "0,00290388", "-0,0004380105"
"1426", "7943,276", "0,003038729", "-0,0006426257"
"1427", "7079,452", "0,003015804", "-0,0004807779"
"1427", "6309,568", "0,003002156", "-0,000629874"
"1427", "5623,409", "0,003162712", "-0,0006426264"
"1427", "5011,868", "0,003158836", "-0,0005956381"
"1428", "4466,832", "0,003071175", "-0,0006428135"
"1428", "3981,068", "0,003252306", "-0,0007406358"
"1428", "3548,131", "0,003242902", "-0,000709963"
"1428", "3162,275", "0,003270037", "-0,0008525311"
"1429", "2818,38", "0,003345506", "-0,0008398218"
"1429", "2511,884", "0,003415324", "-0,0009550818"
"1429", "2238,719", "0,003474589", "-0,0009881593"
"1429", "1995,26", "0,003522076", "-0,001176338"
"1430", "1778,277", "0,003604812", "-0,001090529"
"1430", "1584,891", "0,003756605", "-0,001123381"
"1430", "1412,536", "0,003750281", "-0,001226341"
"1430", "1258,924", "0,003908721", "-0,001304462"
"1431", "1122,017", "0,00401663", "-0,001373342"
"1431", "999,9988", "0,004237437", "-0,001574097"
"1431", "891,2498", "0,004297931", "-0,001502262"
"1431", "794,3272", "0,004354779", "-0,00147811"
"1431", "707,9448", "0,004582152", "-0,001482179"
"1431", "630,9565", "0,004732769", "-0,001578333"
"1432", "562,3405", "0,004923454", "-0,001573808"
"1432", "501,1865", "0,005192944", "-0,001597335"
"1432", "446,6829", "0,00525132", "-0,001534254"
"1432", "398,1066", "0,005460494", "-0,001389352"
"1432", "354,8128", "0,005573841", "-0,001433521"
"1432", "316,2273", "0,005708029", "-0,001368715"
"1433", "281,8378", "0,005821732", "-0,001296182"
"1433", "251,1882", "0,005957149", "-0,001201246"
"1433", "223,8717", "0,006063304", "-0,001119331"
"1433", "199,5259", "0,006133732", "-0,001113657"
"1433", "177,8276", "0,006197561", "-0,00092791"
"1433", "158,489", "0,006260821", "-0,0008535653"
"1433", "141,2535", "0,006311087", "-0,0007837228"
"1434", "125,8923", "0,006351641", "-0,0007125147"
"1434", "112,2016", "0,006379106", "-0,0006455248"
"1434", "99,9998", "0,006486858", "-0,0006201963"
"1434", "89,12492", "0,006445434", "-0,000490939"
"1434", "79,43266", "0,006433689", "-0,0004255172"
"1434", "70,79443", "0,006460896", "-0,0003804228"
"1435", "63,0956", "0,006489648", "-0,000308287"
"1435", "56,23401", "0,006451166", "-0,0003056153"
"1435", "50,11861", "0,006494623", "-0,0002280508"
"1435", "44,66826", "0,006496661", "-0,0002406955"
"1435", "39,81063", "0,00648851", "-0,0001783838"
"1435", "35,48126", "0,006488343", "-0,0001915528"
"1435", "31,6227", "0,006456365", "-0,0001494239"
"1436", "28,18376", "0,006519517", "-0,0001485016"
"1436", "25,11881", "0,006460089", "-0,0001033419"
"1436", "22,38716", "0,006505315", "-0,0001134291"
"1436", "19,95257", "0,006489368", "-4,977216e-05"
"1436", "17,78275", "0,006409086", "-4,466926e-05"
"1436", "15,84889", "0,006460491", "-6,500764e-05"
"1437", "14,12534", "0,006468128", "-9,915221e-06"
"1437", "12,58922", "0,006408209", "-6,515946e-05"
"1437", "11,22016", "0,006490248", "-2,141647e-06"
"1437", "9,999973", "0,006256469", "-6,708946e-05"
"1437", "8,912485", "0,006451576", "2,306514e-06"
"1438", "7,943261", "0,006329942", "-0,0001274051"
"1438", "7,079438", "0,006351195", "-7,452873e-05"
"1438", "6,309556", "0,006460613", "-3,917816e-05"
"1438", "5,623397", "0,006349598", "-4,37385e-05"
"1439", "5,011858", "0,006315389", "-4,305864e-05"
"1439", "4,466823", "0,006297463", "3,322901e-05"
"1439", "3,98106", "0,006401051", "-8,838082e-05"
"1439", "3,548123", "0,006417626", "-5,18542e-05"
"1440", "3,162268", "0,00646691", "-2,688456e-05"
"1440", "2,818374", "0,006445411", "-1,043694e-05"
"1441", "2,511878", "0,006428353", "-8,173811e-05"
"1441", "2,238714", "0,0063885", "-0,0001228888"
"1442", "1,995256", "0,006472692", "-0,0002582769"
"1442", "1,778274", "0,006439573", "-0,0001786646"
"1443", "1,584888", "0,006269005", "-0,0001518295"
"1444", "1,412533", "0,006596449", "-0,0002366277"
"1445", "1,258921", "0,006491705", "-0,00015777"
"1445", "1,122015", "0,006600481", "-0,0001744222"
"1447", "0,999997", "0,006423631", "-2,979457e-05"
"1448", "0,891248", "0,006553795", "-0,0001969668"
"1449", "0,794325", "0,006642314", "-2,930981e-05"
"1450", "0,707943", "0,006515547", "-0,0001271305"
"1452", "0,630955", "0,006668155", "3,592186e-06"
"1454", "0,562339", "0,006830605", "0,0001731379"
"1456", "0,501185", "0,006649892", "-0,0001837976"
"1458", "0,446682", "0,006829033", "-0,0001466854"
"1461", "0,398106", "0,006814186", "-0,0002484835"
"1464", "0,354812", "0,006601706", "-0,0003389296"
"1467", "0,316227", "0,006443216", "-0,0001667929"
"1471", "0,281837", "0,006620044", "-2,653975e-05"
"1475", "0,251188", "0,00664077", "-0,000105193"
"1479", "0,223871", "0,006518439", "-0,0002727661"
"1484", "0,199525", "0,006629907", "-0,0001983361"
"1490", "0,177827", "0,006332318", "-1,627481e-05"
"1496", "0,158489", "0,006397177", "-4,764966e-05"
"1503", "0,141253", "0,006480792", "-8,261526e-05"
"1511", "0,125892", "0,006550832", "0,000134638"
"1520", "0,112201", "0,006659451", "-0,0002022595"
"1530", "0,1", "0,006597726", "6,532352e-05"
