Experiment:, EIS
Start date:, ?ter? 8. listopadu 2022
Start time:, 16:15:57 +01:00
"Time (s)", "Frequency (Hz)", "Z' (Ohm)", "Z'' (Ohm)"
"1421", "100000", "0,0008918076", "-0,002334025"
"1421", "89125,09", "-0,001355225", "-0,02439013"
"1421", "79432,82", "-0,01900201", "0,02714948"
"1421", "70794,57", "-0,004134556", "0,0006287083"
"1422", "63095,73", "0,02730396", "-0,01679971"
"1422", "56234,13", "-0,001899165", "-0,01010043"
"1422", "50118,71", "-0,00933272", "-0,0228257"
"1422", "44668,35", "-0,008701394", "-0,005679273"
"1423", "39810,71", "0,004826982", "0,01280361"
"1423", "35481,33", "-0,0071691", "0,008838409"
"1423", "31622,77", "0,00163186", "-0,002060326"
"1423", "28183,82", "0,006976821", "0,003156348"
"1424", "25118,85", "0,003465986", "-0,0009553133"
"1424", "22387,2", "0,002385433", "-0,001086253"
"1424", "19952,61", "0,002260215", "0,0001414071"
"1424", "17782,79", "0,004371906", "-0,001410434"
"1425", "15848,92", "0,003989261", "-0,001915264"
"1425", "14125,37", "0,003811698", "-0,001113791"
"1425", "12589,25", "0,004052969", "0,0004228326"
"1425", "11220,18", "0,003649022", "-0,001247321"
"1426", "9999,993", "0,00386424", "0,0001943125"
"1426", "8912,503", "0,004359904", "-0,0006623694"
"1426", "7943,276", "0,004542643", "-0,0007400792"
"1426", "7079,452", "0,004477813", "-0,0007044786"
"1427", "6309,568", "0,004484698", "-0,0008170494"
"1427", "5623,409", "0,004752341", "-0,0008051623"
"1427", "5011,868", "0,004651545", "-0,000797551"
"1427", "4466,832", "0,004737827", "-0,0007605568"
"1428", "3981,068", "0,004674886", "-0,0009433704"
"1428", "3548,131", "0,004742397", "-0,0009260504"
"1428", "3162,275", "0,004869617", "-0,001019661"
"1428", "2818,38", "0,004885642", "-0,001135211"
"1429", "2511,884", "0,004974604", "-0,001202733"
"1429", "2238,719", "0,004990316", "-0,001310455"
"1429", "1995,26", "0,005152535", "-0,001244714"
"1429", "1778,277", "0,005095713", "-0,00149973"
"1430", "1584,891", "0,005203054", "-0,001581859"
"1430", "1412,536", "0,005268033", "-0,001699002"
"1430", "1258,924", "0,005382868", "-0,001837672"
"1430", "1122,017", "0,005453467", "-0,002013907"
"1431", "999,9988", "0,005430599", "-0,002257161"
"1431", "891,2498", "0,005729193", "-0,002308958"
"1431", "794,3272", "0,005848283", "-0,002461305"
"1431", "707,9448", "0,006038046", "-0,002755502"
"1431", "630,9565", "0,006239329", "-0,002942497"
"1431", "562,3405", "0,006440005", "-0,00312264"
"1432", "501,1865", "0,006593784", "-0,003346192"
"1432", "446,6829", "0,006983589", "-0,003536514"
"1432", "398,1066", "0,007186779", "-0,003685705"
"1432", "354,8128", "0,007598299", "-0,003946379"
"1432", "316,2273", "0,007923502", "-0,004132535"
"1432", "281,8378", "0,00835032", "-0,00427664"
"1433", "251,1882", "0,008738616", "-0,004432544"
"1433", "223,8717", "0,009161416", "-0,004532548"
"1433", "199,5259", "0,009649452", "-0,00463553"
"1433", "177,8276", "0,01004639", "-0,004711605"
"1433", "158,489", "0,01052113", "-0,004696665"
"1433", "141,2535", "0,01096191", "-0,004722459"
"1433", "125,8923", "0,01137899", "-0,004695883"
"1434", "112,2016", "0,01182444", "-0,004700444"
"1434", "99,9998", "0,01236628", "-0,004637014"
"1434", "89,12492", "0,01268541", "-0,004509015"
"1434", "79,43266", "0,01304578", "-0,004383302"
"1434", "70,79443", "0,01344689", "-0,00424882"
"1434", "63,0956", "0,01371532", "-0,004162784"
"1435", "56,23401", "0,01413119", "-0,004005174"
"1435", "50,11861", "0,01442022", "-0,003816343"
"1435", "44,66826", "0,01474282", "-0,003747723"
"1435", "39,81063", "0,01505531", "-0,003723758"
"1435", "35,48126", "0,01522633", "-0,003517351"
"1435", "31,6227", "0,0154983", "-0,003288123"
"1435", "28,18376", "0,01582524", "-0,003157515"
"1436", "25,11881", "0,01589967", "-0,003141257"
"1436", "22,38716", "0,01599641", "-0,002934815"
"1436", "19,95257", "0,01614778", "-0,002787869"
"1436", "17,78275", "0,01637411", "-0,00285172"
"1436", "15,84889", "0,01640156", "-0,002717333"
"1436", "14,12534", "0,01659955", "-0,002575183"
"1437", "12,58922", "0,0168484", "-0,002626484"
"1437", "11,22016", "0,01701359", "-0,002600543"
"1437", "9,999973", "0,0171059", "-0,002474327"
"1437", "8,912485", "0,0171996", "-0,002559857"
"1437", "7,943261", "0,01746053", "-0,002715653"
"1438", "7,079438", "0,01737547", "-0,002563522"
"1438", "6,309556", "0,01768663", "-0,002541664"
"1438", "5,623397", "0,01757676", "-0,002467394"
"1438", "5,011858", "0,01802301", "-0,002540567"
"1439", "4,466823", "0,01839719", "-0,002884814"
"1439", "3,98106", "0,01807854", "-0,002954463"
"1439", "3,548123", "0,01843675", "-0,002834736"
"1440", "3,162268", "0,01873534", "-0,002063099"
"1440", "2,818374", "0,01916375", "-0,00246755"
"1440", "2,511878", "0,01880438", "-0,002742111"
"1441", "2,238714", "0,01911051", "-0,002698333"
"1442", "1,995256", "0,01973785", "-0,002572982"
"1442", "1,778274", "0,02046481", "-0,002865566"
"1443", "1,584888", "0,02071397", "-0,003322116"
"1444", "1,412533", "0,02113129", "-0,003759993"
"1444", "1,258921", "0,02124431", "-0,003897427"
"1445", "1,122015", "0,02122078", "-0,00301951"
"1446", "0,999997", "0,02145874", "-0,002792387"
"1448", "0,891248", "0,02149423", "-0,004476721"
"1449", "0,794325", "0,02263423", "-0,003169494"
"1450", "0,707943", "0,02268166", "-0,003576795"
"1452", "0,630955", "0,02334082", "-0,003232947"
"1454", "0,562339", "0,02240687", "-0,004751377"
"1456", "0,501185", "0,02000263", "-0,003147772"
"1458", "0,446682", "0,02115528", "-0,005112917"
"1461", "0,398106", "0,0315022", "-0,01022388"
"1464", "0,354812", "0,0257639", "-0,002507916"
"1467", "0,316227", "0,02261941", "-0,003945732"
"1470", "0,281837", "0,02366566", "-0,002889946"
"1474", "0,251188", "0,02293649", "-0,0006407547"
"1479", "0,223871", "0,02108793", "0,0003269926"
"1484", "0,199525", "0,02303182", "-0,003511655"
"1490", "0,177827", "0,02642582", "-0,00319475"
"1496", "0,158489", "0,02723606", "0,0005647901"
"1503", "0,141253", "0,02815053", "0,001110212"
"1515", "0,125892", "-0,02320865", "0,01780794"
"1524", "0,112201", "0,02021796", "-0,01319712"
"1534", "0,1", "0,02460536", "-0,01447395"
