Experiment:, EIS
Start date:, p?tek 27. ledna 2023
Start time:, 12:41:49 +01:00
"Time (s)", "Frequency (Hz)", "Z' (Ohm)", "Z'' (Ohm)"
"76", "100000", "0,003445771", "-0,004399605"
"76", "79432,82", "0,00121688", "0,002690004"
"77", "63095,73", "0,003604154", "0,0009840508"
"77", "50118,72", "0,004496438", "0,001637547"
"77", "39810,71", "0,002747307", "0,0006180925"
"77", "31622,77", "0,003414869", "-0,0003174681"
"77", "25118,86", "0,003564795", "-0,0008775096"
"78", "19952,62", "0,003764894", "-0,001163007"
"78", "15848,93", "0,003936004", "-0,001309185"
"78", "12589,25", "0,004143458", "-0,001608264"
"78", "9999,997", "0,004377732", "-0,001853688"
"79", "7943,28", "0,004604671", "-0,00213977"
"79", "6309,571", "0,004865444", "-0,002464887"
"79", "5011,871", "0,005140612", "-0,002824984"
"79", "3981,07", "0,005441967", "-0,003238669"
"80", "3162,276", "0,005770277", "-0,003712135"
"80", "2511,885", "0,006149293", "-0,004273369"
"80", "1995,261", "0,006548347", "-0,004910587"
"80", "1584,892", "0,007010516", "-0,005679247"
"81", "1258,925", "0,007517815", "-0,006583112"
"81", "999,9994", "0,008122888", "-0,007668669"
"81", "794,3277", "0,008814275", "-0,008998158"
"81", "630,9569", "0,009680718", "-0,01059255"
"81", "501,1869", "0,01078315", "-0,01248242"
"82", "398,1069", "0,01217098", "-0,01481167"
"82", "316,2275", "0,01411891", "-0,01742754"
"82", "251,1884", "0,01671387", "-0,02038665"
"82", "199,5261", "0,02014556", "-0,02353895"
"82", "158,4892", "0,02469844", "-0,02657452"
"82", "125,8924", "0,03034568", "-0,02905781"
"83", "99,99991", "0,03715403", "-0,03062046"
"83", "79,43275", "0,04428578", "-0,03048215"
"83", "63,09567", "0,05136584", "-0,02893542"
"83", "50,11867", "0,05752432", "-0,02552183"
"83", "39,81068", "0,06270997", "-0,02178513"
"83", "31,62274", "0,06564899", "-0,01722789"
"83", "25,11884", "0,0675804", "-0,01268556"
"84", "19,9526", "0,06826391", "-0,008776597"
"84", "15,84891", "0,06875288", "-0,005559378"
"84", "12,58924", "0,0684229", "-0,002902952"
"84", "9,999988", "0,06693124", "-0,001213152"
"84", "7,943272", "0,06700843", "0,0007318119"
"85", "6,309565", "0,06570709", "0,001691999"
"85", "5,011866", "0,06491604", "0,003538035"
"85", "3,981066", "0,06499038", "0,003808384"
"86", "3,162273", "0,06414181", "0,003620159"
"86", "2,511883", "0,06278597", "0,003479169"
"86", "1,995259", "0,06125299", "0,003801848"
"87", "1,584891", "0,06029824", "0,00433529"
"88", "1,258924", "0,05973746", "0,005219061"
"89", "1", "0,0595964", "0,005768257"
