Experiment:, EIS
Start date:, pond?l? 30. ledna 2023
Start time:, 17:15:11 +01:00
"Time (s)", "Frequency (Hz)", "Z' (Ohm)", "Z'' (Ohm)"
"91", "100000", "0,00103904", "0,0003112478"
"91", "79432,82", "0,001622458", "0,0008713877"
"92", "63095,73", "0,002023898", "0,0003193155"
"92", "50118,72", "0,002321044", "0,0003690273"
"92", "39810,71", "0,00243728", "-2,678281e-05"
"92", "31622,77", "0,002744663", "-0,0002696571"
"93", "25118,86", "0,002947585", "-0,000467961"
"93", "19952,62", "0,003159507", "-0,0006702935"
"93", "15848,93", "0,003324645", "-0,0008241627"
"93", "12589,25", "0,003506599", "-0,0009890052"
"94", "9999,997", "0,003680068", "-0,001146504"
"94", "7943,28", "0,003868039", "-0,001300407"
"94", "6309,571", "0,004052974", "-0,001458523"
"94", "5011,871", "0,004251007", "-0,001628467"
"95", "3981,07", "0,00444797", "-0,001809536"
"95", "3162,276", "0,004655254", "-0,002015671"
"95", "2511,885", "0,004871529", "-0,002254911"
"95", "1995,261", "0,005093197", "-0,002540991"
"96", "1584,892", "0,005334953", "-0,002886892"
"96", "1258,925", "0,005552971", "-0,003259892"
"96", "999,9994", "0,005824711", "-0,003757659"
"96", "794,3277", "0,006143759", "-0,004392725"
"97", "630,9569", "0,006530679", "-0,005181462"
"97", "501,1869", "0,007032379", "-0,006146786"
"97", "398,1069", "0,007698483", "-0,007302907"
"97", "316,2275", "0,00860509", "-0,008665833"
"97", "251,1884", "0,009856074", "-0,01024829"
"97", "199,5261", "0,01155795", "-0,01195297"
"98", "158,4892", "0,01383055", "-0,01366003"
"98", "125,8924", "0,01676581", "-0,01515132"
"98", "99,99991", "0,02029407", "-0,01609235"
"98", "79,43275", "0,02420567", "-0,01619553"
"98", "63,09567", "0,02804193", "-0,0153162"
"98", "50,11867", "0,03138947", "-0,01360628"
"99", "39,81068", "0,03394014", "-0,01137531"
"99", "31,62274", "0,03568333", "-0,009063656"
"99", "25,11884", "0,03670935", "-0,006813063"
"99", "19,9526", "0,03724123", "-0,004866193"
"99", "15,84891", "0,03743288", "-0,003312799"
"100", "12,58924", "0,03729212", "-0,001985782"
"100", "9,999988", "0,03709054", "-0,000983831"
"100", "7,943272", "0,03690622", "-0,0003080803"
"100", "6,309565", "0,03648815", "0,0003091786"
"100", "5,011866", "0,03622326", "0,0007107337"
"101", "3,981066", "0,03619954", "0,0008816897"
"101", "3,162273", "0,03555814", "0,0009616265"
"101", "2,511883", "0,035285", "0,001029328"
"102", "1,995259", "0,03542658", "0,001341236"
"103", "1,584891", "0,03549363", "0,001425368"
"103", "1,258924", "0,03572545", "0,001471437"
"105", "1", "0,03599533", "0,00127239"
