Experiment:, EIS
Start date:, ?ter? 7. ?nora 2023
Start time:, 15:29:46 +01:00
"Time (s)", "Frequency (Hz)", "Z' (Ohm)", "Z'' (Ohm)"
"92", "100000", "0,001093695", "0,002901535"
"92", "79432,82", "0,00283389", "0,00177975"
"93", "63095,73", "0,003209302", "0,001354102"
"93", "50118,72", "0,003988013", "0,0003862879"
"93", "39810,71", "0,004771391", "-3,695678e-05"
"94", "31622,77", "0,005089263", "-0,0005484655"
"94", "25118,86", "0,005521606", "-0,0009544084"
"94", "19952,62", "0,005850169", "-0,001359012"
"94", "15848,93", "0,00621815", "-0,00166384"
"95", "12589,25", "0,006546421", "-0,00199738"
"95", "9999,997", "0,006897551", "-0,002279396"
"95", "7943,28", "0,007279391", "-0,002574305"
"96", "6309,571", "0,007657518", "-0,002848188"
"96", "5011,871", "0,008058753", "-0,003134617"
"96", "3981,07", "0,008475717", "-0,003436428"
"97", "3162,276", "-0,006691884", "-0,01927979"
"97", "2511,885", "0,004899655", "-0,005675605"
"97", "1995,261", "0,009796802", "-0,004605551"
"98", "1584,892", "0,01024509", "-0,004724015"
"98", "1258,925", "0,01070062", "-0,005382172"
"98", "999,9994", "0,0112762", "-0,006311889"
"98", "794,3277", "0,01178139", "-0,007328642"
"99", "630,9569", "0,01248223", "-0,008613676"
"99", "501,1869", "0,0132967", "-0,01015837"
"99", "398,1069", "0,01432703", "-0,01199437"
"99", "316,2275", "0,01564987", "-0,01413792"
"99", "251,1884", "0,01733065", "-0,01665008"
"100", "199,5261", "0,01951557", "-0,01952325"
"100", "158,4892", "0,02236144", "-0,02272667"
"100", "125,8924", "0,02609133", "-0,02617815"
"100", "99,99991", "0,03086832", "-0,02971036"
"100", "79,43275", "0,03670062", "-0,03285602"
"100", "63,09567", "0,04365769", "-0,03529964"
"101", "50,11867", "0,05145198", "-0,03653099"
"101", "39,81068", "0,05963239", "-0,03624304"
"101", "31,62274", "0,06741004", "-0,03443617"
"101", "25,11884", "0,07432607", "-0,03114494"
"101", "19,9526", "0,07983339", "-0,02719693"
"101", "15,84891", "0,08399993", "-0,02300994"
"102", "12,58924", "0,08688589", "-0,01861974"
"102", "9,999988", "0,08891444", "-0,01477042"
"102", "7,943272", "0,08979487", "-0,0123785"
"102", "6,309565", "0,09060477", "-0,009621373"
"102", "5,011866", "0,09130443", "-0,008005043"
"103", "3,981066", "0,09148718", "-0,007511307"
"103", "3,162273", "0,09217676", "-0,00689653"
"103", "2,511883", "0,09277566", "-0,00643637"
"104", "1,995259", "0,09349553", "-0,00600277"
"105", "1,584891", "0,09556163", "-0,00618653"
"106", "1,258924", "0,09862559", "-0,006954696"
"107", "1", "0,1018432", "-0,008454097"
