Experiment:, EIS
Start date:, ?tvrtek 9. ?nora 2023
Start time:, 16:45:01 +01:00
"Time (s)", "Frequency (Hz)", "Z' (Ohm)", "Z'' (Ohm)"
"271", "100000", "0,06164845", "0,006202783"
"271", "89125,09", "0,01857015", "-0,01437666"
"271", "79432,82", "0,001389538", "0,00168832"
"272", "70794,57", "-0,001494719", "0,001708916"
"272", "63095,73", "0,00982812", "0,002653446"
"272", "56234,13", "0,005201184", "0,00506579"
"272", "50118,71", "0,006829563", "0,002762506"
"273", "44668,35", "0,002456339", "-0,001896378"
"273", "39810,71", "0,002571431", "0,0008728889"
"273", "35481,33", "0,003676395", "-0,0004538103"
"273", "31622,77", "0,004595236", "-0,0005891086"
"274", "28183,82", "0,003968251", "-0,0004861332"
"274", "25118,85", "0,003900036", "-0,0005450998"
"274", "22387,2", "0,004715657", "-0,0005937163"
"274", "19952,61", "0,0042225", "-0,000295448"
"275", "17782,79", "0,004495246", "-0,0005026481"
"275", "15848,92", "0,004543401", "-0,0004506854"
"275", "14125,37", "0,004614349", "-0,0005163587"
"275", "12589,25", "0,004809605", "-0,000700744"
"276", "11220,18", "0,004872836", "-0,0005709477"
"276", "9999,993", "0,004860211", "-0,0006601388"
"276", "8912,503", "0,004998184", "-0,0007327232"
"276", "7943,276", "0,005030738", "-0,0007714476"
"277", "7079,452", "0,005081648", "-0,0008066554"
"277", "6309,568", "0,00511499", "-0,000840584"
"277", "5623,409", "0,005172784", "-0,0008842832"
"277", "5011,868", "0,005216812", "-0,0009226425"
"278", "4466,832", "0,005273363", "-0,0009682949"
"278", "3981,068", "0,005334288", "-0,001018992"
"278", "3548,131", "0,005384027", "-0,001076544"
"278", "3162,275", "0,00543965", "-0,001132017"
"279", "2818,38", "0,005500759", "-0,00119419"
"279", "2511,884", "0,005565997", "-0,001260676"
"279", "2238,719", "0,00563295", "-0,001333473"
"279", "1995,26", "0,005713026", "-0,001418451"
"280", "1778,277", "0,005785435", "-0,001495171"
"280", "1584,891", "0,005866649", "-0,001583451"
"280", "1412,536", "0,005960352", "-0,001675291"
"280", "1258,924", "0,00606087", "-0,001782478"
"281", "1122,017", "0,006164243", "-0,001890408"
"281", "999,9988", "0,006276445", "-0,001995264"
"281", "891,2498", "0,006410878", "-0,002122297"
"281", "794,3272", "0,006523142", "-0,002255233"
"281", "707,9448", "0,006677211", "-0,002381623"
"281", "630,9565", "0,006825032", "-0,002527586"
"281", "562,3405", "0,006996023", "-0,002676551"
"282", "501,1865", "0,007163384", "-0,002855458"
"282", "446,6829", "0,007370153", "-0,002993701"
"282", "398,1066", "0,007591544", "-0,003183183"
"282", "354,8128", "0,007804429", "-0,003340709"
"282", "316,2273", "0,008049576", "-0,003512989"
"282", "281,8378", "0,008320508", "-0,003694506"
"282", "251,1882", "0,00860349", "-0,003876731"
"283", "223,8717", "0,008902867", "-0,004068032"
"283", "199,5259", "0,009223582", "-0,004216337"
"283", "177,8276", "0,00959103", "-0,004426496"
"283", "158,489", "0,009983408", "-0,004586312"
"283", "141,2535", "0,01038701", "-0,004751734"
"283", "125,8923", "0,01082752", "-0,00489453"
"284", "112,2016", "0,01126182", "-0,005020129"
"284", "99,9998", "0,01171167", "-0,005178186"
"284", "89,12492", "0,01225185", "-0,005184202"
"284", "79,43266", "0,01278598", "-0,005211346"
"284", "70,79443", "0,01329733", "-0,005201614"
"284", "63,0956", "0,01382711", "-0,005179659"
"284", "56,23401", "0,01436479", "-0,005077709"
"285", "50,11861", "0,01487549", "-0,004955057"
"285", "44,66826", "0,01530487", "-0,004794015"
"285", "39,81063", "0,01578784", "-0,0045756"
"285", "35,48126", "0,01619078", "-0,004335475"
"285", "31,6227", "0,01660197", "-0,004079523"
"285", "28,18376", "0,01690501", "-0,003868181"
