Experiment:, EIS
Start date:, st?eda 22. ?nora 2023
Start time:, 14:34:32 +01:00
"Time (s)", "Frequency (Hz)", "Z' (Ohm)", "Z'' (Ohm)"
"742", "100000", "-0,001647113", "0,001529824"
"742", "89125,09", "-0,0006943246", "-0,001166955"
"742", "79432,82", "0,000244381", "-0,0003053143"
"743", "70794,57", "-0,0005533173", "0,002426166"
"743", "63095,73", "0,003986936", "-0,00403935"
"743", "56234,13", "0,003494324", "0,002562584"
"743", "50118,71", "-0,0001752614", "0,006209745"
"744", "44668,35", "-0,002321189", "0,004813966"
"744", "39810,71", "0,002483597", "-0,0006149813"
"744", "35481,33", "0,004073133", "0,0002419598"
"744", "31622,77", "0,00355763", "-0,0006186541"
"745", "28183,82", "0,0031598", "-0,0004104824"
"745", "25118,85", "0,003009544", "-0,0004325756"
"745", "22387,2", "0,003124783", "-0,0002891549"
"745", "19952,61", "0,003024428", "-0,0004517298"
"746", "17782,79", "0,003163445", "-0,0005511274"
"746", "15848,92", "0,003114531", "-0,0004693323"
"746", "14125,37", "0,003203201", "-0,000513884"
"746", "12589,25", "0,003246111", "-0,0004791753"
"747", "11220,18", "0,003312944", "-0,0005667634"
"747", "9999,993", "0,003376963", "-0,0006157054"
"747", "8912,503", "0,003413687", "-0,0006440799"
"747", "7943,276", "0,003454925", "-0,0006691226"
"748", "7079,452", "0,003496316", "-0,0007194909"
"748", "6309,568", "0,00355453", "-0,0007776224"
"748", "5623,409", "0,003596024", "-0,0008217093"
"748", "5011,868", "0,003659465", "-0,0008740596"
"749", "4466,832", "0,003688264", "-0,0009220761"
"749", "3981,068", "0,00375085", "-0,0009790123"
"749", "3548,131", "0,003809724", "-0,001052048"
"749", "3162,275", "0,003868228", "-0,001124272"
"750", "2818,38", "0,003925437", "-0,001204262"
"750", "2511,884", "0,003989578", "-0,001285468"
"750", "2238,719", "0,004059698", "-0,001364526"
"750", "1995,26", "0,00414642", "-0,001478574"
"751", "1778,277", "0,004220305", "-0,001559265"
"751", "1584,891", "0,004305578", "-0,001667718"
"751", "1412,536", "0,004395961", "-0,001780176"
"751", "1258,924", "0,004501348", "-0,001896683"
"752", "1122,017", "0,004598309", "-0,002019724"
"752", "999,9988", "0,0046931", "-0,002153735"
"752", "891,2498", "0,004816431", "-0,002293111"
"752", "794,3272", "0,004934199", "-0,002440173"
"752", "707,9448", "0,005056269", "-0,002606548"
"752", "630,9565", "0,005189979", "-0,002782687"
"753", "562,3405", "0,005329414", "-0,002973899"
"753", "501,1865", "0,005473345", "-0,003184698"
"753", "446,6829", "0,005640492", "-0,003391718"
"753", "398,1066", "0,005798306", "-0,003632463"
"753", "354,8128", "0,005991262", "-0,003894281"
"753", "316,2273", "0,006182652", "-0,004174496"
"753", "281,8378", "0,006389231", "-0,004479945"
"754", "251,1882", "0,006626137", "-0,004815805"
"754", "223,8717", "0,006885445", "-0,005179175"
"754", "199,5259", "0,007170715", "-0,005574756"
"754", "177,8276", "0,007509714", "-0,005991488"
"754", "158,489", "0,007871815", "-0,006443201"
"754", "141,2535", "0,008285099", "-0,00692339"
"754", "125,8923", "0,008754936", "-0,007418612"
"755", "112,2016", "0,009291947", "-0,007919251"
"755", "99,9998", "0,009908156", "-0,008419255"
"755", "89,12492", "0,0105837", "-0,008922431"
"755", "79,43266", "0,01135709", "-0,009405867"
"755", "70,79443", "0,01218104", "-0,009826194"
"755", "63,0956", "0,01305728", "-0,01020752"
"756", "56,23401", "0,0140324", "-0,01051906"
"756", "50,11861", "0,01504355", "-0,01076266"
"756", "44,66826", "0,01609777", "-0,01088994"
"756", "39,81063", "0,017139", "-0,01095869"
"756", "35,48126", "0,01823945", "-0,01088426"
"756", "31,6227", "0,01917039", "-0,01086113"
"757", "28,18376", "0,02019997", "-0,01065443"
"757", "25,11881", "0,02116045", "-0,010337"
"757", "22,38716", "0,02203375", "-0,01005283"
"757", "19,95257", "0,02294835", "-0,009543995"
"757", "17,78275", "0,02366749", "-0,008966289"
"757", "15,84889", "0,0243313", "-0,008550538"
"758", "14,12534", "0,02492786", "-0,008094017"
"758", "12,58922", "0,02547963", "-0,007562624"
"758", "11,22016", "0,02603095", "-0,007166433"
"758", "9,999973", "0,0264616", "-0,00672678"
"758", "8,912485", "0,02689921", "-0,006331162"
"758", "7,943261", "0,02723449", "-0,005849909"
"759", "7,079438", "0,02760371", "-0,005545896"
"759", "6,309556", "0,02787308", "-0,005199868"
"759", "5,623397", "0,02813327", "-0,004856148"
"759", "5,011858", "0,02844425", "-0,004532217"
"760", "4,466823", "0,02871489", "-0,004299167"
"760", "3,98106", "0,02878927", "-0,003986163"
"760", "3,548123", "0,02901669", "-0,003790961"
"761", "3,162268", "0,02922573", "-0,0035842"
"761", "2,818374", "0,02950352", "-0,003363966"
"762", "2,511878", "0,0296027", "-0,003139638"
"762", "2,238714", "0,02966502", "-0,003072894"
"763", "1,995256", "0,02976691", "-0,002824359"
"763", "1,778274", "0,03009726", "-0,00286526"
"764", "1,584888", "0,03036794", "-0,00281607"
"765", "1,412533", "0,03055318", "-0,002744139"
"765", "1,258921", "0,03073462", "-0,002658715"
"766", "1,122015", "0,03089134", "-0,002514496"
"767", "0,999997", "0,03108479", "-0,00241091"
"769", "0,891248", "0,03113148", "-0,00263176"
"770", "0,794325", "0,03133802", "-0,002279463"
"771", "0,707943", "0,03147658", "-0,002171708"
"773", "0,630955", "0,03156768", "-0,002048634"
"775", "0,562339", "0,03164604", "-0,001958621"
"777", "0,501185", "0,0316797", "-0,001815764"
"779", "0,446682", "0,03172502", "-0,001678859"
"782", "0,398106", "0,03109171", "-0,001545303"
"785", "0,354812", "0,03234451", "-0,00118658"
"788", "0,316227", "0,03274342", "-0,0008274603"
"791", "0,281837", "0,03331932", "-0,0006596558"
"796", "0,251188", "0,0345296", "5,335072e-05"
"800", "0,223871", "0,0348141", "0,0004934646"
"805", "0,199525", "0,03498023", "0,001007966"
