Experiment:, EIS
Start date:, ?tvrtek 2. b?ezna 2023
Start time:, 13:08:54 +01:00
"Time (s)", "Frequency (Hz)", "Z' (Ohm)", "Z'' (Ohm)"
"107", "100000", "0,007645746", "0,004528387"
"107", "79432,82", "0,03443897", "-0,001394896"
"108", "63095,73", "0,1132867", "-0,010409"
"108", "50118,72", "-0,01050974", "0,002174396"
"108", "39810,71", "-0,03829593", "-0,0120161"
"109", "31622,77", "0,1255211", "0,004136143"
"109", "25118,86", "0,05254073", "-0,02190922"
"109", "19952,62", "-0,006522881", "0,01009313"
"109", "15848,93", "0,06242174", "0,03439336"
"110", "12589,25", "0,003044484", "0,007826763"
"110", "9999,997", "0,05642982", "0,00803367"
"110", "7943,28", "0,01965056", "-0,001188456"
"111", "6309,571", "0,0150055", "0,001058029"
"111", "5011,871", "0,01731752", "-0,02158644"
"111", "3981,07", "0,01527281", "-0,005770014"
"111", "3162,276", "0,01554401", "-0,006816435"
"112", "2511,885", "0,01518581", "-0,006033341"
"112", "1995,261", "0,01656045", "-0,005660178"
"112", "1584,892", "0,0170807", "-0,006259393"
"113", "1258,925", "0,01896568", "-0,007174476"
"113", "999,9994", "0,02065044", "-0,007898531"
"113", "794,3277", "0,02191264", "-0,008405982"
"113", "630,9569", "0,02286231", "-0,008627099"
"114", "501,1869", "0,0238166", "-0,009869061"
"114", "398,1069", "0,02510034", "-0,01098036"
"114", "316,2275", "0,02633274", "-0,01111369"
"114", "251,1884", "0,02837874", "-0,01271846"
"114", "199,5261", "0,03041697", "-0,01358904"
"114", "158,4892", "0,03372091", "-0,01269229"
"115", "125,8924", "0,03212792", "-0,01105757"
"115", "99,99991", "0,03528684", "-0,01261951"
"115", "79,43275", "0,03824427", "-0,01379134"
"115", "63,09567", "0,04185382", "-0,01262576"
"115", "50,11867", "0,0442877", "-0,01343434"
"115", "39,81068", "0,04235459", "-0,0109806"
"116", "31,62274", "0,04728894", "-0,01034195"
"116", "25,11884", "0,04447811", "-0,005716647"
"116", "19,9526", "0,04650375", "-0,009651651"
"116", "15,84891", "0,05113694", "-0,006431177"
"116", "12,58924", "0,05077983", "-0,005993033"
"116", "9,999988", "0,05429135", "0,001467017"
"117", "7,943272", "0,05468969", "0,00142362"
"117", "6,309565", "0,05221959", "-0,006974424"
"117", "5,011866", "0,05214684", "-0,003297997"
"117", "3,981066", "0,0521566", "-0,004360531"
"118", "3,162273", "0,05493622", "-0,002511558"
"118", "2,511883", "0,0526049", "-0,001311466"
"119", "1,995259", "0,05278292", "-0,0009780893"
"120", "1,584891", "0,06035025", "-0,003302253"
"123", "1,258924", "0,05381329", "-0,002593399"
"124", "1", "0,05418318", "-0,002499978"
