Experiment:, EIS
Start date:, ?ter? 28. b?ezna 2023
Start time:, 15:10:06 +02:00
"Time (s)", "Frequency (Hz)", "Z' (Ohm)", "Z'' (Ohm)"
"911", "100000", "0,002883705", "0,004985012"
"911", "89125,09", "0,004811574", "0,004406303"
"911", "79432,82", "0,003239742", "-0,001438611"
"912", "70794,57", "0,003800937", "0,0001975539"
"912", "63095,73", "0,007466558", "-0,00103593"
"912", "56234,13", "0,00341462", "0,001181689"
"912", "50118,71", "0,01259761", "0,002406021"
"913", "44668,35", "-0,01002264", "9,755461e-05"
"913", "39810,71", "0,004837754", "-0,000173412"
"913", "35481,33", "0,00395562", "0,0004815439"
"913", "31622,77", "0,004127004", "-0,0002956071"
"914", "28183,82", "0,003779426", "4,536827e-05"
"914", "25118,85", "0,004195089", "-0,0003152426"
"914", "22387,2", "0,004256333", "-1,679705e-05"
"914", "19952,61", "0,004750601", "-0,0005343294"
"915", "17782,79", "0,004888942", "-0,0006456804"
"915", "15848,92", "0,004909652", "-0,0008925008"
"915", "14125,37", "0,00502314", "-0,0008769821"
"915", "12589,25", "0,005184053", "-0,0008879749"
"916", "11220,18", "0,005397645", "-0,0008897136"
"916", "9999,993", "0,005539303", "-0,001025488"
"916", "8912,503", "0,005610676", "-0,001041975"
"916", "7943,276", "0,005679703", "-0,001085465"
"917", "7079,452", "0,005745981", "-0,001080459"
"917", "6309,568", "0,005818788", "-0,00116994"
"917", "5623,409", "0,005862471", "-0,001183632"
"917", "5011,868", "0,00591909", "-0,001224919"
"918", "4466,832", "0,005964494", "-0,00125234"
"918", "3981,068", "0,006014546", "-0,001293593"
"918", "3548,131", "0,006065635", "-0,001336995"
"918", "3162,275", "0,006131816", "-0,001374554"
"919", "2818,38", "0,00619529", "-0,001414962"
"919", "2511,884", "0,006268519", "-0,001457995"
"919", "2238,719", "0,006342046", "-0,001503674"
"919", "1995,26", "0,006400498", "-0,001552553"
"920", "1778,277", "0,006505411", "-0,001611736"
"920", "1584,891", "0,006602216", "-0,001665614"
"920", "1412,536", "0,006693649", "-0,001735307"
"920", "1258,924", "0,006808285", "-0,001794428"
"921", "1122,017", "0,006928234", "-0,001855794"
"921", "999,9988", "0,007016482", "-0,001937224"
"921", "891,2498", "0,007211836", "-0,002001788"
"921", "794,3272", "0,007370067", "-0,002064778"
"921", "707,9448", "0,007526134", "-0,002113977"
"922", "630,9565", "0,007710434", "-0,002170229"
"922", "562,3405", "0,007905554", "-0,002228004"
"922", "501,1865", "0,008203199", "-0,00228085"
"922", "446,6829", "0,008310969", "-0,002290463"
"922", "398,1066", "0,008541176", "-0,002388443"
"922", "354,8128", "0,008730312", "-0,002309184"
"922", "316,2273", "0,008959549", "-0,002290931"
"922", "281,8378", "0,009159409", "-0,002255565"
"923", "251,1882", "0,009365545", "-0,002205336"
"923", "223,8717", "0,009571208", "-0,002133603"
"923", "199,5259", "0,009828582", "-0,002049325"
"923", "177,8276", "0,00995112", "-0,001980815"
"923", "158,489", "0,01009829", "-0,001884708"
