Experiment:, EIS
Start date:, p?tek 31. b?ezna 2023
Start time:, 17:39:10 +02:00
"Time (s)", "Frequency (Hz)", "Z' (Ohm)", "Z'' (Ohm)"
"643", "100000", "0,005017715", "0,01560854"
"643", "89125,09", "-0,002871208", "-0,003879467"
"643", "79432,82", "0,0002194156", "0,002122693"
"644", "70794,57", "0,0002118266", "-0,0004605844"
"644", "63095,73", "0,00600348", "0,0004753841"
"644", "56234,13", "-0,001125644", "0,001225713"
"644", "50118,71", "0,004975414", "0,003542563"
"645", "44668,35", "0,003025387", "-0,0001920403"
"645", "39810,71", "0,0001554315", "-9,193336e-05"
"645", "35481,33", "0,001803519", "-0,0007129048"
"645", "31622,77", "0,002489551", "-4,154491e-05"
"646", "28183,82", "0,002801156", "-0,0008162566"
"646", "25118,85", "0,0021693", "-0,0003993376"
"646", "22387,2", "0,001869153", "-0,000793912"
"646", "19952,61", "0,002386614", "-0,0003851842"
"647", "17782,79", "0,002357492", "-0,0005836562"
"647", "15848,92", "0,002395478", "-0,000495391"
"647", "14125,37", "0,002496968", "-0,0006287614"
"647", "12589,25", "0,002481919", "-0,000697412"
"648", "11220,18", "0,002566266", "-0,0007535466"
"648", "9999,993", "0,002607826", "-0,0007929924"
"648", "8912,503", "0,002683681", "-0,0008167187"
"648", "7943,276", "0,002745913", "-0,0008691095"
"649", "7079,452", "0,002797372", "-0,0009324687"
"649", "6309,568", "0,002834415", "-0,001004001"
"649", "5623,409", "0,002898683", "-0,001053248"
"649", "5011,868", "0,002962535", "-0,001126712"
"650", "4466,832", "0,003018934", "-0,001206913"
"650", "3981,068", "0,003082722", "-0,001296131"
"650", "3548,131", "0,003147979", "-0,001384534"
"650", "3162,275", "0,003216175", "-0,001484635"
"651", "2818,38", "0,003291584", "-0,001596912"
"651", "2511,884", "0,003364109", "-0,001712804"
"651", "2238,719", "0,003446103", "-0,001850626"
"651", "1995,26", "0,003521246", "-0,001989089"
"651", "1778,277", "0,003636986", "-0,002144008"
"652", "1584,891", "0,003744648", "-0,002316992"
"652", "1412,536", "0,0038742", "-0,002497655"
"652", "1258,924", "0,004000423", "-0,002703988"
"652", "1122,017", "0,004153898", "-0,002916618"
"653", "999,9988", "0,004323449", "-0,003099831"
"653", "891,2498", "0,004504319", "-0,003394517"
"653", "794,3272", "0,004726765", "-0,003627617"
"653", "707,9448", "0,004983658", "-0,003924509"
"653", "630,9565", "0,005271999", "-0,004197489"
"653", "562,3405", "0,005586978", "-0,004489875"
"654", "501,1865", "0,005923557", "-0,004726809"
"654", "446,6829", "0,006376031", "-0,005069785"
"654", "398,1066", "0,006935269", "-0,00535843"
"654", "354,8128", "0,007345526", "-0,00560529"
"654", "316,2273", "0,00790981", "-0,005820786"
"654", "281,8378", "0,00849028", "-0,006013495"
"655", "251,1882", "0,009120446", "-0,006167936"
"655", "223,8717", "0,009781969", "-0,006252316"
"655", "199,5259", "0,01041653", "-0,006229024"
"655", "177,8276", "0,01108613", "-0,00622546"
"655", "158,489", "0,01176126", "-0,006131473"
"655", "141,2535", "0,01237085", "-0,005960628"
"655", "125,8923", "0,01296947", "-0,005795283"
"656", "112,2016", "0,01353112", "-0,00552897"
"656", "99,9998", "0,01407633", "-0,005267253"
"656", "89,12492", "0,01453897", "-0,004911607"
"656", "79,43266", "0,01491455", "-0,004620548"
"656", "70,79443", "0,01525811", "-0,004267505"
"656", "63,0956", "0,01555032", "-0,003931037"
"657", "56,23401", "0,01589816", "-0,003627567"
"657", "50,11861", "0,0160572", "-0,003374849"
"657", "44,66826", "0,01624166", "-0,002998775"
"657", "39,81063", "0,01646082", "-0,002559858"
"657", "35,48126", "0,01656192", "-0,002456688"
"657", "31,6227", "0,01667006", "-0,002211436"
"658", "28,18376", "0,01682205", "-0,001899812"
"658", "25,11881", "0,01685367", "-0,001747643"
"658", "22,38716", "0,01697094", "-0,001587077"
"658", "19,95257", "0,01712088", "-0,001549898"
"658", "17,78275", "0,01692066", "-0,001461397"
"658", "15,84889", "0,01698329", "-0,001276882"
"658", "14,12534", "0,0171792", "-0,00103236"
"659", "12,58922", "0,01705496", "-0,001020311"
"659", "11,22016", "0,01705804", "-0,0008754635"
"659", "9,999973", "0,01718597", "-0,0008817132"
"659", "8,912485", "0,01692898", "-0,0006728586"
"659", "7,943261", "0,01723467", "-0,0005122715"
"660", "7,079438", "0,01710941", "-0,0006814204"
"660", "6,309556", "0,01709471", "-0,0007178278"
"660", "5,623397", "0,0171873", "-0,0005631504"
"660", "5,011858", "0,01711563", "-0,0005565739"
"661", "4,466823", "0,01704435", "-0,0003973851"
"661", "3,98106", "0,01706577", "-0,0007453765"
"661", "3,548123", "0,01714601", "-0,0003497533"
"662", "3,162268", "0,01722628", "-0,0004849397"
"662", "2,818374", "0,01725848", "-0,0005112279"
"662", "2,511878", "0,01727144", "-0,0004447839"
"663", "2,238714", "0,01732732", "-0,0004520745"
"664", "1,995256", "0,01742749", "-0,0005072143"
"664", "1,778274", "0,01745439", "-0,000434376"
"665", "1,584888", "0,01728073", "-5,524407e-05"
"666", "1,412533", "0,01753462", "-0,0003185197"
"666", "1,258921", "0,01757511", "-0,0003369445"
"667", "1,122015", "0,01764491", "-0,0004217747"
"668", "0,999997", "0,01755202", "-0,0005927262"
"670", "0,891248", "0,01757694", "-0,0006894664"
"671", "0,794325", "0,01761744", "-0,0004527374"
"672", "0,707943", "0,0177339", "-0,0004436912"
"674", "0,630955", "0,01733137", "-0,0009155141"
"676", "0,562339", "0,01768068", "-0,0003537738"
"678", "0,501185", "0,01768717", "-0,000323368"
"680", "0,446682", "0,01784315", "-0,0003014624"
"683", "0,398106", "0,01800278", "-0,0007420761"
"686", "0,354812", "0,01778975", "-0,0007594488"
"689", "0,316227", "0,01801261", "-0,0004540602"
"692", "0,281837", "0,01809497", "-0,0007282969"
"697", "0,251188", "0,01800127", "-0,0006467976"
"701", "0,223871", "0,01799002", "-0,0003590792"
"706", "0,199525", "0,01807208", "-0,000572141"
"712", "0,177827", "0,01807824", "-0,0008513077"
"718", "0,158489", "0,01837454", "-0,0006761846"
"725", "0,141253", "0,01818238", "-0,0001472224"
"733", "0,125892", "0,01032822", "0,005168662"
"742", "0,112201", "0,01716235", "-0,001156374"
"752", "0,1", "0,01679266", "-0,0008436257"
