Experiment:, EIS
Start date:, st?eda 12. dubna 2023
Start time:, 13:31:36 +02:00
"Time (s)", "Frequency (Hz)", "Z' (Ohm)", "Z'' (Ohm)", "Voltage (V)"
"676", "100000", "-0,1371993", "-0,0291794", "0,1108117"
"677", "79432,82", "0,1399533", "0,08329371", "0,1059814"
"677", "63095,73", "-0,00672459", "0,08411299", "0,1059814"
"677", "50118,72", "-0,137142", "-0,1530755", "0,1059814"
"677", "39810,71", "0,1915649", "0,1731599", "0,1059814"
"678", "31622,77", "0,2757663", "0,1164403", "0,1084755"
"678", "25118,86", "-1,113154", "-0,7153805", "0,1084755"
"678", "19952,62", "0,1010406", "0,3708242", "0,1084755"
"678", "15848,93", "0,2285139", "0,4589145", "0,1084755"
"679", "12589,25", "-0,02798605", "-0,3077316", "0,1229978"
"679", "9999,997", "0,4953372", "0,02691372", "0,1229978"
"679", "7943,28", "0,259199", "-0,004720473", "0,1229978"
"680", "6309,571", "0,411352", "-0,1415117", "0,03316458"
"680", "5011,871", "0,3044205", "-0,1177289", "0,03316458"
"681", "3981,07", "0,3686817", "-0,06411632", "0,1104013"
"681", "3162,276", "0,4202682", "-0,06619778", "0,1104013"
"681", "2511,885", "0,438839", "-0,07974191", "0,1104013"
"682", "1995,261", "0,4482504", "-0,09559773", "0,1116167"
"682", "1584,892", "0,4570791", "-0,1076055", "0,1116167"
"682", "1258,925", "0,4787891", "-0,1245284", "0,1116167"
"682", "999,9994", "0,4986281", "-0,1457447", "0,1116167"
"682", "794,3277", "0,5097433", "-0,1675641", "0,1116167"
"683", "630,9569", "0,5220022", "-0,1866809", "0,1101961"
"683", "501,1869", "0,5355749", "-0,2141316", "0,1101961"
"683", "398,1069", "0,5462105", "-0,2510437", "0,1101961"
"683", "316,2275", "0,5734178", "-0,2933553", "0,1101961"
"683", "251,1884", "0,594285", "-0,3273634", "0,1101961"
"683", "199,5261", "0,6257845", "-0,392969", "0,1101961"
"684", "158,4892", "0,4976043", "0,01931735", "0,1017037"
"684", "125,8924", "0,6615549", "-0,592984", "0,1017037"
"684", "99,99991", "0,7250431", "-0,8204803", "0,1017037"
"684", "79,43275", "0,451398", "0,039732", "0,1017037"
"685", "63,09567", "0,8044436", "-0,9845296", "0,1090438"
"685", "50,11867", "0,4260203", "0,02679", "0,1090438"
"685", "39,81068", "0,4231877", "0,0226435", "0,1090438"
"685", "31,62274", "0,41056", "0,01755906", "0,1090438"
"686", "25,11884", "0,4069636", "0,009575661", "0,1080019"
"686", "19,9526", "0,3995125", "8,48299e-05", "0,1080019"
"686", "15,84891", "0,3958622", "-0,005447107", "0,1080019"
"686", "12,58924", "0,3988861", "-0,01673428", "0,1080019"
"686", "9,999988", "0,3967851", "-0,03261853", "0,1080019"
"687", "7,943272", "0,3996405", "-0,04204741", "0,134884"
"687", "6,309565", "0,4080425", "-0,05693198", "0,134884"
"687", "5,011866", "0,4219413", "-0,06959288", "0,134884"
"688", "3,981066", "5,976427", "0,5576052", "0,105792"
"689", "3,162273", "0,4554176", "-0,107289", "0,1097067"
"689", "2,511883", "0,4753503", "-0,1187173", "0,1097067"
"690", "1,995259", "3,103557", "1,603199", "0,1123586"
"691", "1,584891", "3,496535", "1,169191", "0,1081598"
"692", "1,258924", "3,232012", "1,129483", "0,1109696"
"693", "0,999998", "3,240725", "1,110004", "0,1087596"
"694", "0,794327", "3,080609", "0,891527", "0,1047818"
"696", "0,630956", "3,074864", "0,6612436", "0,1075126"
"698", "0,501186", "3,064451", "0,5441254", "0,1064076"
"700", "0,398106", "2,79837", "0,4983745", "0,1109853"
"704", "0,316227", "2,861425", "0,6255722", "0,1128953"
"708", "0,251188", "2,845952", "0,5988203", "0,1120429"
"713", "0,199526", "2,518165", "0,1681096", "0,1166522"
"719", "0,158489", "2,354395", "0,3066389", "0,1167785"
"727", "0,125892", "2,276767", "0,4479941", "0,1167153"
"737", "0,1", "2,276885", "0,3927905", "0,1172678"
