Experiment:, EIS
Start date:, ?ter? 25. dubna 2023
Start time:, 14:09:08 +02:00
"Time (s)", "Frequency (Hz)", "Z' (Ohm)", "Z'' (Ohm)"
"737", "100000", "0,001697402", "-0,01708001"
"737", "89125,09", "-0,0009260284", "-0,00461402"
"737", "79432,82", "0,001933623", "0,005358316"
"738", "70794,57", "-0,001682459", "0,005305117"
"738", "63095,73", "0,003002453", "-6,396799e-05"
"738", "56234,13", "-0,001566588", "0,002374391"
"738", "50118,71", "0,0004417738", "0,004399186"
"739", "44668,35", "-0,001959898", "0,001944372"
"739", "39810,71", "-2,418985e-05", "0,001194945"
"739", "35481,33", "0,002609053", "0,0006145118"
"739", "31622,77", "0,002142794", "0,0004292003"
"740", "28183,82", "0,002281133", "-8,193764e-05"
"740", "25118,85", "0,002687773", "-0,0002037055"
"740", "22387,2", "0,002637313", "-0,0002729901"
"740", "19952,61", "0,002484839", "-0,0001873781"
"741", "17782,79", "0,002451354", "-0,0001560787"
"741", "15848,92", "0,002808723", "-0,0001320555"
"741", "14125,37", "0,002439362", "-5,469999e-05"
"741", "12589,25", "0,002659264", "-0,0003500154"
"742", "11220,18", "0,002615973", "-0,0002422105"
"742", "9999,993", "0,002659171", "-0,000195768"
"742", "8912,503", "0,002715702", "-0,0002757077"
"742", "7943,276", "0,002732991", "-0,0003080924"
"743", "7079,452", "0,002761291", "-0,0003312355"
"743", "6309,568", "0,002798253", "-0,0003567616"
"743", "5623,409", "0,002822652", "-0,0003556931"
"743", "5011,868", "0,002842221", "-0,0003716623"
"744", "4466,832", "0,002864665", "-0,0003850395"
"744", "3981,068", "0,002894855", "-0,0004013273"
"744", "3548,131", "0,002910512", "-0,0004289096"
"744", "3162,275", "0,002925477", "-0,0004486149"
"745", "2818,38", "0,002943319", "-0,0004808457"
"745", "2511,884", "0,002955611", "-0,0005137447"
"745", "2238,719", "0,002974843", "-0,0005502556"
"745", "1995,26", "0,00300712", "-0,0005872151"
"746", "1778,277", "0,003006802", "-0,0006427075"
