Experiment:, EIS
Start date:, p?tek 28. dubna 2023
Start time:, 11:47:49 +02:00
"Time (s)", "Frequency (Hz)", "Z' (Ohm)", "Z'' (Ohm)"
"1191", "100000", "0,03473", "-0,01172582"
"1191", "89125,09", "-0,006714961", "0,01120195"
"1191", "79432,82", "-0,004516785", "0,0001945081"
"1191", "70794,57", "0,0005292969", "-6,023759e-06"
"1192", "63095,73", "-0,001075242", "-0,005221681"
"1192", "56234,13", "0,008960948", "0,0114515"
"1192", "50118,71", "0,03289579", "0,02283365"
"1192", "44668,35", "0,07071756", "-0,05362555"
"1193", "39810,71", "0,001544618", "-0,00332056"
"1193", "35481,33", "0,003962515", "-0,005769812"
"1193", "31622,77", "-0,0003757701", "-0,00390726"
"1193", "28183,82", "0,002306163", "0,002704103"
"1194", "25118,85", "0,001633205", "-0,001063289"
"1194", "22387,2", "-0,001099906", "-0,001073232"
"1194", "19952,61", "0,00137463", "-0,001343047"
"1194", "17782,79", "0,001714105", "-0,001853252"
"1195", "15848,92", "0,004257484", "-0,001217186"
"1195", "14125,37", "0,003899534", "0,0006493424"
"1195", "12589,25", "0,002581187", "-0,0006806523"
"1195", "11220,18", "0,002644397", "-0,0008443997"
"1196", "9999,993", "0,003441046", "-0,0009326853"
"1196", "8912,503", "0,002450874", "-0,0004486298"
"1196", "7943,276", "0,002553552", "-0,0007185329"
"1196", "7079,452", "0,002612433", "-0,0003936554"
"1197", "6309,568", "0,002657441", "-0,000331633"
"1197", "5623,409", "0,002669756", "-0,0003792176"
"1197", "5011,868", "0,002824266", "-0,0002679178"
"1197", "4466,832", "0,002880439", "-0,000428837"
"1198", "3981,068", "0,002792634", "-0,0004619294"
"1198", "3548,131", "0,002869269", "-0,000430412"
"1198", "3162,275", "0,002908475", "-0,0004882372"
"1198", "2818,38", "0,002985603", "-0,000528873"
"1199", "2511,884", "0,002967393", "-0,0005913558"
"1199", "2238,719", "0,002961454", "-0,000621178"
"1199", "1995,26", "0,002926129", "-0,000628042"
"1199", "1778,277", "0,00302007", "-0,0006641175"
"1200", "1584,891", "0,003083359", "-0,0007544605"
"1200", "1412,536", "0,003073248", "-0,0007329848"
"1200", "1258,924", "0,003171374", "-0,0008297499"
"1200", "1122,017", "0,003249966", "-0,0008885579"
"1201", "999,9988", "0,003189119", "-0,001050531"
"1201", "891,2498", "0,003390928", "-0,001020313"
"1201", "794,3272", "0,00343003", "-0,001111398"
"1201", "707,9448", "0,003557355", "-0,001155822"
"1201", "630,9565", "0,003671157", "-0,001153193"
"1201", "562,3405", "0,003774338", "-0,001192935"
"1202", "501,1865", "0,003931066", "-0,001352788"
"1202", "446,6829", "0,004062222", "-0,001287633"
"1202", "398,1066", "0,00418028", "-0,001193994"
"1202", "354,8128", "0,00431965", "-0,001318748"
"1202", "316,2273", "0,004455305", "-0,001280822"
"1202", "281,8378", "0,00457878", "-0,001280293"
"1203", "251,1882", "0,004744163", "-0,001251605"
"1203", "223,8717", "0,004821696", "-0,001201645"
"1203", "199,5259", "0,004905517", "-0,001086076"
"1203", "177,8276", "0,005063783", "-0,001092915"
"1203", "158,489", "0,005165274", "-0,001023411"
"1203", "141,2535", "0,005257986", "-0,0009505274"
"1203", "125,8923", "0,005322154", "-0,0008980089"
"1204", "112,2016", "0,005394551", "-0,0008401236"
"1204", "99,9998", "0,005544018", "-0,0008504973"
"1204", "89,12492", "0,005512142", "-0,0006971679"
"1204", "79,43266", "0,005530894", "-0,0006057888"
"1204", "70,79443", "0,005573915", "-0,0005808008"
"1204", "63,0956", "0,005564197", "-0,0005457363"
"1205", "56,23401", "0,005591368", "-0,0005037917"
"1205", "50,11861", "0,005673819", "-0,0004192393"
"1205", "44,66826", "0,005650876", "-0,0003895017"
"1205", "39,81063", "0,005736288", "-0,0002877582"
"1205", "35,48126", "0,005648882", "-0,0003017227"
"1205", "31,6227", "0,005711956", "-0,0001769329"
"1206", "28,18376", "0,005698454", "-0,0002780172"
"1206", "25,11881", "0,005713832", "-0,0002840052"
"1206", "22,38716", "0,005684467", "-0,0001846498"
"1206", "19,95257", "0,005675909", "-0,0001773332"
"1206", "17,78275", "0,005725831", "-0,0001572819"
"1206", "15,84889", "0,005630165", "-0,000100117"
"1206", "14,12534", "0,005601168", "-7,739112e-05"
"1207", "12,58922", "0,005763537", "-2,957893e-05"
"1207", "11,22016", "0,005725162", "-0,0001233944"
"1207", "9,999973", "0,005708641", "-9,193629e-05"
"1207", "8,912485", "0,005677179", "-4,543352e-05"
"1207", "7,943261", "0,005668167", "-7,312252e-05"
"1208", "7,079438", "0,005697395", "-4,529779e-05"
"1208", "6,309556", "0,005709319", "-2,614347e-05"
"1208", "5,623397", "0,005743321", "-7,041296e-05"
"1208", "5,011858", "0,005698944", "-0,0001328469"
"1209", "4,466823", "0,005684259", "-5,611803e-06"
"1209", "3,98106", "0,005649001", "-3,489704e-05"
"1209", "3,548123", "0,005674625", "-9,858673e-05"
"1210", "3,162268", "0,005648343", "-4,136963e-05"
"1210", "2,818374", "0,005765947", "-9,70283e-05"
"1210", "2,511878", "0,005704714", "-2,633915e-05"
"1211", "2,238714", "0,005678151", "-7,599873e-05"
"1212", "1,995256", "0,00570478", "-8,545809e-05"
"1212", "1,778274", "0,005732185", "-5,874385e-05"
"1213", "1,584888", "0,005765421", "-0,0001019759"
"1214", "1,412533", "0,00573309", "-9,879706e-05"
"1214", "1,258921", "0,00568734", "-9,704049e-05"
"1215", "1,122015", "0,005734019", "-0,000100586"
"1216", "0,999997", "0,005775757", "-6,295453e-05"
"1218", "0,891248", "0,005769088", "-6,268098e-05"
"1219", "0,794325", "0,005691481", "-0,0001888415"
"1220", "0,707943", "0,005825759", "-0,0001619623"
"1222", "0,630955", "0,005793614", "-0,0001036649"
"1224", "0,562339", "0,005650795", "-4,95949e-05"
"1226", "0,501185", "0,005814714", "-8,378432e-05"
"1228", "0,446682", "0,005635019", "6,932042e-05"
"1231", "0,398106", "0,005833997", "-7,04566e-05"
"1234", "0,354812", "0,005762115", "-7,11058e-05"
"1237", "0,316227", "0,005747173", "-0,0001897383"
"1240", "0,281837", "0,005780383", "-0,0001529463"
"1244", "0,251188", "0,005853024", "8,706258e-05"
"1249", "0,223871", "0,005932295", "-0,0001199948"
"1254", "0,199525", "0,005978618", "-9,156691e-05"
"1260", "0,177827", "0,005911661", "-0,0001284399"
"1266", "0,158489", "0,005977286", "-0,0001189374"
"1273", "0,141253", "0,006011587", "-9,861447e-05"
"1281", "0,125892", "0,006165051", "1,102393e-05"
"1290", "0,112201", "0,00495453", "0,001988848"
"1300", "0,1", "0,006109845", "-0,0004443006"
