Experiment:, EIS
Start date:, p?tek 5. kv?tna 2023
Start time:, 12:56:45 +02:00
"Time (s)", "Frequency (Hz)", "Z' (Ohm)", "Z'' (Ohm)"
"641", "100000", "-0,02055307", "-0,02312225"
"641", "89125,09", "-0,002839611", "-6,030995e-05"
"641", "79432,82", "0,004084329", "0,001577312"
"642", "70794,57", "0,000586087", "0,003074325"
"642", "63095,73", "0,003434595", "0,0001195037"
"642", "56234,13", "0,001281779", "0,0009642658"
"642", "50118,71", "-0,000362498", "-0,0003378059"
"643", "44668,35", "0,005102784", "-0,004062602"
"643", "39810,71", "0,001659376", "-0,0004586341"
"643", "35481,33", "0,001307923", "-0,0003585014"
"643", "31622,77", "0,003142399", "-7,016449e-05"
"644", "28183,82", "0,002487652", "-0,0002294748"
"644", "25118,85", "0,002422594", "-0,0009300668"
"644", "22387,2", "0,003085235", "-0,0005236318"
"644", "19952,61", "0,002779642", "-0,000564666"
"645", "17782,79", "0,002676086", "-0,000784947"
"645", "15848,92", "0,002875356", "-0,000726286"
"645", "14125,37", "0,002937705", "-0,0006420442"
"645", "12589,25", "0,002970229", "-0,000755419"
"646", "11220,18", "0,002928916", "-0,0006872757"
"646", "9999,993", "0,002958368", "-0,0007891956"
"646", "8912,503", "0,003044684", "-0,0008159697"
"646", "7943,276", "0,003089213", "-0,0008397488"
"647", "7079,452", "0,003166878", "-0,000860467"
"647", "6309,568", "0,003220916", "-0,0009153491"
"647", "5623,409", "0,003254193", "-0,0009506672"
"647", "5011,868", "0,003307898", "-0,001000596"
"648", "4466,832", "0,003357706", "-0,001066729"
"648", "3981,068", "0,003418364", "-0,001125869"
"648", "3548,131", "0,003471649", "-0,001188674"
"648", "3162,275", "0,003532109", "-0,001261521"
"648", "2818,38", "0,003589572", "-0,001340197"
"649", "2511,884", "0,003656444", "-0,001431304"
"649", "2238,719", "0,003725889", "-0,001523592"
"649", "1995,26", "0,003780399", "-0,001618478"
"649", "1778,277", "0,003869901", "-0,001732017"
"650", "1584,891", "0,003946004", "-0,001862956"
"650", "1412,536", "0,004023382", "-0,001998144"
"650", "1258,924", "0,004127121", "-0,00214496"
"650", "1122,017", "0,004222144", "-0,002314906"
"651", "999,9988", "0,004304976", "-0,002522674"
"651", "891,2498", "0,004428428", "-0,002678548"
"651", "794,3272", "0,004531044", "-0,00288823"
"651", "707,9448", "0,004675385", "-0,003149554"
"651", "630,9565", "0,004822381", "-0,003400592"
"651", "562,3405", "0,004927921", "-0,003644066"
"652", "501,1865", "0,005211974", "-0,004019212"
"652", "446,6829", "0,005397561", "-0,004340782"
"652", "398,1066", "0,005601192", "-0,004716608"
"652", "354,8128", "0,005929517", "-0,005092166"
"652", "316,2273", "0,006266374", "-0,005495226"
"652", "281,8378", "0,006640172", "-0,005936043"
"653", "251,1882", "0,007079676", "-0,006416617"
