Experiment:, EIS
Start date:, st?eda 26. dubna 2023
Start time:, 14:04:26 +02:00
"Time (s)", "Frequency (Hz)", "Z' (Ohm)", "Z'' (Ohm)"
"501", "100000", "-0,002318764", "-0,009215361"
"501", "89125,09", "0,0008554252", "0,005776798"
"501", "79432,82", "0,001410027", "0,00183858"
"502", "70794,57", "-0,002544302", "0,0004712805"
"502", "63095,73", "0,002429122", "-0,001323835"
"502", "56234,13", "0,001547736", "0,002689183"
"502", "50118,71", "0,008419121", "-0,001360085"
"503", "44668,35", "0,004552996", "-0,007246069"
"503", "39810,71", "0,00304117", "-0,0003443795"
"503", "35481,33", "0,002345353", "-0,0004096971"
"503", "31622,77", "0,003324555", "-4,088555e-05"
"504", "28183,82", "0,003234908", "0,0003617711"
"504", "25118,85", "0,003014857", "-0,0001663486"
"504", "22387,2", "0,003148369", "-0,0006307939"
"504", "19952,61", "0,002888873", "-0,0001505099"
"505", "17782,79", "0,003378178", "-0,0002588821"
"505", "15848,92", "0,003387132", "-0,0004943198"
"505", "14125,37", "0,003556103", "-0,0002758725"
"505", "12589,25", "0,003533725", "-0,0002783008"
"506", "11220,18", "0,003532342", "-0,0002852044"
"506", "9999,993", "0,003551145", "-0,000396231"
"506", "8912,503", "0,00366417", "-0,0003851081"
"506", "7943,276", "0,0037149", "-0,000428852"
"507", "7079,452", "0,00374036", "-0,0004258311"
"507", "6309,568", "0,003782157", "-0,0004413003"
"507", "5623,409", "0,003810263", "-0,0004352097"
"507", "5011,868", "0,003836078", "-0,0004498325"
"508", "4466,832", "0,003870223", "-0,0004672563"
"508", "3981,068", "0,003897428", "-0,0004860428"
"508", "3548,131", "0,003922303", "-0,0005028223"
"508", "3162,275", "0,003945937", "-0,0005313056"
"509", "2818,38", "0,003964164", "-0,0005541407"
"509", "2511,884", "0,003990658", "-0,0005921959"
"509", "2238,719", "0,004012188", "-0,0006244812"
"509", "1995,26", "0,004051485", "-0,0006804263"
"510", "1778,277", "0,004058374", "-0,0007163629"
"510", "1584,891", "0,004084715", "-0,0007715317"
"510", "1412,536", "0,004113854", "-0,0008351709"
"510", "1258,924", "0,004149452", "-0,0009004644"
"511", "1122,017", "0,004178455", "-0,0009766603"
"511", "999,9988", "0,004190977", "-0,001083922"
"511", "891,2498", "0,00425618", "-0,001154731"
"511", "794,3272", "0,004318985", "-0,00125234"
"511", "707,9448", "0,004375168", "-0,001367724"
"511", "630,9565", "0,004425367", "-0,001488353"
"512", "562,3405", "0,00450904", "-0,001626996"
"512", "501,1865", "0,004619114", "-0,001842388"
"512", "446,6829", "0,004694382", "-0,001933861"
"512", "398,1066", "0,004860464", "-0,002051008"
"512", "354,8128", "0,00494136", "-0,00228506"
"512", "316,2273", "0,005096991", "-0,002470271"
"512", "281,8378", "0,005267689", "-0,002667387"
"512", "251,1882", "0,005474192", "-0,002866944"
"513", "223,8717", "0,005699238", "-0,003074213"
"513", "199,5259", "0,005970219", "-0,003243511"
"513", "177,8276", "0,006257362", "-0,003473549"
"513", "158,489", "0,006606116", "-0,003671682"
"513", "141,2535", "0,006945157", "-0,003828582"
"513", "125,8923", "0,007336929", "-0,003982082"
"514", "112,2016", "0,007773893", "-0,004097785"
"514", "99,9998", "0,008308291", "-0,004150806"
"514", "89,12492", "0,00864532", "-0,004184007"
"514", "79,43266", "0,009089111", "-0,00418891"
"514", "70,79443", "0,009548862", "-0,004118084"
"514", "63,0956", "0,00998915", "-0,004045412"
"515", "56,23401", "0,01040971", "-0,003896707"
"515", "50,11861", "0,01080964", "-0,00368081"
"515", "44,66826", "0,01112933", "-0,003508956"
"515", "39,81063", "0,01146803", "-0,003322619"
"515", "35,48126", "0,01175164", "-0,003094842"
"515", "31,6227", "0,01202249", "-0,002849871"
"515", "28,18376", "0,01213986", "-0,00264945"
"516", "25,11881", "0,01237163", "-0,0024817"
"516", "22,38716", "0,01250145", "-0,00218334"
"516", "19,95257", "0,01266202", "-0,001956025"
"516", "17,78275", "0,01274546", "-0,001831055"
"516", "15,84889", "0,01282077", "-0,001690196"
"516", "14,12534", "0,01288337", "-0,001478884"
"517", "12,58922", "0,01292019", "-0,001314668"
"517", "11,22016", "0,0130164", "-0,001212252"
"517", "9,999973", "0,01298575", "-0,0009487372"
"517", "8,912485", "0,0129855", "-0,001057868"
"517", "7,943261", "0,01315945", "-0,0008400478"
"518", "7,079438", "0,01308894", "-0,0006890741"
"518", "6,309556", "0,01312844", "-0,0006733884"
"518", "5,623397", "0,01318736", "-0,0006015685"
"518", "5,011858", "0,01318128", "-0,00053151"
"519", "4,466823", "0,01317947", "-0,0004896733"
"519", "3,98106", "0,01315961", "-0,0004828541"
"519", "3,548123", "0,0131853", "-0,0003469847"
"520", "3,162268", "0,01316612", "-0,0003370031"
"520", "2,818374", "0,0132092", "-0,0003315715"
"520", "2,511878", "0,0131328", "-0,0001355437"
"521", "2,238714", "0,01317755", "-0,0002688496"
"522", "1,995256", "0,01318195", "-0,000270528"
"522", "1,778274", "0,01316951", "-0,0002601988"
"523", "1,584888", "0,01320493", "-0,0002406111"
"524", "1,412533", "0,01322788", "-0,0001971287"
"524", "1,258921", "0,01317128", "-6,745206e-05"
"525", "1,122015", "0,01323291", "-0,0001625801"
"526", "0,999997", "0,01324916", "-0,0001605882"
"528", "0,891248", "0,01323548", "-0,000140763"
"529", "0,794325", "0,01330437", "-0,0001565441"
"530", "0,707943", "0,01326771", "-4,262655e-05"
"532", "0,630955", "0,01329879", "-0,0001154531"
"534", "0,562339", "0,01327597", "-0,000125644"
"536", "0,501185", "0,0132967", "7,52789e-05"
"538", "0,446682", "0,01330684", "-8,284482e-05"
"541", "0,398106", "0,01331594", "-6,945767e-05"
"544", "0,354812", "0,01334627", "-2,522872e-06"
"547", "0,316227", "0,01330002", "-1,542281e-05"
"550", "0,281837", "0,0133313", "-0,0001416585"
"554", "0,251188", "0,01322839", "-9,934854e-05"
"559", "0,223871", "0,01330499", "-5,840158e-05"
"564", "0,199525", "0,01336757", "5,725103e-05"
"570", "0,177827", "0,01333872", "-4,318023e-05"
"576", "0,158489", "0,01337964", "-0,0001106047"
