Experiment:, EIS
Start date:, ?tvrtek 27. dubna 2023
Start time:, 14:50:53 +02:00
"Time (s)", "Frequency (Hz)", "Z' (Ohm)", "Z'' (Ohm)"
"501", "100000", "-0,003374593", "-0,01320057"
"501", "89125,09", "0,01719354", "0,007540031"
"501", "79432,82", "0,0003042867", "0,001368296"
"502", "70794,57", "0,0008384708", "0,003919789"
"502", "63095,73", "0,0008525657", "0,001632566"
"502", "56234,13", "-0,0006563772", "0,004888586"
"502", "50118,71", "0,003101689", "-0,0005702825"
"503", "44668,35", "-0,002130627", "-0,01056524"
"503", "39810,71", "0,001724701", "0,001164278"
"503", "35481,33", "0,002352315", "4,384986e-05"
"503", "31622,77", "0,002648665", "0,0003725703"
"504", "28183,82", "0,002234371", "0,0003044689"
"504", "25118,85", "0,002522764", "-4,407158e-05"
"504", "22387,2", "0,002529669", "3,233587e-05"
"504", "19952,61", "0,002841394", "-0,0002440325"
"505", "17782,79", "0,003064695", "-0,0001593988"
"505", "15848,92", "0,002970097", "-0,000246693"
"505", "14125,37", "0,002915737", "-0,0003490289"
"505", "12589,25", "0,003018624", "-0,0002855209"
"506", "11220,18", "0,003061932", "-0,0002912179"
"506", "9999,993", "0,003059286", "-0,0003673473"
"506", "8912,503", "0,003118232", "-0,0004013937"
"506", "7943,276", "0,003170113", "-0,0003757955"
"507", "7079,452", "0,003211219", "-0,0003797722"
"507", "6309,568", "0,00323401", "-0,0003860445"
"507", "5623,409", "0,003263122", "-0,0003966339"
"507", "5011,868", "0,003292922", "-0,0004088799"
"508", "4466,832", "0,003327487", "-0,000429878"
"508", "3981,068", "0,003352624", "-0,0004390945"
"508", "3548,131", "0,003378026", "-0,0004595618"
"508", "3162,275", "0,003397906", "-0,0004794237"
"509", "2818,38", "0,003422339", "-0,0004992483"
"509", "2511,884", "0,003448542", "-0,0005272698"
"509", "2238,719", "0,00347769", "-0,0005593637"
"509", "1995,26", "0,003481844", "-0,0005946796"
"510", "1778,277", "0,003524424", "-0,0006313299"
"510", "1584,891", "0,003559128", "-0,0006697638"
"510", "1412,536", "0,003594982", "-0,0007178441"
"510", "1258,924", "0,003625909", "-0,0007731236"
"511", "1122,017", "0,003663406", "-0,0008313042"
"511", "999,9988", "0,003734545", "-0,0008519875"
"511", "891,2498", "0,003755887", "-0,000956105"
"511", "794,3272", "0,003813533", "-0,001026754"
"511", "707,9448", "0,003867448", "-0,001113145"
"511", "630,9565", "0,003953498", "-0,001198299"
"512", "562,3405", "0,004033401", "-0,001283837"
"512", "501,1865", "0,004213476", "-0,001412916"
"512", "446,6829", "0,004240117", "-0,001478126"
"512", "398,1066", "0,004289377", "-0,001578191"
"512", "354,8128", "0,004494057", "-0,001665466"
"512", "316,2273", "0,004639298", "-0,001756921"
"512", "281,8378", "0,004805541", "-0,001837089"
"512", "251,1882", "0,004988082", "-0,00191198"
"513", "223,8717", "0,005182409", "-0,001978437"
"513", "199,5259", "0,005421733", "-0,002027156"
"513", "177,8276", "0,005595505", "-0,00204905"
"513", "158,489", "0,005805007", "-0,002061898"
"513", "141,2535", "0,006022527", "-0,002057111"
"513", "125,8923", "0,006226434", "-0,002043885"
"514", "112,2016", "0,006438317", "-0,002008887"
"514", "99,9998", "0,006770434", "-0,002025077"
"514", "89,12492", "0,006861079", "-0,001853301"
"514", "79,43266", "0,007020505", "-0,001755575"
"514", "70,79443", "0,007193832", "-0,001666414"
"514", "63,0956", "0,007343818", "-0,001561361"
"515", "56,23401", "0,007442764", "-0,001416042"
"515", "50,11861", "0,007535922", "-0,001327135"
"515", "44,66826", "0,007658985", "-0,001206778"
"515", "39,81063", "0,007726079", "-0,001102009"
"515", "35,48126", "0,007793135", "-0,0009908692"
"515", "31,6227", "0,007837076", "-0,0008750923"
"515", "28,18376", "0,007877465", "-0,0008224071"
"516", "25,11881", "0,00792542", "-0,0007040809"
"516", "22,38716", "0,007987786", "-0,0006771561"
"516", "19,95257", "0,008028219", "-0,0005799341"
"516", "17,78275", "0,008000562", "-0,0005350413"
"516", "15,84889", "0,007984512", "-0,0004925248"
"516", "14,12534", "0,007999825", "-0,0003751608"
"517", "12,58922", "0,00803335", "-0,0003675368"
"517", "11,22016", "0,008037279", "-0,0002682178"
"517", "9,999973", "0,007969908", "-0,0002990991"
"517", "8,912485", "0,008016923", "-0,0002122068"
"517", "7,943261", "0,00801243", "-0,0001906175"
"518", "7,079438", "0,007964741", "-0,0001741963"
"518", "6,309556", "0,008030741", "-0,0001300219"
"518", "5,623397", "0,008010481", "-0,0001143488"
"518", "5,011858", "0,008012253", "-8,983554e-05"
"519", "4,466823", "0,007955512", "-9,348389e-05"
"519", "3,98106", "0,007950297", "-0,0001003367"
"519", "3,548123", "0,008008696", "-6,146646e-05"
"520", "3,162268", "0,008039888", "-5,870068e-05"
"520", "2,818374", "0,007851515", "-0,0001129485"
"520", "2,511878", "0,008078035", "-8,434686e-05"
"521", "2,238714", "0,007985989", "-9,637504e-05"
"522", "1,995256", "0,00797532", "-8,232645e-05"
"522", "1,778274", "0,008072393", "-8,524876e-05"
"523", "1,584888", "0,007926428", "-6,540547e-05"
"524", "1,412533", "0,007997787", "-6,549583e-05"
"524", "1,258921", "0,007975684", "-7,608109e-05"
"525", "1,122015", "0,007977344", "-9,015085e-05"
"526", "0,999997", "0,00795996", "-0,0001220707"
"528", "0,891248", "0,008075994", "-1,719996e-05"
"529", "0,794325", "0,007992906", "-7,587584e-05"
"530", "0,707943", "0,007987438", "-8,785618e-05"
"532", "0,630955", "0,008004922", "-0,0001528194"
"534", "0,562339", "0,008011161", "-8,004095e-05"
"536", "0,501185", "0,008006916", "-4,642824e-05"
"538", "0,446682", "0,008113255", "-8,828886e-05"
"541", "0,398106", "0,007977339", "-7,346343e-05"
"544", "0,354812", "0,008021253", "-0,000106337"
"547", "0,316227", "0,008035477", "-9,52523e-05"
"550", "0,281837", "0,008099073", "-9,949391e-05"
"554", "0,251188", "0,008084873", "-0,0001131631"
"559", "0,223871", "0,008099589", "-8,062892e-05"
"564", "0,199525", "0,008059474", "-0,0001049595"
"570", "0,177827", "0,008063004", "-0,0001562177"
"576", "0,158489", "0,008075465", "-0,0001472685"
"583", "0,141253", "0,008094635", "-0,0002264234"
"591", "0,125892", "0,008163352", "-0,0002252404"
"600", "0,112201", "0,008210088", "-0,0002342851"
"610", "0,1", "0,006332517", "0,0008100495"
