Experiment:, EIS
Start date:, ?ter? 23. kv?tna 2023
Start time:, 11:49:48 +02:00
"Time (s)", "Frequency (Hz)", "Z' (Ohm)", "Z'' (Ohm)"
"879", "100000", "0,02095623", "-0,009665959"
"879", "89125,09", "-0,00447559", "-0,002091507"
"879", "79432,82", "0,1387014", "0,09032343"
"880", "70794,57", "-0,0004502417", "-0,0005675391"
"880", "63095,73", "0,01290436", "0,0005886093"
"880", "56234,13", "0,007072231", "0,01607155"
"880", "50118,71", "0,00388707", "-0,02234154"
"881", "44668,35", "-0,02947228", "-0,002142136"
"881", "39810,71", "-0,03785184", "0,01471608"
"881", "35481,33", "-0,002378447", "0,008858447"
"881", "31622,77", "0,008072432", "0,003330853"
"882", "28183,82", "0,002838401", "0,0006184339"
"882", "25118,85", "0,0004775157", "0,0001003718"
"882", "22387,2", "0,005136817", "0,001793455"
"882", "19952,61", "0,0004922724", "-0,001885241"
"883", "17782,79", "0,002729053", "-0,00157688"
"883", "15848,92", "0,004208495", "-0,0007706904"
"883", "14125,37", "0,003000858", "-0,0002111326"
"883", "12589,25", "0,002996246", "0,000792614"
"884", "11220,18", "0,003089811", "-0,000328919"
"884", "9999,993", "0,002624687", "-0,0004309963"
"884", "8912,503", "0,003048106", "-0,001462277"
"884", "7943,276", "0,002889494", "-0,0003536669"
"885", "7079,452", "0,003172064", "-0,0002350469"
"885", "6309,568", "0,002807177", "-0,0008144054"
"885", "5623,409", "0,003196087", "-0,0008082146"
"885", "5011,868", "0,00303051", "-0,0008712988"
"886", "4466,832", "0,003296003", "-0,0009570604"
"886", "3981,068", "0,003209681", "-0,001184678"
"886", "3548,131", "0,003243499", "-0,001107652"
"886", "3162,275", "0,003388459", "-0,001265931"
"887", "2818,38", "0,003429842", "-0,001420593"
"887", "2511,884", "0,003559488", "-0,001516163"
"887", "2238,719", "0,003645464", "-0,001655767"
"887", "1995,26", "0,003787575", "-0,001949448"
"888", "1778,277", "0,00395751", "-0,001900518"
"888", "1584,891", "0,004152319", "-0,002051749"
"888", "1412,536", "0,004278621", "-0,002269207"
"888", "1258,924", "0,004489975", "-0,002352335"
"889", "1122,017", "0,004721657", "-0,002413745"
"889", "999,9988", "0,005088334", "-0,002441232"
"889", "891,2498", "0,005254704", "-0,002621696"
"889", "794,3272", "0,005573358", "-0,002732398"
"889", "707,9448", "0,005834995", "-0,002618236"
"889", "630,9565", "0,006121271", "-0,002651405"
