Experiment:, EIS
Start date:, st?eda 20. z??? 2023
Start time:, 13:00:20 +02:00
"Time (s)", "Frequency (Hz)", "Z' (Ohm)", "Z'' (Ohm)"
"1097", "100000", "0,0004833049", "-0,0005112631"
"1097", "79432,82", "-0,003963563", "-0,0004831685"
"1097", "63095,73", "-0,002410314", "-0,002232508"
"1098", "50118,72", "-0,02167188", "-0,003459261"
"1098", "39810,71", "-0,003330841", "-0,005844"
"1098", "31622,77", "0,001273919", "-0,001573881"
"1098", "25118,86", "0,002501518", "-0,0003232656"
"1099", "19952,62", "0,003521967", "-0,0002964743"
"1099", "15848,93", "0,003076933", "-0,0005745327"
"1099", "12589,25", "0,003920253", "-0,0003729964"
"1099", "9999,997", "0,003542674", "-0,0007168007"
"1100", "7943,28", "0,003658793", "-0,0004898986"
"1100", "6309,571", "0,003629054", "-0,0005221571"
"1100", "5011,871", "0,003707908", "-0,0005840407"
"1100", "3981,07", "0,003787129", "-0,0006079019"
"1101", "3162,276", "0,00380391", "-0,0006852826"
"1101", "2511,885", "0,00385616", "-0,0008134902"
"1101", "1995,261", "0,00393948", "-0,0009742535"
"1101", "1584,892", "0,003998403", "-0,001118887"
"1102", "1258,925", "0,004095555", "-0,001327653"
"1102", "999,9994", "0,004248145", "-0,001533217"
"1102", "794,3277", "0,004380619", "-0,001848348"
"1102", "630,9569", "0,004602633", "-0,002200008"
"1102", "501,1869", "0,00483579", "-0,002592589"
"1102", "398,1069", "0,005216565", "-0,003033199"
"1103", "316,2275", "0,005649985", "-0,003475254"
"1103", "251,1884", "0,006199905", "-0,003977695"
"1103", "199,5261", "0,00688696", "-0,00446638"
"1103", "158,4892", "0,007746886", "-0,004928516"
"1103", "125,8924", "0,008748034", "-0,005306835"
"1103", "99,99991", "0,009916167", "-0,005552393"
"1103", "79,43275", "0,01104183", "-0,00548695"
"1103", "63,09567", "0,01220737", "-0,005269645"
"1104", "50,11867", "0,01318882", "-0,004858147"
"1104", "39,81068", "0,01399978", "-0,004351415"
"1104", "31,62274", "0,01472305", "-0,003770829"
"1104", "25,11884", "0,01516788", "-0,003146926"
"1104", "19,9526", "0,01556251", "-0,002685883"
"1105", "15,84891", "0,01573616", "-0,002237782"
"1105", "12,58924", "0,01598288", "-0,001840914"
"1105", "9,999988", "0,0161201", "-0,001572479"
"1105", "7,943272", "0,01620502", "-0,001287973"
"1105", "6,309565", "0,01624952", "-0,001085884"
"1105", "5,011866", "0,0163475", "-0,0009166393"
"1106", "3,981066", "0,0163928", "-0,0008050731"
"1106", "3,162273", "0,01641818", "-0,0007178432"
"1107", "2,511883", "0,01647223", "-0,0006207274"
"1107", "1,995259", "0,01652797", "-0,0005835929"
"1108", "1,584891", "0,01659901", "-0,0005944631"
"1109", "1,258924", "0,01661548", "-0,0005688119"
"1110", "0,999998", "0,01671511", "-0,0005772946"
"1111", "0,794327", "0,01678775", "-0,0005527698"
"1113", "0,630956", "0,01689421", "-0,0005041072"
"1115", "0,501186", "0,01697519", "-0,0004804889"
"1117", "0,398106", "0,01691752", "-0,0006007756"
"1121", "0,316227", "0,01720411", "-4,120311e-05"
"1125", "0,251188", "0,0173022", "-0,0002622425"
"1130", "0,199526", "0,01739006", "-0,0002907545"
"1136", "0,158489", "0,01745284", "-0,0002063295"
"1144", "0,125892", "0,01750467", "-0,0001383291"
"1154", "0,1", "0,01738564", "-0,0003918444"
