Experiment:, EIS
Start date:, ?tvrtek 21. z??? 2023
Start time:, 15:28:40 +02:00
"Time (s)", "Frequency (Hz)", "Z' (Ohm)", "Z'' (Ohm)", "Voltage (V)"
"739", "100000", "0,028048", "0,001371082", "0,3974043"
"739", "79432,82", "0,0008441376", "0,01287459", "0,3974043"
"740", "63095,73", "0,05261952", "-0,03262972", "0,3994583"
"740", "50118,72", "0,01250297", "-0,0002907993", "0,3994583"
"740", "39810,71", "0,07884584", "-0,08944555", "0,3994583"
"740", "31622,77", "0,009846369", "0,0007113481", "0,3994583"
"740", "25118,86", "0,0189714", "-0,001421642", "0,3994583"
"741", "19952,62", "0,001743635", "-0,009189504", "0,4002483"
"741", "15848,93", "0,007516378", "0,001226801", "0,4002483"
"741", "12589,25", "0,01350801", "0,0001585738", "0,4002483"
"741", "9999,997", "-0,02244541", "-0,009967993", "0,4002483"
"742", "7943,28", "0,01633019", "0,008154309", "0,3980364"
"742", "6309,571", "0,008063327", "0,001465523", "0,3980364"
"742", "5011,871", "0,007417294", "0,002366056", "0,3980364"
"742", "3981,07", "0,007907467", "-0,003256189", "0,3980364"
"743", "3162,276", "0,00787673", "-0,009905874", "0,3940865"
"743", "2511,885", "0,007040376", "-0,004976821", "0,3940865"
"744", "1995,261", "0,01026632", "-0,005376945", "0,3951924"
"744", "1584,892", "0,009747135", "-0,005989313", "0,3951924"
"744", "1258,925", "0,01063052", "-0,007321273", "0,3951924"
"745", "999,9994", "0,01170602", "-0,008461126", "0,3970883"
"745", "794,3277", "0,01237613", "-0,009222319", "0,3970883"
"745", "630,9569", "0,01534076", "-0,01172068", "0,3970883"
"745", "501,1869", "0,01596523", "-0,01379467", "0,3970883"
"746", "398,1069", "0,01708708", "-0,0163202", "0,3993003"
"746", "316,2275", "0,01910183", "-0,01932203", "0,3993003"
"746", "251,1884", "0,01859233", "-0,01810029", "0,3993003"
"746", "199,5261", "0,02074961", "-0,02164908", "0,3993003"
"746", "158,4892", "0,02932345", "-0,02093276", "0,3993003"
"747", "125,8924", "0,03369831", "-0,03400467", "0,4222097"
"747", "99,99991", "0,03959437", "-0,03759513", "0,4222097"
"747", "79,43275", "0,03885988", "-0,03817124", "0,4222097"
"747", "63,09567", "0,04969914", "-0,03393658", "0,4222097"
"747", "50,11867", "0,04063346", "-0,0398308", "0,4222097"
"747", "39,81068", "0,04357762", "-0,04435177", "0,4222097"
"748", "31,62274", "0,06696186", "-0,04490434", "0,3980364"
"748", "25,11884", "0,0886778", "-0,06512145", "0,3980364"
"748", "19,9526", "0,08859938", "-0,01986397", "0,3980364"
"748", "15,84891", "0,08990169", "-0,05378126", "0,3980364"
"748", "12,58924", "0,1060542", "-0,05627685", "0,3980364"
"749", "9,999988", "0,1135987", "-0,04494972", "0,4051462"
"749", "7,943272", "0,1184293", "-0,01566393", "0,4051462"
"749", "6,309565", "0,1572973", "-0,09720048", "0,4051462"
"749", "5,011866", "0,1852908", "-0,005058452", "0,4051462"
"749", "3,981066", "0,1306155", "-0,004279426", "0,4051462"
"750", "3,162273", "0,1476374", "-0,02435766", "0,3948765"
"750", "2,511883", "0,1356033", "-0,01985825", "0,3948765"
"751", "1,995259", "0,1605877", "-0,02570732", "0,4072001"
"752", "1,584891", "0,1509973", "-0,007281827", "0,4000903"
"755", "1,258924", "0,1485744", "-0,01169882", "0,3909265"
"756", "0,999998", "0,1565103", "-0,01638847", "0,4032502"
"758", "0,794327", "0,1520911", "-0,01227249", "0,3896626"
"763", "0,630956", "0,1569705", "-0,004423887", "0,4302675"
"767", "0,501186", "0,1405694", "-0,003820954", "0,4427491"
"770", "0,398106", "0,1470386", "-0,005343074", "0,3797088"
"773", "0,316227", "0,1657496", "-0,02886711", "0,3899786"
"777", "0,251188", "0,144311", "-0,0002726761", "0,374653"
"782", "0,199526", "0,1521762", "-0,006477174", "0,3628033"
"789", "0,158489", "0,1530376", "-0,06247831", "0,3338901"
"797", "0,125892", "0,1489449", "-0,01091728", "0,3297822"
"807", "0,1", "0,152009", "-0,004807964", "0,3675432"
