Experiment:, EIS
Start date:, ?ter? 3. ??jna 2023
Start time:, 12:04:08 +02:00
"Time (s)", "Frequency (Hz)", "Z' (Ohm)", "Z'' (Ohm)"
"1363", "100000", "-0,004732317", "-0,002619629"
"1363", "79432,82", "-0,001552024", "-0,002946916"
"1363", "63095,73", "-0,008180384", "0,002689647"
"1364", "50118,72", "-0,01062583", "0,002576252"
"1364", "39810,71", "-0,0004396637", "-0,0006702069"
"1364", "31622,77", "0,001003565", "0,0008143313"
"1364", "25118,86", "0,0007875127", "0,0005703801"
"1365", "19952,62", "0,001380577", "7,081903e-05"
"1365", "15848,93", "0,000393227", "0,0003482749"
"1365", "12589,25", "0,001195284", "-0,0002823772"
"1365", "9999,997", "0,001081135", "-0,0004341674"
"1366", "7943,28", "0,0009807813", "-0,0003482077"
"1366", "6309,571", "0,001051499", "-0,0003177512"
"1366", "5011,871", "0,001099704", "-0,0003769084"
"1366", "3981,07", "0,00110811", "-0,0004140582"
"1367", "3162,276", "0,00116118", "-0,000472629"
"1367", "2511,885", "0,001158432", "-0,0005426516"
"1367", "1995,261", "0,001235345", "-0,0005941935"
"1367", "1584,892", "0,001270246", "-0,0007455733"
"1368", "1258,925", "0,00134751", "-0,000890928"
"1368", "999,9994", "0,001489714", "-0,001061009"
"1368", "794,3277", "0,0015386", "-0,001270809"
"1368", "630,9569", "0,00169916", "-0,001499288"
"1368", "501,1869", "0,001918594", "-0,001792883"
"1368", "398,1069", "0,002195752", "-0,002093287"
"1368", "316,2275", "0,002548022", "-0,002343488"
"1369", "251,1884", "0,00300653", "-0,002601099"
"1369", "199,5261", "0,003541217", "-0,002813401"
"1369", "158,4892", "0,00413008", "-0,002909147"
"1369", "125,8924", "0,004735848", "-0,002908904"
"1369", "99,99991", "0,00536728", "-0,002814678"
"1369", "79,43275", "0,005853117", "-0,002634849"
"1369", "63,09567", "0,006314298", "-0,002383879"
"1370", "50,11867", "0,006680539", "-0,002152603"
"1370", "39,81068", "0,007002065", "-0,001880465"
"1370", "31,62274", "0,007234981", "-0,001626546"
"1370", "25,11884", "0,007442107", "-0,001417409"
"1370", "19,9526", "0,007606439", "-0,001193103"
"1371", "15,84891", "0,007713425", "-0,0009759783"
"1371", "12,58924", "0,007799089", "-0,0008343905"
"1371", "9,999988", "0,007847471", "-0,0006568813"
"1371", "7,943272", "0,007902386", "-0,0005115008"
"1371", "6,309565", "0,00792341", "-0,0004374479"
"1371", "5,011866", "0,00797225", "-0,0003063223"
"1372", "3,981066", "0,007965016", "-0,000255286"
"1372", "3,162273", "0,007962306", "-0,0001906974"
"1373", "2,511883", "0,007942085", "-9,24273e-05"
"1373", "1,995259", "0,007952853", "-8,011599e-05"
"1374", "1,584891", "0,008006431", "-3,271272e-05"
"1375", "1,258924", "0,007930878", "2,138666e-06"
"1376", "0,999998", "0,007874415", "5,243742e-06"
"1377", "0,794327", "0,007874639", "6,927818e-05"
"1379", "0,630956", "0,007826451", "0,0004883731"
"1381", "0,501186", "0,00767595", "-0,0007820403"
"1383", "0,398106", "0,008028259", "-6,892782e-05"
"1387", "0,316227", "0,00789017", "0,0001520387"
"1391", "0,251188", "0,007944323", "6,093304e-06"
"1396", "0,199526", "0,007976524", "1,851544e-05"
"1402", "0,158489", "0,00796587", "5,95919e-05"
"1410", "0,125892", "0,008038049", "-0,0008545141"
"1420", "0,1", "0,007935469", "5,875623e-05"
