Experiment:, EIS
Start date:, p?tek 27. ??jna 2023
Start time:, 12:23:05 +02:00
"Time (s)", "Voltage (V)"
"398", "0,4977316"
"399", "0,4993116"
"400", "0,4991536"
"401", "0,4991536"
"402", "0,4991536"
"403", "0,4991536"
"404", "0,4991536"
"405", "0,4991536"
"406", "0,4993116"
"407", "0,4991536"
"408", "0,4993116"
"409", "0,4993116"
"410", "0,4993116"
"411", "0,4993116"
"412", "0,4991536"
"413", "0,4991536"
"414", "0,4991536"
"415", "0,4991536"
"416", "0,4991536"
"417", "0,4993116"
"418", "0,4991536"
"419", "0,4991536"
"420", "0,4993116"
"421", "0,4991536"
"422", "0,4991536"
"423", "0,4991536"
"424", "0,4991536"
"425", "0,4991536"
"426", "0,4993116"
"427", "0,4991536"
"428", "0,4993116"
"429", "0,4991536"
"430", "0,4993116"
"431", "0,4991536"
"432", "0,4993116"
"433", "0,4993116"
"434", "0,4993116"
"435", "0,4993116"
"436", "0,4993116"
"437", "0,4993116"
"438", "0,4993116"
"439", "0,4993116"
"440", "0,4993116"
"441", "0,4993116"
"442", "0,4993116"
"443", "0,4993116"
"444", "0,4993116"
"445", "0,4993116"
"446", "0,4993116"
"447", "0,4993116"
"448", "0,4993116"
"449", "0,4993116"
"450", "0,4993116"
"451", "0,4993116"
"452", "0,4993116"
"453", "0,4993116"
"454", "0,4993116"
"455", "0,4993116"
"456", "0,4993116"
"457", "0,4993116"
"458", "0,4994696"
"458", "0,4994696"
"458", "0,4994696"
"459", "0,4993116"
"459", "0,4993116"
"459", "0,4993116"
"459", "0,4993116"
"460", "0,4991536"
"460", "0,4991536"
"460", "0,4991536"
"460", "0,4991536"
"461", "0,4989956"
"461", "0,4989956"
"461", "0,4989956"
"461", "0,4989956"
"462", "0,4991536"
"462", "0,4991536"
"462", "0,4991536"
"463", "0,5280668"
"463", "0,5280668"
"463", "0,5280668"
"463", "0,5280668"
"464", "0,4982056"
"464", "0,4982056"
"464", "0,4982056"
"464", "0,4982056"
"464", "0,4982056"
"464", "0,4982056"
"465", "0,5002595"
"465", "0,5002595"
"465", "0,5002595"
"465", "0,5002595"
"465", "0,5002595"
"465", "0,5002595"
"466", "0,5008915"
"466", "0,5008915"
"466", "0,5008915"
"466", "0,5008915"
"466", "0,5008915"
"467", "0,5012075"
"467", "0,5012075"
"467", "0,5012075"
"467", "0,5012075"
"467", "0,5012075"
"468", "0,4994696"
"468", "0,4994696"
"468", "0,4994696"
"469", "0,5037354"
"470", "0,4910958"
"470", "0,4910958"
"471", "0,4997856"
"472", "0,5165331"
"473", "0,5027875"
"474", "0,4735583"
"475", "0,5444983"
"476", "0,4550728"
"477", "0,5493962"
"478", "0,4724523"
"479", "0,4923598"
"480", "0,555558"
"481", "0,4561788"
"482", "0,4794042"
"483", "0,5631419"
"484", "0,5106873"
"485", "0,4367453"
"486", "0,4898318"
"487", "0,5629839"
"488", "0,5407065"
"489", "0,4620246"
"490", "0,4357973"
"491", "0,4974156"
"492", "0,5606139"
"493", "0,5598239"
"494", "0,5042095"
"495", "0,4451191"
"496", "0,4359553"
"497", "0,484618"
"498", "0,5463943"
"499", "0,5693037"
"500", "0,5508182"
"501", "0,5013655"
"502", "0,4515969"
"503", "0,4305834"
"504", "0,4503329"
"505", "0,4993116"
"506", "0,5479743"
"507", "0,5688297"
"508", "0,5631419"
"509", "0,5334386"
"510", "0,4899898"
"511", "0,4514389"
"512", "0,4310574"
"513", "0,4367453"
"514", "0,4664485"
"515", "0,5089493"
"516", "0,5141632"
