Experiment:, EIS
Start date:, ?ter? 30. ledna 2024
Start time:, 16:08:27 +01:00
"Time (s)", "Frequency (Hz)", "Z' (Ohm)", "Z'' (Ohm)"
"739", "100000", "0,003682425", "0,001626219"
"739", "79432,82", "-1,92191e-05", "0,002227935"
"739", "63095,73", "0,00214514", "0,0002986777"
"740", "50118,72", "0,002417459", "-0,001644436"
"740", "39810,71", "0,002356242", "0,0001858235"
"740", "31622,77", "0,002849747", "-0,0001649286"
"740", "25118,86", "0,002897273", "-0,0002167628"
"741", "19952,62", "0,002940909", "-0,0002047138"
"741", "15848,93", "0,003124513", "-0,0003604548"
"741", "12589,25", "0,003277122", "-0,0004263431"
"741", "9999,997", "0,003383993", "-0,0004836397"
"742", "7943,28", "0,003463175", "-0,0005215462"
"742", "6309,571", "0,00353701", "-0,0005721252"
"742", "5011,871", "0,003616089", "-0,0006337391"
"742", "3981,07", "0,003687046", "-0,000701312"
"743", "3162,276", "0,003758098", "-0,0007945513"
"743", "2511,885", "0,003836707", "-0,0009075308"
"743", "1995,261", "0,003927254", "-0,001057242"
"743", "1584,892", "0,004051764", "-0,001216234"
"744", "1258,925", "0,004199614", "-0,001413415"
"744", "999,9994", "0,004411665", "-0,001613735"
"744", "794,3277", "0,004656587", "-0,001865642"
"744", "630,9569", "0,00497016", "-0,002115453"
"744", "501,1869", "0,005414724", "-0,002332297"
"744", "398,1069", "0,005857547", "-0,002572694"
"745", "316,2275", "0,006371539", "-0,002638837"
"745", "251,1884", "0,006951304", "-0,002655678"
"745", "199,5261", "0,007488877", "-0,002594097"
"745", "158,4892", "0,008025375", "-0,002358761"
"745", "125,8924", "0,008461846", "-0,002088545"
"745", "99,99991", "0,008823982", "-0,001745705"
"745", "79,43275", "0,009026363", "-0,001476751"
"746", "63,09567", "0,009202161", "-0,001184186"
"746", "50,11867", "0,00927914", "-0,0009279576"
"746", "39,81068", "0,009351203", "-0,0007006834"
"746", "31,62274", "0,009395399", "-0,0005677409"
"746", "25,11884", "0,009353375", "-0,0004278013"
"746", "19,9526", "0,009367477", "-0,0003268565"
"747", "15,84891", "0,009371796", "-0,000215724"
"747", "12,58924", "0,009308349", "-0,0001304966"
"747", "9,999988", "0,009312063", "-7,382756e-05"
"747", "7,943272", "0,009322914", "-3,071038e-05"
"747", "6,309565", "0,009262802", "-3,507688e-05"
"748", "5,011866", "0,009277781", "1,369494e-05"
"748", "3,981066", "0,009229232", "1,550498e-05"
"748", "3,162273", "0,009212363", "1,344105e-05"
"749", "2,511883", "0,009192193", "6,954614e-06"
"749", "1,995259", "0,009178589", "5,937407e-06"
"750", "1,584891", "0,009170585", "-9,38317e-06"
"751", "1,258924", "0,009169251", "-3,876657e-05"
"752", "0,999998", "0,009203377", "-4,599395e-05"
"753", "0,794327", "0,009211625", "-7,691087e-05"
"755", "0,630956", "0,009233898", "-0,0001042325"
"757", "0,501186", "0,009260829", "-0,0001202855"
"759", "0,398106", "0,009269262", "-0,0001379269"
"763", "0,316227", "0,009280136", "-7,437177e-05"
"767", "0,251188", "0,009161479", "5,62266e-05"
"772", "0,199526", "0,009123312", "9,762273e-06"
"778", "0,158489", "0,009113946", "-0,000148523"
"786", "0,125892", "0,009279087", "-0,000256507"
"796", "0,1", "0,009354811", "-0,0003121251"
