Experiment:, Load
Start date:, p?tek 2. z??? 2022
Start time:, 10:44:14 +02:00
"Time (s)", "Current Density (A/cm2)", "Voltage (V)"
"150,1", "0,01760473", "1,053877"
"150,15", "0,01823028", "1,067622"
"150,3", "-0,06496777", "1,029387"
"150,35", "-0,00178729", "0,9783546"
"150,55", "-0,002412841", "0,9938382"
"150,65", "-0,00366394", "0,9909942"
"150,7", "-0,00366394", "0,9890983"
"150,8", "-0,005540589", "0,9821464"
"150,85", "-0,006166136", "0,9764586"
"150,95", "-0,006791682", "0,9665049"
"151,05", "-0,008042786", "0,9551292"
"151,2", "-0,009293883", "0,9402776"
"151,3", "-0,009293883", "0,9304819"
"151,4", "-0,01117053", "0,9233721"
"151,45", "-0,01179608", "0,9198961"
"151,5", "-0,01117053", "0,9175262"
"151,6", "-0,01179608", "0,9131023"
"151,75", "-0,01367273", "0,9078885"
"151,8", "-0,01367273", "0,9064665"
"151,95", "-0,01492382", "0,9036226"
"152", "-0,01492382", "0,9031486"
"152,05", "-0,01617493", "0,9012527"
"152,2", "-0,01680047", "0,8984088"
"152,3", "-0,01867712", "0,8958808"
"152,35", "-0,01867712", "0,8950908"
"152,5", "-0,01992822", "0,8928789"
"152,55", "-0,01992822", "0,8920889"
"152,6", "-0,02117932", "0,8911409"
"152,75", "-0,02117932", "0,889403"
"152,85", "-0,02305596", "0,8875071"
"152,95", "-0,02368151", "0,8864011"
"153", "-0,02430707", "0,8854531"
"153,1", "-0,02430707", "0,8851371"
"153,25", "-0,02618371", "0,8832412"
"153,3", "-0,02618371", "0,8827672"
"153,45", "-0,02743481", "0,8811872"
"153,5", "-0,02743481", "0,8808712"
"153,55", "-0,02806036", "0,8802392"
"153,7", "-0,02868591", "0,8785013"
"153,75", "-0,02931145", "0,8773953"
"153,85", "-0,03056256", "0,8764474"
"154", "-0,03118811", "0,8754994"
"154,05", "-0,03181365", "0,8747094"
"154,2", "-0,03306475", "0,8734454"
"154,25", "-0,0336903", "0,8728135"
"154,35", "-0,03431586", "0,8723395"
"154,45", "-0,0349414", "0,8713915"
"154,55", "-0,03619251", "0,8712335"
"154,6", "-0,03681805", "0,8707595"
"154,75", "-0,0374436", "0,8701275"
"154,8", "-0,03806914", "0,8694955"
"154,9", "-0,0386947", "0,8685476"
"155", "-0,03994579", "0,8672836"
"155,15", "-0,04119689", "0,8661776"
"155,2", "-0,04119689", "0,8658617"
"155,3", "-0,04182244", "0,8657036"
"155,35", "-0,04182244", "0,8653877"
"155,5", "-0,04369909", "0,8644397"
"155,55", "-0,04432464", "0,8639656"
"155,6", "-0,04495018", "0,8636497"
"155,8", "-0,04620128", "0,8630177"
"155,85", "-0,04495018", "0,8625437"
"155,95", "-0,04745239", "0,8614377"
"156,05", "-0,04870348", "0,8608057"
"156,1", "-0,04807793", "0,8611218"
"156,15", "-0,04870348", "0,8608057"
"156,3", "-0,04932903", "0,8595418"
"156,4", "-0,04995458", "0,8589098"
"156,5", "-0,05058013", "0,8581198"
"156,65", "-0,05308233", "0,8568559"
"156,7", "-0,05308233", "0,8565399"
