Experiment:, Load
Start date:, st?eda 12. ??jna 2022
Start time:, 15:37:10 +02:00
"Time (s)", "Current Density (A/cm2)", "Voltage (V)"
"150,1", "0,01635363", "1,095429"
"150,15", "0,01697918", "1,114863"
"150,3", "-0,07184881", "1,06699"
"150,35", "-0,00366394", "0,9802505"
"150,5", "-0,004915043", "1,000158"
"150,55", "-0,005540589", "0,999684"
"150,7", "-0,006166136", "0,9935221"
"150,8", "-0,007417239", "0,9851484"
"150,85", "-0,008042786", "0,9786706"
"151", "-0,009293883", "0,9568672"
"151,05", "-0,009293883", "0,9486514"
"151,2", "-0,01117053", "0,927954"
"151,25", "-0,01117053", "0,9213182"
"151,35", "-0,01179608", "0,9127864"
"151,45", "-0,01304718", "0,9042546"
"151,55", "-0,01429828", "0,8977767"
"151,6", "-0,01492382", "0,8950908"
"151,75", "-0,01554937", "0,890193"
"151,8", "-0,01554937", "0,889087"
"151,9", "-0,01680047", "0,8873491"
"152", "-0,01742602", "0,8846631"
"152,15", "-0,01867712", "0,8808712"
"152,2", "-0,01867712", "0,8802392"
"152,25", "-0,01930267", "0,8792912"
"152,35", "-0,01992822", "0,8778693"
"152,4", "-0,02117932", "0,8758153"
"152,55", "-0,02180487", "0,8745514"
"152,65", "-0,02305596", "0,8721815"
"152,75", "-0,02368151", "0,8707595"
"152,85", "-0,02430707", "0,8693375"
"152,95", "-0,02493261", "0,8683895"
"153", "-0,02618371", "0,8675996"
"153,1", "-0,02618371", "0,8669676"
"153,2", "-0,02680926", "0,8658617"
"153,3", "-0,02743481", "0,8647557"
"153,45", "-0,02868591", "0,8622277"
"153,5", "-0,02931145", "0,8615957"
"153,6", "-0,03056256", "0,8598578"
"153,7", "-0,03118811", "0,8585938"
"153,75", "-0,03056256", "0,8587518"
"153,85", "-0,03181365", "0,8578038"
"153,95", "-0,03306475", "0,8565399"
"154,05", "-0,03306475", "0,8555919"
"154,2", "-0,03556695", "0,853538"
"154,25", "-0,03556695", "0,853222"
"154,4", "-0,03619251", "0,852116"
"154,45", "-0,03681805", "0,850852"
"154,55", "-0,03806914", "0,850378"
"154,6", "-0,03806914", "0,849746"
"154,7", "-0,03932025", "0,8484821"
"154,8", "-0,03994579", "0,8473761"
"154,9", "-0,04119689", "0,8462701"
"155", "-0,04182244", "0,8454802"
"155,05", "-0,04244799", "0,8453222"
"155,2", "-0,04307353", "0,8446902"
"155,3", "-0,04432464", "0,8437423"
"155,35", "-0,04495018", "0,8432683"
"155,55", "-0,04557574", "0,8420042"
"155,65", "-0,04682683", "0,8408983"
"155,75", "-0,04745239", "0,8404243"
"155,9", "-0,04995458", "0,8385284"
"155,95", "-0,04995458", "0,8380544"
"156", "-0,05058013", "0,8372644"
"156,1", "-0,05120568", "0,8367904"
"156,25", "-0,05308233", "0,8356844"
"156,3", "-0,05308233", "0,8355264"
"156,4", "-0,05433342", "0,8341045"
"156,5", "-0,05433342", "0,8337885"
"156,6", "-0,05558453", "0,8325245"
"156,7", "-0,05558453", "0,8320506"
"156,8", "-0,05683562", "0,8306286"
"156,85", "-0,05683562", "0,8304706"
"157", "-0,05746117", "0,8301546"
"157,05", "-0,05808672", "0,8296806"
"157,2", "-0,05933782", "0,8282586"
"157,25", "-0,05933782", "0,8279427"
"157,4", "-0,06058892", "0,8273107"
"157,45", "-0,06184002", "0,8268367"
"157,55", "-0,06246556", "0,8262047"
"157,6", "-0,06246556", "0,8257307"
"157,7", "-0,06371667", "0,8250987"
"157,8", "-0,06434221", "0,8244667"
"157,95", "-0,06559331", "0,8235188"
"158", "-0,06559331", "0,8232028"
"158,15", "-0,06746996", "0,8217809"
"158,2", "-0,06746996", "0,8214648"
"158,35", "-0,06872107", "0,8211489"
"158,5", "-0,06997216", "0,8200429"
"158,55", "-0,06997216", "0,8200429"
"158,7", "-0,07122325", "0,8190949"
"158,75", "-0,07122325", "0,8187789"
"158,9", "-0,07247435", "0,8184629"
"158,95", "-0,07247435", "0,8178309"
"159,05", "-0,07372544", "0,8171989"
"159,1", "-0,07372544", "0,816883"
"159,25", "-0,07560209", "0,815777"
"159,3", "-0,07560209", "0,815777"
"159,45", "-0,07747874", "0,814513"
"159,5", "-0,0781043", "0,8141971"
"159,65", "-0,07872984", "0,8132491"
"159,7", "-0,07935539", "0,812933"
"159,8", "-0,07998095", "0,8127751"
"159,85", "-0,08060649", "0,8123011"
"159,95", "-0,0818576", "0,8111951"
"160,05", "-0,0818576", "0,8108791"
"160,2", "-0,08373423", "0,8096152"
"160,25", "-0,08310869", "0,8096152"
"160,4", "-0,08561088", "0,8085092"
"160,45", "-0,08561088", "0,8085092"
"160,55", "-0,08686198", "0,8077192"
"160,6", "-0,08686198", "0,8075612"
"160,7", "-0,08748753", "0,8070872"
"160,8", "-0,08811309", "0,8064553"
"160,95", "-0,08998973", "0,8061392"
"161", "-0,08936418", "0,8061392"
"161,1", "-0,09061528", "0,8055072"
"161,2", "-0,09186638", "0,8045593"
"161,25", "-0,09124083", "0,8045593"
"161,35", "-0,09186638", "0,8042433"
"161,4", "-0,09249193", "0,8037694"
"161,55", "-0,09311747", "0,8036113"
"161,7", "-0,09499412", "0,8021894"
"161,75", "-0,09561968", "0,8018733"
"161,9", "-0,09687077", "0,8010834"
"161,95", "-0,09749633", "0,8009254"
"162", "-0,09812186", "0,8007674"
"162,1", "-0,09874742", "0,8004514"
"162,25", "-0,0999985", "0,7991874"
"162,3", "-0,0999985", "0,7993454"
"162,45", "-0,1012496", "0,7985555"
"162,5", "-0,1012496", "0,7982395"
"162,65", "-0,1025007", "0,7976075"
"162,7", "-0,1025007", "0,7974495"
"162,8", "-0,1037518", "0,7966595"
"162,85", "-0,1037518", "0,7968175"
"162,95", "-0,1056285", "0,7957115"
"163,05", "-0,1056285", "0,7953956"
"163,2", "-0,1081306", "0,7941316"
"163,25", "-0,1081306", "0,7938156"
"163,4", "-0,1093817", "0,7931836"
"163,45", "-0,1093817", "0,7933416"
