Experiment:, Load
Start date:, st?eda 30. listopadu 2022
Start time:, 17:18:14 +01:00
"Time (s)", "Current Density (A/cm2)", "Voltage (V)"
"22,1", "-0,0056156", "0,5328067"
"22,15", "-0,005553054", "0,5110033"
"22,2", "-0,005553054", "0,5023135"
"22,25", "-0,005427966", "0,4996276"
"22,3", "-0,003176366", "1,031915"
"22,35", "-0,002738555", "0,9693488"
"22,4", "-0,003176366", "0,9029906"
"22,45", "-0,003551633", "0,8410563"
"22,5", "-0,0039269", "0,7735921"
"22,55", "-0,004427255", "0,701862"
"22,6", "-0,004802521", "0,6386638"
"22,65", "-0,005240332", "0,5865252"
"22,7", "-0,005553054", "0,5506602"
"22,75", "-0,005740688", "0,5307527"
"22,8", "-0,006366132", "0,5062634"
"22,85", "-0,006803945", "0,48525"
"22,9", "-0,007179211", "0,4692924"
"22,95", "-0,007617021", "0,4557048"
"23", "-0,007992287", "0,4433811"
"23,05", "-0,008430099", "0,4301095"
"23,1", "-0,008805367", "0,4177858"
"23,15", "-0,009180632", "0,4073581"
"23,2", "-0,0095559", "0,3966144"
"23,25", "-0,009931166", "0,3876086"
"23,3", "-0,01036898", "0,375285"
"23,35", "-0,01080679", "0,3643833"
"23,4", "-0,01118205", "0,3550615"
"23,45", "-0,01155732", "0,3460557"
"23,5", "-0,01193259", "0,336102"
"23,55", "-0,01230786", "0,3258323"
"23,6", "-0,01274566", "0,3149306"
"23,65", "-0,01318348", "0,3065568"
"23,7", "-0,0134962", "0,2978671"
"23,75", "-0,01393401", "0,2882293"
"23,8", "-0,01430928", "0,2792236"
"23,85", "-0,01474709", "0,2687958"
"23,9", "-0,0151849", "0,2596321"
"23,95", "-0,01562271", "0,2514163"
"24", "-0,01618561", "0,2381031"
"24,05", "-0,01643579", "0,2329729"
"24,1", "-0,01681105", "0,2224442"
"24,15", "-0,01718632", "0,2146148"
"24,2", "-0,01756159", "0,2048438"
"24,25", "-0,0179994", "0,1962409"
"24,3", "-0,01831212", "0,1869276"
"24,35", "-0,01881248", "0,1789877"
"24,4", "-0,01918774", "0,1705269"
"24,45", "-0,01962556", "0,1607401"
"24,5", "-0,02006336", "0,1514111"
"24,55", "-0,02037609", "0,1426977"
"24,6", "-0,0208139", "0,1331477"
"24,65", "-0,02125171", "0,1239923"
"24,7", "-0,02168952", "0,1157367"
"24,75", "-0,02200224", "0,1074652"
"24,8", "-0,02237751", "0,09797837"
"24,85", "-0,02275278", "0,08999109"
"24,9", "-0,02319059", "0,08001488"
"24,95", "-0,0236284", "0,07093843"
"25", "-0,02394112", "0,06209875"
"25,05", "-0,02437893", "0,05374841"
"25,1", "-0,02487929", "0,04519286"
"25,15", "-0,02525455", "0,03742657"
"25,2", "-0,02575491", "0,02368713"
"25,25", "-0,02600509", "0,01934362"
"25,3", "-0,02638035", "0,011197"
"25,35", "-0,02694325", "-0,0007082321"
