Experiment:, Load
Start date:, p?tek 4. listopadu 2022
Start time:, 11:56:26 +01:00
"Time (s)", "Current Density (A/cm2)", "Voltage (V)"
"150,1", "0,02949017", "1,106173"
"150,2", "0,03074127", "1,165579"
"150,3", "-0,1100073", "1,087846"
"150,35", "-0,0005361915", "0,9110484"
"150,5", "-0,00178729", "0,9382237"
"150,65", "-0,003038393", "0,9325358"
"150,7", "-0,003038393", "0,928112"
"150,75", "-0,00366394", "0,9214761"
"150,85", "-0,004915043", "0,9074145"
"150,9", "-0,005540589", "0,9009367"
"151,05", "-0,006791682", "0,887033"
"151,2", "-0,008042786", "0,8794492"
"151,25", "-0,009293883", "0,8753414"
"151,4", "-0,009919429", "0,8683895"
"151,45", "-0,01054498", "0,8674416"
"151,55", "-0,01117053", "0,8647557"
"151,6", "-0,01179608", "0,8619117"
"151,7", "-0,01304718", "0,8589098"
"151,8", "-0,01304718", "0,8581198"
"151,9", "-0,01429828", "0,8571718"
"152", "-0,01492382", "0,85496"
"152,2", "-0,01554937", "0,8530639"
"152,25", "-0,01617493", "0,851958"
"152,35", "-0,01742602", "0,8502201"
"152,45", "-0,01867712", "0,8491141"
"152,55", "-0,01930267", "0,8476921"
"152,65", "-0,01992822", "0,8462701"
"152,75", "-0,01992822", "0,8462701"
"152,85", "-0,02243042", "0,8445322"
"152,95", "-0,02243042", "0,8434262"
"153,05", "-0,02368151", "0,8416883"
"153,1", "-0,02368151", "0,8415303"
"153,2", "-0,02493261", "0,8412143"
"153,3", "-0,02493261", "0,8396344"
"153,45", "-0,02618371", "0,8382124"
"153,5", "-0,02680926", "0,8382124"
"153,6", "-0,02806036", "0,8372644"
"153,7", "-0,02806036", "0,8367904"
"153,75", "-0,02931145", "0,8361584"
"153,85", "-0,02993701", "0,8347365"
"154", "-0,03118811", "0,8329985"
"154,05", "-0,03181365", "0,8325245"
"154,15", "-0,03243921", "0,8318925"
"154,25", "-0,03243921", "0,8314186"
"154,4", "-0,03431586", "0,8293646"
"154,45", "-0,03431586", "0,8292066"
"154,55", "-0,0349414", "0,8288906"
"154,6", "-0,03556695", "0,8285747"
"154,65", "-0,03681805", "0,8277847"
"154,8", "-0,0374436", "0,8271527"
"154,85", "-0,03681805", "0,8265207"
"155", "-0,03806914", "0,8258888"
"155,05", "-0,0386947", "0,8254148"
"155,2", "-0,03932025", "0,8247827"
"155,25", "-0,03994579", "0,8247827"
"155,35", "-0,04057134", "0,8241507"
"155,5", "-0,04119689", "0,8235188"
"155,55", "-0,04244799", "0,8228868"
"155,75", "-0,04369909", "0,8220968"
"155,8", "-0,04495018", "0,8214648"
"155,95", "-0,04495018", "0,8209909"
"156", "-0,04620128", "0,8203589"
"156,1", "-0,04682683", "0,8200429"
"156,2", "-0,04745239", "0,8195689"
"156,3", "-0,04745239", "0,8194109"
"156,45", "-0,04932903", "0,8183049"
"156,5", "-0,04995458", "0,8178309"
"156,65", "-0,05183123", "0,8171989"
"156,7", "-0,05183123", "0,8171989"
"156,85", "-0,05308233", "0,816093"
"157", "-0,05433342", "0,815461"
"157,05", "-0,05495897", "0,815145"
"157,1", "-0,05558453", "0,814987"
