Experiment:, Load
Start date:, ?tvrtek 9. ?nora 2023
Start time:, 16:18:58 +01:00
"Time (s)", "Current Density (A/cm2)", "Voltage (V)"
"194,1", "0,01760473", "1,096851"
"194,15", "0,01823028", "1,121025"
"194,25", "0,01823028", "1,16242"
"194,3", "-0,0781043", "1,061776"
"194,35", "-0,004289486", "0,9905202"
"194,4", "-0,00366394", "1,003318"
"194,5", "-0,004289486", "1,011534"
"194,6", "-0,005540589", "1,012324"
"194,75", "-0,006791682", "1,004266"
"194,85", "-0,006791682", "0,9936801"
"194,95", "-0,007417239", "0,9797766"
"195", "-0,008042786", "0,9718768"
"195,05", "-0,009293883", "0,9642929"
"195,1", "-0,009293883", "0,9562352"
"195,2", "-0,009919429", "0,9409096"
"195,25", "-0,009919429", "0,9337998"
"195,3", "-0,01054498", "0,927164"
"195,35", "-0,01117053", "0,9211602"
"195,4", "-0,01179608", "0,9157883"
"195,5", "-0,01242163", "0,9070985"
"195,55", "-0,01304718", "0,9037806"
"195,6", "-0,01304718", "0,9009367"
"195,7", "-0,01429828", "0,8961968"
"195,75", "-0,01429828", "0,8941429"
"195,8", "-0,01492382", "0,8922469"
"195,85", "-0,01492382", "0,8908249"
"195,95", "-0,01617493", "0,887665"
"196", "-0,01680047", "0,8865591"
"196,05", "-0,01742602", "0,8851371"
"196,1", "-0,01742602", "0,8838732"
"196,15", "-0,01805157", "0,8826092"
"196,25", "-0,01867712", "0,8807132"
"196,35", "-0,01930267", "0,8785013"
"196,4", "-0,01992822", "0,8775533"
"196,5", "-0,02055377", "0,8756573"
"196,55", "-0,02117932", "0,8747094"
"196,6", "-0,02180487", "0,8737614"
"196,65", "-0,02243042", "0,8728135"
"196,75", "-0,02243042", "0,8713915"
"196,85", "-0,02368151", "0,8696535"
"196,95", "-0,02430707", "0,8679156"
"197", "-0,02493261", "0,8671256"
"197,1", "-0,02493261", "0,8658617"
"197,2", "-0,02618371", "0,8647557"
"197,25", "-0,02618371", "0,8641236"
"197,35", "-0,02680926", "0,8625437"
