Experiment:, Load
Start date:, st?eda 22. ?nora 2023
Start time:, 14:10:20 +01:00
"Time (s)", "Current Density (A/cm2)", "Voltage (V)"
"150,1", "0,008221495", "1,044713"
"150,15", "0,008847041", "1,062724"
"150,3", "-0,04307353", "1,045187"
"150,35", "-0,004289486", "0,9846744"
"150,45", "-0,004289486", "0,9958921"
"150,55", "-0,005540589", "0,9960501"
"150,6", "-0,006166136", "0,9935221"
"150,75", "-0,006791682", "0,9827785"
"150,8", "-0,008042786", "0,9766166"
"150,95", "-0,008042786", "0,9535492"
"151,05", "-0,009293883", "0,9434376"
"151,1", "-0,009919429", "0,9388556"
"151,25", "-0,01179608", "0,9289019"
"151,3", "-0,01179608", "0,926848"
"151,4", "-0,01304718", "0,9213182"
"151,45", "-0,01367273", "0,9194221"
"151,5", "-0,01304718", "0,9187902"
"151,6", "-0,01367273", "0,9170523"
"151,75", "-0,01554937", "0,9121544"
"151,8", "-0,01617493", "0,9108904"
"151,95", "-0,01680047", "0,9078885"
"152", "-0,01742602", "0,9069405"
"152,1", "-0,01680047", "0,9064665"
"152,2", "-0,01867712", "0,9040966"
"152,25", "-0,01867712", "0,9034646"
"152,4", "-0,01992822", "0,9018846"
"152,45", "-0,01992822", "0,9010947"
"152,55", "-0,02055377", "0,9001467"
"152,6", "-0,02117932", "0,8991988"
"152,65", "-0,02180487", "0,8982507"
"152,75", "-0,02243042", "0,8974608"
"152,85", "-0,02368151", "0,8955648"
"152,95", "-0,02368151", "0,8946168"
"153,05", "-0,02493261", "0,8931949"
"153,1", "-0,02493261", "0,8928789"
"153,15", "-0,02618371", "0,8917729"
"153,25", "-0,02618371", "0,8905089"
"153,3", "-0,02680926", "0,890035"
"153,5", "-0,02680926", "0,888771"
"153,55", "-0,02868591", "0,8875071"
"153,6", "-0,02868591", "0,887033"
"153,7", "-0,03056256", "0,8859271"
"153,75", "-0,03056256", "0,8854531"
"153,85", "-0,03118811", "0,8840311"
"153,9", "-0,03181365", "0,8840311"
"154", "-0,03306475", "0,8822932"
"154,1", "-0,03306475", "0,8818192"
"154,25", "-0,03431586", "0,8803972"
"154,4", "-0,03431586", "0,8788173"
"154,5", "-0,03556695", "0,8785013"
"154,6", "-0,03619251", "0,8775533"
"154,65", "-0,03806914", "0,8767633"
"154,75", "-0,03806914", "0,8758153"
"154,85", "-0,0386947", "0,8750253"
"154,95", "-0,0386947", "0,8745514"
"155", "-0,03994579", "0,8737614"
"155,1", "-0,04119689", "0,8734454"
"155,25", "-0,04182244", "0,8718655"
"155,35", "-0,04369909", "0,8709175"
"155,4", "-0,04369909", "0,8707595"
"155,55", "-0,04557574", "0,8696535"
"155,6", "-0,04620128", "0,8690215"
"155,75", "-0,04745239", "0,8682315"
"155,9", "-0,04870348", "0,8671256"
"156", "-0,04932903", "0,8661776"
"156,05", "-0,04932903", "0,8660197"
"156,15", "-0,04995458", "0,8655456"
"156,25", "-0,05058013", "0,8650717"
"156,4", "-0,05183123", "0,8644397"
"156,45", "-0,05245678", "0,8638077"
"156,55", "-0,05245678", "0,8634917"
"156,65", "-0,05433342", "0,8622277"
"156,75", "-0,05433342", "0,8619117"
"156,8", "-0,05495897", "0,8614377"
"156,9", "-0,05558453", "0,8609638"
"156,95", "-0,05683562", "0,8600158"
"157,05", "-0,05683562", "0,8595418"
"157,2", "-0,05808672", "0,8590679"
"157,25", "-0,05871227", "0,8585938"
"157,3", "-0,05933782", "0,8582778"
"157,4", "-0,05933782", "0,8578038"
"157,45", "-0,06058892", "0,8574879"
"157,55", "-0,06058892", "0,8571718"
"157,6", "-0,06121447", "0,8565399"
"157,7", "-0,06184002", "0,8562239"
"157,85", "-0,06371667", "0,85496"
"157,9", "-0,06371667", "0,854802"
"157,95", "-0,06434221", "0,8544859"
"158,05", "-0,06496777", "0,854012"
"158,15", "-0,06559331", "0,853222"
"158,2", "-0,06621886", "0,8529059"
"158,35", "-0,06746996", "0,852432"
"158,4", "-0,06872107", "0,8518"
"158,55", "-0,0693466", "0,851326"
"158,6", "-0,06997216", "0,85101"
"158,7", "-0,06997216", "0,850536"
"158,8", "-0,07122325", "0,8499041"
"158,9", "-0,07122325", "0,8495881"
"158,95", "-0,07247435", "0,8491141"
"159,05", "-0,07247435", "0,8486401"
"159,1", "-0,0730999", "0,8483241"
"159,2", "-0,07372544", "0,8478501"
"159,35", "-0,07560209", "0,8464282"
"159,4", "-0,07622765", "0,8461121"
"159,45", "-0,07560209", "0,8461121"
"159,55", "-0,0768532", "0,8456382"
"159,65", "-0,0781043", "0,8450062"
"159,7", "-0,0781043", "0,8448482"
"159,85", "-0,07935539", "0,8440582"
