Experiment:, Load
Start date:, p?tek 24. ?nora 2023
Start time:, 12:19:30 +01:00
"Time (s)", "Current Density (A/cm2)", "Voltage (V)"
"150,1", "0,003842655", "1,020855"
"150,2", "0,004468201", "1,043133"
"150,3", "-0,01304718", "1,036655"
"150,35", "-0,001161743", "1,019433"
"150,5", "-0,002412841", "1,026227"
"150,55", "-0,003038393", "1,026069"
"150,65", "-0,003038393", "1,021961"
"150,75", "-0,004915043", "1,015167"
"150,85", "-0,005540589", "1,00711"
"150,95", "-0,006791682", "0,9954181"
"151,05", "-0,007417239", "0,9791446"
"151,1", "-0,008042786", "0,9701388"
"151,2", "-0,008668332", "0,9526013"
"151,35", "-0,009919429", "0,9307979"
"151,4", "-0,009919429", "0,925268"
"151,45", "-0,01054498", "0,9198961"
"151,55", "-0,01179608", "0,9131023"
"151,75", "-0,01242163", "0,9040966"
"151,9", "-0,01429828", "0,8982507"
"151,95", "-0,01429828", "0,8969868"
"152,05", "-0,01492382", "0,8954068"
"152,1", "-0,01492382", "0,8944589"
"152,2", "-0,01617493", "0,8927209"
"152,3", "-0,01742602", "0,8916149"
"152,35", "-0,01805157", "0,8908249"
"152,45", "-0,01867712", "0,889719"
"152,55", "-0,01992822", "0,887665"
"152,65", "-0,02055377", "0,8852951"
"152,8", "-0,02243042", "0,8835571"
"152,85", "-0,02305596", "0,8826092"
"152,9", "-0,02368151", "0,8816612"
"153", "-0,02430707", "0,8803972"
"153,05", "-0,02493261", "0,8794492"
"153,2", "-0,02493261", "0,8781853"
"153,3", "-0,02618371", "0,8770794"
"153,35", "-0,02618371", "0,8767633"
"153,4", "-0,02680926", "0,8759734"
"153,55", "-0,02806036", "0,8740774"
"153,65", "-0,02931145", "0,8731294"
"153,75", "-0,02993701", "0,8731294"
"153,85", "-0,03056256", "0,8723395"
"153,9", "-0,03056256", "0,8728135"
"154,05", "-0,03181365", "0,8713915"
"154,1", "-0,03243921", "0,8707595"
"154,15", "-0,03431586", "0,8690215"
"154,3", "-0,0336903", "0,8685476"
"154,35", "-0,03431586", "0,8680736"
"154,45", "-0,0349414", "0,8658617"
"154,55", "-0,03619251", "0,8650717"
"154,65", "-0,03619251", "0,8647557"
"154,7", "-0,03681805", "0,8645976"
"154,8", "-0,03806914", "0,8628597"
"154,85", "-0,0386947", "0,8615957"
"155", "-0,03932025", "0,8604898"
"155,2", "-0,04057134", "0,8592258"
"155,25", "-0,04119689", "0,8585938"
"155,35", "-0,04119689", "0,8582778"
"155,45", "-0,04244799", "0,8573298"
"155,55", "-0,04244799", "0,8568559"
"155,6", "-0,04369909", "0,8560659"
"155,7", "-0,04432464", "0,8555919"
"155,85", "-0,04557574", "0,85417"
"155,9", "-0,04682683", "0,853538"
"156,05", "-0,04807793", "0,852274"
"156,1", "-0,04807793", "0,852116"
"156,15", "-0,04870348", "0,8518"
"156,25", "-0,04870348", "0,851642"
"156,4", "-0,04995458", "0,850852"
"156,45", "-0,05058013", "0,8502201"
"156,6", "-0,05183123", "0,8492721"
"156,7", "-0,05245678", "0,8487981"
"156,8", "-0,05308233", "0,8480082"
"156,95", "-0,05495897", "0,8469021"
"157", "-0,05558453", "0,8462701"
"157,1", "-0,05621007", "0,8461121"
"157,15", "-0,05683562", "0,8454802"
"157,3", "-0,05808672", "0,8442162"
"157,35", "-0,05808672", "0,8439003"
"157,45", "-0,05933782", "0,8431103"
"157,5", "-0,05933782", "0,8427943"
"157,55", "-0,06058892", "0,8424783"
"157,7", "-0,06058892", "0,8415303"
"157,8", "-0,06246556", "0,8407403"
"157,9", "-0,06309112", "0,8402663"
"158", "-0,06434221", "0,8391604"
"158,1", "-0,06309112", "0,8386863"
"158,2", "-0,06434221", "0,8382124"
"158,25", "-0,06496777", "0,8378964"
"158,35", "-0,06621886", "0,8375804"
"158,45", "-0,06621886", "0,8371064"
"158,55", "-0,06746996", "0,8361584"
"158,6", "-0,06746996", "0,8358424"
"158,75", "-0,06872107", "0,8352104"
"158,8", "-0,06872107", "0,8348945"
"158,9", "-0,0693466", "0,8345785"
"158,95", "-0,06997216", "0,8337885"
"159,1", "-0,07184881", "0,8323665"
"159,15", "-0,0730999", "0,8312606"
"159,25", "-0,074351", "0,8298386"
"159,35", "-0,07497655", "0,8293646"
"159,45", "-0,07622765", "0,8285747"
"159,5", "-0,07622765", "0,8282586"
