Experiment:, Load
Start date:, ?ter? 28. b?ezna 2023
Start time:, 14:57:44 +02:00
"Time (s)", "Current Density (A/cm2)", "Voltage (V)"
"450,1", "0,03324346", "1,121815"
"450,25", "0,03386901", "1,221668"
"450,3", "-0,1218927", "1,093059"
"450,35", "-0,00178729", "0,9331678"
"450,5", "-0,002412841", "0,9597111"
"450,6", "-0,003038393", "0,9611331"
"450,7", "-0,004289486", "0,9560772"
"450,8", "-0,004915043", "0,9464394"
"450,85", "-0,004915043", "0,9401196"
"451", "-0,006791682", "0,9154723"
"451,05", "-0,006791682", "0,9053606"
"451,1", "-0,006166136", "0,9004627"
"451,25", "-0,008042786", "0,8840311"
"451,4", "-0,009293883", "0,8682315"
"451,45", "-0,009919429", "0,8649137"
"451,55", "-0,01054498", "0,8609638"
"451,6", "-0,01054498", "0,8592258"
"451,75", "-0,01179608", "0,8546439"
"451,8", "-0,01304718", "0,8506941"
"451,85", "-0,01367273", "0,8478501"
"452", "-0,01367273", "0,8454802"
"452,15", "-0,01492382", "0,8415303"
"452,2", "-0,01492382", "0,8397923"
"452,35", "-0,01617493", "0,8378964"
"452,45", "-0,01742602", "0,8352104"
"452,55", "-0,01742602", "0,8337885"
"452,65", "-0,01867712", "0,8301546"
"452,75", "-0,01930267", "0,8295226"
"452,85", "-0,01992822", "0,8271527"
"452,95", "-0,02055377", "0,8263627"
"453", "-0,02117932", "0,8255727"
"453,1", "-0,02117932", "0,8247827"
"453,2", "-0,02243042", "0,8235188"
"453,3", "-0,02368151", "0,8217809"
"453,4", "-0,02430707", "0,8194109"
"453,5", "-0,02493261", "0,8189369"
"453,65", "-0,02555816", "0,817515"
"453,7", "-0,02680926", "0,815777"
"453,8", "-0,02743481", "0,8143551"
"453,85", "-0,02680926", "0,814039"
"453,95", "-0,02806036", "0,8132491"
"454,05", "-0,02931145", "0,8118271"
"454,2", "-0,03056256", "0,8102471"
"454,25", "-0,03056256", "0,8099312"
"454,3", "-0,03181365", "0,8092992"
"454,45", "-0,03181365", "0,8078772"
"454,55", "-0,03306475", "0,8058233"
"454,6", "-0,03431586", "0,8056653"
"454,75", "-0,03556695", "0,8042433"
"454,8", "-0,03556695", "0,8039273"
"454,85", "-0,03681805", "0,8026633"
"455", "-0,03681805", "0,8021894"
"455,15", "-0,03806914", "0,8006094"
"455,2", "-0,0386947", "0,7998194"
"455,25", "-0,03932025", "0,7991874"
"455,35", "-0,03994579", "0,7987134"
"455,45", "-0,04119689", "0,7971334"
"455,55", "-0,04119689", "0,7968175"
"455,7", "-0,04307353", "0,7950795"
"455,75", "-0,04369909", "0,7942896"
"455,85", "-0,04495018", "0,7936576"
"455,95", "-0,04495018", "0,7930256"
"456,05", "-0,04620128", "0,7917617"
"456,1", "-0,04620128", "0,7912876"
"456,2", "-0,04745239", "0,7903396"
"456,3", "-0,04745239", "0,7900237"
"456,45", "-0,04932903", "0,7882857"
"456,55", "-0,04870348", "0,7879698"
"456,65", "-0,04995458", "0,7868638"
"456,7", "-0,05058013", "0,7865478"
"456,8", "-0,05183123", "0,7851258"
"456,85", "-0,05183123", "0,7848098"
"456,95", "-0,05308233", "0,7840198"
"457,05", "-0,05308233", "0,7841778"
"457,2", "-0,05433342", "0,7829139"
"457,25", "-0,05433342", "0,7824399"
"457,4", "-0,05621007", "0,781018"
"457,45", "-0,05621007", "0,7808599"
"457,5", "-0,05683562", "0,780544"
"457,6", "-0,05683562", "0,779596"
"457,75", "-0,05933782", "0,778174"
"457,8", "-0,05933782", "0,777858"
"457,95", "-0,06058892", "0,777068"
"458", "-0,06184002", "0,7761201"
"458,05", "-0,06121447", "0,7764361"
"458,2", "-0,06246556", "0,7748562"
"458,35", "-0,06309112", "0,7740661"
"458,5", "-0,06496777", "0,7726442"
"458,55", "-0,06559331", "0,7721702"
"458,65", "-0,06621886", "0,7715382"
"458,75", "-0,06684442", "0,7709062"
"458,9", "-0,06746996", "0,7699583"
"458,95", "-0,06746996", "0,7696423"
"459,05", "-0,06872107", "0,7690102"
"459,1", "-0,06872107", "0,7686942"
"459,25", "-0,06997216", "0,7674303"
"459,3", "-0,06997216", "0,7674303"
"459,45", "-0,07184881", "0,7664824"
"459,5", "-0,07247435", "0,7663243"
"459,65", "-0,0730999", "0,7649024"
"459,7", "-0,07372544", "0,7647444"
"459,75", "-0,074351", "0,7642704"
"459,85", "-0,074351", "0,7637964"
"459,95", "-0,07622765", "0,7625324"
"460,05", "-0,0768532", "0,7620584"
"460,15", "-0,0781043", "0,7617425"
"460,25", "-0,0781043", "0,7612684"
"460,4", "-0,07998095", "0,7606365"
"460,45", "-0,07998095", "0,7604785"
"460,5", "-0,08060649", "0,7606365"
"460,6", "-0,0818576", "0,7590566"
"460,75", "-0,08248314", "0,7584246"
"460,9", "-0,08310869", "0,7579505"
"460,95", "-0,08435979", "0,7574766"
"461", "-0,08498534", "0,7571605"
"461,05", "-0,08561088", "0,7563706"
"461,2", "-0,08623644", "0,7552646"
"461,3", "-0,08686198", "0,7547907"
"461,35", "-0,08748753", "0,7546327"
"461,45", "-0,08811309", "0,7536847"
"461,55", "-0,08873863", "0,7532107"
"461,65", "-0,08998973", "0,7521047"
"461,75", "-0,09124083", "0,7514727"
"461,95", "-0,09186638", "0,7506828"
"462,05", "-0,09249193", "0,7498928"
"462,1", "-0,09311747", "0,7491028"
"462,15", "-0,09374303", "0,7487868"
"462,3", "-0,09499412", "0,7481548"
"462,45", "-0,09624523", "0,7468909"
"462,5", "-0,09624523", "0,7467328"
"462,6", "-0,09749633", "0,7461008"
