Experiment:, Load
Start date:, ?ter? 4. dubna 2023
Start time:, 12:17:11 +02:00
"Time (s)", "Current Density (A/cm2)", "Voltage (V)"
"300,1", "0,02386023", "1,158944"
"300,3", "-0,09874742", "1,147568"
"300,35", "-0,00366394", "0,92511"
"300,5", "-0,005540589", "0,9546552"
"300,6", "-0,006166136", "0,9514953"
"300,7", "-0,006166136", "0,9431215"
"300,75", "-0,006791682", "0,9361697"
"300,85", "-0,008042786", "0,9208441"
"301", "-0,009293883", "0,9029906"
"301,05", "-0,009919429", "0,8995147"
"301,1", "-0,01054498", "0,8968288"
"301,25", "-0,01117053", "0,8911409"
"301,35", "-0,01179608", "0,887033"
"301,45", "-0,01242163", "0,8827672"
"301,55", "-0,01429828", "0,8792912"
"301,6", "-0,01429828", "0,8785013"
"301,7", "-0,01367273", "0,8770794"
"301,8", "-0,01429828", "0,8753414"
"301,95", "-0,01554937", "0,8731294"
"302", "-0,01617493", "0,8721815"
"302,15", "-0,01680047", "0,8707595"
"302,2", "-0,01805157", "0,8691795"
"302,25", "-0,01867712", "0,8674416"
"302,35", "-0,01867712", "0,8663356"
"302,5", "-0,01930267", "0,8661776"
"302,55", "-0,01992822", "0,8649137"
"302,65", "-0,02117932", "0,8627017"
"302,75", "-0,02180487", "0,8615957"
"302,85", "-0,02368151", "0,8593838"
"302,95", "-0,02368151", "0,8593838"
"303", "-0,02430707", "0,8585938"
"303,1", "-0,02493261", "0,8574879"
"303,2", "-0,02555816", "0,8565399"
"303,3", "-0,02555816", "0,8559079"
"303,45", "-0,02680926", "0,853854"
"303,5", "-0,02743481", "0,853854"
"303,65", "-0,02868591", "0,852274"
"303,7", "-0,02931145", "0,852116"
"303,8", "-0,03056256", "0,850852"
"303,85", "-0,03056256", "0,85101"
"303,95", "-0,03181365", "0,849746"
"304,05", "-0,03306475", "0,8484821"
"304,2", "-0,03431586", "0,8481661"
"304,25", "-0,03306475", "0,8487981"
"304,4", "-0,0349414", "0,8472181"
"304,45", "-0,0349414", "0,8472181"
"304,5", "-0,03556695", "0,8472181"
"304,6", "-0,03681805", "0,8461121"
"304,75", "-0,03806914", "0,8450062"
"304,8", "-0,0386947", "0,8445322"
"304,95", "-0,03994579", "0,8434262"
"305", "-0,03994579", "0,8432683"
"305,15", "-0,04119689", "0,8424783"
"305,2", "-0,04119689", "0,8421623"
"305,25", "-0,04244799", "0,8415303"
"305,35", "-0,04244799", "0,8415303"
"305,45", "-0,04369909", "0,8404243"
"305,55", "-0,04432464", "0,8402663"
"305,65", "-0,04620128", "0,8393183"
"305,75", "-0,04620128", "0,8386863"
"305,9", "-0,04745239", "0,8383704"
"305,95", "-0,04745239", "0,8378964"
"306,1", "-0,04870348", "0,8375804"
"306,3", "-0,04932903", "0,8367904"
"306,45", "-0,05058013", "0,8358424"
"306,5", "-0,05120568", "0,8356844"
"306,6", "-0,05308233", "0,8345785"
"306,7", "-0,05370788", "0,8342625"
"306,8", "-0,05433342", "0,8336305"
"306,85", "-0,05433342", "0,8331565"
"307", "-0,05558453", "0,8318925"
"307,05", "-0,05621007", "0,8315766"
"307,15", "-0,05683562", "0,8311026"
"307,25", "-0,05683562", "0,8307865"
"307,35", "-0,05808672", "0,8301546"
"307,45", "-0,05933782", "0,8296806"
"307,55", "-0,06058892", "0,8288906"
"307,6", "-0,06058892", "0,8287326"
"307,75", "-0,06184002", "0,8285747"
"307,8", "-0,06184002", "0,8282586"
"307,9", "-0,06246556", "0,8279427"
"308", "-0,06371667", "0,8268367"
"308,05", "-0,06309112", "0,8271527"
"308,2", "-0,06371667", "0,8268367"
"308,3", "-0,06496777", "0,8263627"
"308,35", "-0,06559331", "0,8262047"
"308,5", "-0,06746996", "0,8254148"
"308,55", "-0,06809551", "0,8252567"
"308,7", "-0,0693466", "0,8246247"
"308,75", "-0,06997216", "0,8244667"
"308,9", "-0,0705977", "0,8238348"
"308,95", "-0,0705977", "0,8236768"
