Experiment:, Load
Start date:, p?tek 28. dubna 2023
Start time:, 11:29:48 +02:00
"Time (s)", "Current Density (A/cm2)", "Voltage (V)"
"300,1", "0,02260913", "1,118971"
"300,3", "-0,07747874", "1,106489"
"300,4", "8,935458e-05", "0,9827785"
"300,5", "-0,0005361915", "1,005056"
"300,65", "-0,00178729", "1,020855"
"300,7", "-0,00178729", "1,024805"
"300,8", "-0,00366394", "1,027175"
"300,85", "-0,00366394", "1,025595"
"300,95", "-0,005540589", "1,016115"
"301,05", "-0,006166136", "1,002054"
"301,2", "-0,006791682", "0,9770907"
"301,25", "-0,008042786", "0,9669789"
"301,45", "-0,009293883", "0,9314298"
"301,55", "-0,009919429", "0,9187902"
"301,6", "-0,01054498", "0,9126284"
"301,8", "-0,01117053", "0,8977767"
"301,95", "-0,01242163", "0,8912989"
"302", "-0,01304718", "0,889403"
"302,1", "-0,01367273", "0,886243"
"302,2", "-0,01429828", "0,8851371"
"302,3", "-0,01492382", "0,8835571"
"302,35", "-0,01492382", "0,8833992"
"302,45", "-0,01617493", "0,8815032"
"302,55", "-0,01742602", "0,8802392"
"302,65", "-0,01805157", "0,8785013"
"302,75", "-0,01867712", "0,8775533"
"302,85", "-0,01930267", "0,8758153"
"302,95", "-0,01992822", "0,8751833"
"303,1", "-0,01992822", "0,8753414"
"303,25", "-0,02243042", "0,8724974"
"303,3", "-0,02243042", "0,8718655"
"303,35", "-0,02368151", "0,8709175"
"303,5", "-0,02368151", "0,8704435"
"303,65", "-0,02618371", "0,8688635"
"303,7", "-0,02618371", "0,8687055"
"303,75", "-0,02680926", "0,8682315"
"303,85", "-0,02743481", "0,8674416"
"303,9", "-0,02806036", "0,8669676"
"304,05", "-0,02868591", "0,8655456"
"304,2", "-0,02993701", "0,8645976"
"304,25", "-0,03056256", "0,8638077"
"304,4", "-0,03181365", "0,8631757"
"304,45", "-0,03243921", "0,8628597"
"304,55", "-0,0336903", "0,8622277"
"304,6", "-0,0336903", "0,8615957"
"304,7", "-0,03431586", "0,8611218"
"304,8", "-0,0349414", "0,8608057"
"304,9", "-0,03681805", "0,8598578"
"305", "-0,03681805", "0,8596998"
"305,1", "-0,0386947", "0,8589098"
"305,2", "-0,03932025", "0,8584358"
"305,25", "-0,03994579", "0,8581198"
"305,35", "-0,03994579", "0,8579618"
"305,45", "-0,04182244", "0,8565399"
"305,55", "-0,04244799", "0,8565399"
"305,7", "-0,04307353", "0,8560659"
"305,75", "-0,04369909", "0,8557499"
"305,85", "-0,04495018", "0,8552759"
"305,95", "-0,04557574", "0,854802"
"306", "-0,04620128", "0,8544859"
"306,1", "-0,04620128", "0,85417"
"306,15", "-0,04682683", "0,85417"
"306,3", "-0,04745239", "0,853538"
"306,4", "-0,04932903", "0,852274"
"306,5", "-0,04932903", "0,85259"
"306,6", "-0,05058013", "0,8518"
"306,7", "-0,05120568", "0,851326"
"306,8", "-0,05183123", "0,850852"
"306,85", "-0,05245678", "0,850536"
"307", "-0,05433342", "0,849746"
"307,05", "-0,05433342", "0,8495881"
"307,15", "-0,05495897", "0,8494301"
"307,25", "-0,05558453", "0,8489561"
