Experiment:, Load
Start date:, p?tek 5. kv?tna 2023
Start time:, 12:42:00 +02:00
"Time (s)", "Current Density (A/cm2)", "Voltage (V)"
"300,1", "0,01885583", "1,086898"
"300,15", "0,01948138", "1,112019"
"300,3", "-0,0781043", "1,062724"
"300,35", "-0,003038393", "0,9337998"
"300,5", "-0,00366394", "0,9739307"
"300,6", "-0,004915043", "0,9818305"
"300,65", "-0,005540589", "0,9824624"
"300,8", "-0,006791682", "0,9763006"
"300,85", "-0,007417239", "0,9707708"
"300,9", "-0,008042786", "0,962871"
"301", "-0,008668332", "0,9456494"
"301,1", "-0,009293883", "0,927006"
"301,2", "-0,009919429", "0,9099424"
"301,25", "-0,01054498", "0,9025166"
"301,35", "-0,01117053", "0,8930369"
"301,45", "-0,01242163", "0,8851371"
"301,55", "-0,01304718", "0,8815032"
"301,7", "-0,01492382", "0,8748674"
"301,75", "-0,01492382", "0,8729714"
"301,9", "-0,01554937", "0,8707595"
"301,95", "-0,01617493", "0,8694955"
"302,1", "-0,01680047", "0,8661776"
"302,15", "-0,01742602", "0,8658617"
"302,25", "-0,01742602", "0,8641236"
"302,4", "-0,01930267", "0,8612798"
"302,45", "-0,01992822", "0,8601738"
"302,55", "-0,02117932", "0,8584358"
"302,6", "-0,02117932", "0,8571718"
"302,7", "-0,02180487", "0,8565399"
"302,8", "-0,02243042", "0,8544859"
"302,95", "-0,02430707", "0,852432"
"303", "-0,02430707", "0,852116"
"303,05", "-0,02493261", "0,851484"
"303,15", "-0,02555816", "0,8506941"
"303,3", "-0,02680926", "0,8486401"
"303,35", "-0,02680926", "0,8484821"
"303,45", "-0,02806036", "0,8470601"
"303,5", "-0,02806036", "0,8470601"
"303,55", "-0,02931145", "0,8462701"
"303,7", "-0,03056256", "0,8448482"
"303,8", "-0,03118811", "0,8435842"
"303,85", "-0,03181365", "0,8431103"
"304", "-0,03243921", "0,8418462"
"304,05", "-0,03243921", "0,8413723"
"304,15", "-0,03431586", "0,8405823"
"304,25", "-0,03431586", "0,8394763"
"304,35", "-0,03556695", "0,8391604"
"304,4", "-0,03556695", "0,8385284"
"304,55", "-0,03681805", "0,8371064"
"304,6", "-0,03806914", "0,8361584"
"304,75", "-0,0386947", "0,8352104"
"304,9", "-0,03994579", "0,8341045"
"304,95", "-0,03994579", "0,8339465"
"305", "-0,04119689", "0,8329985"
"305,1", "-0,04119689", "0,8317346"
"305,25", "-0,04307353", "0,8304706"
"305,3", "-0,04369909", "0,8296806"
"305,45", "-0,04432464", "0,8288906"
"305,6", "-0,04620128", "0,8273107"
"305,65", "-0,04620128", "0,8266787"
"305,8", "-0,04682683", "0,8265207"
"305,85", "-0,04745239", "0,8262047"
"305,95", "-0,04870348", "0,8254148"
"306", "-0,04870348", "0,8252567"
"306,1", "-0,04995458", "0,8244667"
"306,2", "-0,05058013", "0,8235188"
"306,25", "-0,05120568", "0,8230448"
"306,35", "-0,05183123", "0,8227288"
"306,5", "-0,05308233", "0,8222548"
"306,55", "-0,05433342", "0,8217809"
"306,7", "-0,05495897", "0,8208328"
"306,8", "-0,05558453", "0,8203589"
"306,9", "-0,05558453", "0,8198849"
"307,05", "-0,05746117", "0,8187789"
"307,1", "-0,05746117", "0,8186209"
"307,15", "-0,05871227", "0,8178309"
"307,25", "-0,05933782", "0,816883"
"307,35", "-0,06058892", "0,8165669"
"307,45", "-0,06058892", "0,816409"
"307,6", "-0,06121447", "0,815777"
"307,65", "-0,06184002", "0,815619"
"307,8", "-0,06309112", "0,814513"
"307,9", "-0,06371667", "0,813881"
"307,95", "-0,06434221", "0,813723"
"308", "-0,06496777", "0,8132491"
"308,15", "-0,06559331", "0,8127751"
"308,3", "-0,06684442", "0,8119851"
"308,35", "-0,06746996", "0,8118271"
"308,45", "-0,06809551", "0,8111951"
"308,5", "-0,06872107", "0,8107212"
"308,65", "-0,06997216", "0,8102471"
"308,7", "-0,06997216", "0,8099312"
"308,8", "-0,07184881", "0,8088252"
"308,85", "-0,07122325", "0,8089832"
"309", "-0,07184881", "0,8081931"
"309,05", "-0,07247435", "0,8077192"
"309,15", "-0,07372544", "0,8072452"
"309,2", "-0,07372544", "0,8069292"
"309,35", "-0,07497655", "0,8062972"
"309,4", "-0,07560209", "0,8061392"
"309,55", "-0,07622765", "0,8056653"
"309,7", "-0,0781043", "0,8048753"
"309,75", "-0,0781043", "0,8045593"
"309,9", "-0,07935539", "0,8039273"
"309,95", "-0,07998095", "0,8036113"
"310", "-0,07935539", "0,8034533"
"310,1", "-0,07998095", "0,8031374"
"310,25", "-0,0818576", "0,8025053"
"310,3", "-0,0818576", "0,8021894"
"310,35", "-0,08248314", "0,8020313"
"310,45", "-0,08310869", "0,8015574"
"310,6", "-0,08498534", "0,8006094"
"310,65", "-0,08498534", "0,8006094"
"310,75", "-0,08623644", "0,7998194"
"310,8", "-0,08686198", "0,7996615"
"310,9", "-0,08748753", "0,7993454"
"311", "-0,08873863", "0,7988715"
"311,15", "-0,08936418", "0,7982395"
"311,2", "-0,08998973", "0,7976075"
"311,35", "-0,09061528", "0,7974495"
"311,45", "-0,09249193", "0,7965015"
"311,55", "-0,09311747", "0,7961855"
"311,65", "-0,09374303", "0,7958695"
"311,7", "-0,09436858", "0,7957115"
"311,8", "-0,09561968", "0,7952375"
"311,9", "-0,09561968", "0,7949216"
"311,95", "-0,09624523", "0,7946056"
"312,05", "-0,09687077", "0,7944475"
"312,15", "-0,09749633", "0,7941316"
"312,25", "-0,09812186", "0,7934996"
"312,35", "-0,09937298", "0,7931836"
"312,45", "-0,09937298", "0,7930256"
"312,55", "-0,1006241", "0,7925516"
"312,6", "-0,1012496", "0,7922357"
"312,7", "-0,1018752", "0,7920777"
"312,8", "-0,1018752", "0,7916036"
"312,85", "-0,1025007", "0,7912876"
"312,95", "-0,1031263", "0,7911296"
"313,1", "-0,1043774", "0,7903396"
"313,15", "-0,1037518", "0,7903396"
"313,25", "-0,1056285", "0,7898657"
"313,3", "-0,106254", "0,7897077"
"313,45", "-0,1081306", "0,7889177"
"313,5", "-0,1081306", "0,7886018"
"313,7", "-0,1093817", "0,7882857"
"313,8", "-0,1106329", "0,7876537"
"313,85", "-0,1106329", "0,7874958"
"313,95", "-0,1112584", "0,7868638"
"314,05", "-0,1118839", "0,7865478"
"314,15", "-0,1125095", "0,7860737"
"314,2", "-0,113135", "0,7860737"
"314,35", "-0,1143861", "0,7855998"
"314,4", "-0,1150117", "0,7852838"
"314,45", "-0,1156372", "0,7851258"
"314,55", "-0,1162628", "0,7846518"
"314,7", "-0,1175139", "0,7840198"
"314,75", "-0,1181394", "0,7838619"
"314,85", "-0,118765", "0,7833878"
"314,9", "-0,1193905", "0,7832299"
"314,95", "-0,1200161", "0,7829139"
"315,1", "-0,1212672", "0,7825979"
"315,3", "-0,1212672", "0,7818079"
"315,4", "-0,1231438", "0,7813339"
"315,45", "-0,1231438", "0,781176"
"315,6", "-0,1250205", "0,780544"
"315,65", "-0,125646", "0,7803859"
"315,75", "-0,1268971", "0,7800699"
"315,8", "-0,1268971", "0,7797539"
"315,9", "-0,1281482", "0,779438"
"316", "-0,1293993", "0,778806"
"316,15", "-0,1293993", "0,778806"
"316,3", "-0,131276", "0,778174"
"316,35", "-0,1319015", "0,777858"
"316,5", "-0,1331526", "0,777384"
"316,55", "-0,1331526", "0,777226"
"316,6", "-0,1344037", "0,7769101"
"316,7", "-0,1344037", "0,7769101"
"316,85", "-0,1369059", "0,7764361"
"316,9", "-0,1369059", "0,7762781"
"317", "-0,1387826", "0,7756461"
"317,05", "-0,1394081", "0,7754881"
"317,15", "-0,1400337", "0,7753301"
"317,25", "-0,1400337", "0,7750141"
"317,3", "-0,1412848", "0,7745401"
"317,4", "-0,1412848", "0,7743821"
"317,5", "-0,1419103", "0,7740661"
"317,65", "-0,1419103", "0,7739081"
"317,75", "-0,143787", "0,7732762"
"317,8", "-0,143787", "0,7731181"
"317,9", "-0,1450381", "0,7728022"
"317,95", "-0,1456636", "0,7723281"
"318,05", "-0,1469147", "0,7720122"
